company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
Apex Bidco Limited Business Equipment & Services,co_74b2ea3c4510,Subordinated Debt,Industrials,,8%,,,,,280,291,264,0%,291,,,,BBDC,2023-05-04
Apidos CLO XXIV Series 2016-24A Multi-Sector Holdings,co_3bdd4bf0f782,Subordinated Debt,,,,,,,,18358,6753,6035,0.5%,6753,,,,BBDC,2023-05-04
APOG Bidco Pty Ltd.,co_8a1a5fe21ec9,Second Lien,,10.9%,,SOFR,7.25%,,,2078,2280,2020,0.2%,2280,,,,BBDC,2023-05-04
Aptus 1829. GmbH Chemicals Plastics and Rubber,co_ca40e5f317f4,First Lien,Chemicals & Materials,9.3%,,SOFR,6.5%,,,2467,2607,2104,0.2%,2607,,,,BBDC,2023-05-04
Aptus 1829. GmbH Chemicals Plastics and Rubber,co_ca40e5f317f4,Preferred Equity,Chemicals & Materials,,,,,,,,120,21,0%,120,,,,BBDC,2023-05-04
Aptus 1829. GmbH Chemicals Plastics and Rubber,co_ca40e5f317f4,Common Equity,Chemicals & Materials,,,,,,,,12,0,0%,12,,,,BBDC,2023-05-04
Apus Bidco Limited Banking Finance Insurance & Real Estate,co_eaa9f949a362,First Lien,Insurance,9.7%,,SOFR,5.5%,,,3562,3889,3480,0.3%,3889,,,,BBDC,2023-05-04
AQA Acquisition Holding Inc.,co_c8c7125ba9de,Second Lien,,12.5%,,SOFR,7.5%,,,20000,19578,19400,1.6%,19578,,,,BBDC,2023-05-04
Aquavista Watersides 2 Ltd.,co_b44447a55b75,First Lien,,8.9%,,SOFR,6%,,,6233,6451,5923,0.5%,6451,,,,BBDC,2023-05-04
Aquavista Watersides 2 Ltd.,co_b44447a55b75,Second Lien,,,,SOFR,10.5%,,,1546,1618,1478,0.1%,1618,,,,BBDC,2023-05-04
Arc Education Consumer Cyclical,co_d0ac27817d59,First Lien,Education,8.8%,,SOFR,5.75%,,,3129,2797,3033,0.3%,2797,,,,BBDC,2023-05-04
Arch Global Precision LLC,co_11f35694f4c1,First Lien,,9.6%,,SOFR,4.75%,,,9154,9151,9102,0.8%,9151,,,,BBDC,2023-05-04
Archimede Consumer Services,co_89e3e44d4c28,First Lien,Consumer & Retail,8.3%,,SOFR,5.75%,,,6410,6479,6288,0.5%,6479,,,,BBDC,2023-05-04
Argus Bidco Limited High Tech Industries,co_de9302f17220,First Lien,Software & Technology,11.3%,,SOFR,6.5%,,,129,126,126,0%,126,,,,BBDC,2023-05-04
Argus Bidco Limited High Tech Industries,co_de9302f17220,First Lien,Software & Technology,10.7%,,SOFR,6.5%,,,1643,1519,1582,0.1%,1519,,,,BBDC,2023-05-04
Argus Bidco Limited High Tech Industries,co_de9302f17220,First Lien,Software & Technology,9.5%,,SOFR,6.5%,,,1751,1635,1708,0.1%,1635,,,,BBDC,2023-05-04
Argus Bidco Limited High Tech Industries,co_de9302f17220,Subordinated Debt,Software & Technology,,10.5%,,,,,547,512,535,0%,512,,,,BBDC,2023-05-04
Argus Bidco Limited High Tech Industries,co_de9302f17220,Preferred Equity,Software & Technology,,10%,,,,,,51,53,0%,51,,,,BBDC,2023-05-04
Argus Bidco Limited High Tech Industries,co_de9302f17220,Other Equity,Software & Technology,,10%,,,,,,51,53,0%,51,,,,BBDC,2023-05-04
Argus Bidco Limited High Tech Industries,co_de9302f17220,Common Equity,Software & Technology,,,,,,,,1,0,0%,1,,,,BBDC,2023-05-04
