company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
Dryden 43 Senior Loan Fund Series 2016-43A Multi-Sector Holdings,co_e0e6f927f696,Subordinated Debt,,,,,,,,3620,2305,1859,0.2%,2305,,,,BBDC,2023-05-04
Dryden 49 Senior Loan Fund Series 2017-49A Multi-Sector Holdings,co_e0e6f927f696,Subordinated Debt,,,,,,,,17233,6541,3789,0.3%,6541,,,,BBDC,2023-05-04
Dune Group Health Care Equipment,co_70466a9a8706,First Lien,Healthcare,9%,,SOFR,6%,,,126,110,100,0%,110,,,,BBDC,2023-05-04
Dune Group Health Care Equipment,co_70466a9a8706,First Lien,Healthcare,11.2%,,SOFR,6%,,,1230,1213,1190,0.1%,1213,,,,BBDC,2023-05-04
Dunlipharder B.V. Technology,co_a7e624069261,First Lien,Software & Technology,11.2%,,SOFR,6.5%,,,1000,987,989,0.1%,987,,,,BBDC,2023-05-04
Dwyer Instruments Inc.,co_ed86bcf277d1,First Lien,,,,,,,,25738,25222,25274,2.1%,25222,,,,BBDC,2023-05-04
Echo Global Logistics Inc.,co_42d3b46da60f,Second Lien,Transportation & Logistics,11.9%,,SOFR,7%,,,9469,9324,9289,0.8%,9324,,,,BBDC,2023-05-04
Echo Global Logistics Inc.,co_42d3b46da60f,Other Equity,Transportation & Logistics,,,,,,,,531,649,0.1%,531,,,,BBDC,2023-05-04
EFC International Automotive,co_ddbe680d165a,Unsecured Debt,Automotive,11%,2.5%,,,,,769,746,746,0.1%,746,,,,BBDC,2023-05-04
EFC International Automotive,co_ddbe680d165a,Common Equity,Automotive,,,,,,,,231,231,0%,231,,,,BBDC,2023-05-04
Ellkay LLC,co_ecf08dc39182,First Lien,,,,,,,,4925,4848,4877,0.4%,4848,,,,BBDC,2023-05-04
EMI Porta Holdco LLC,co_14a06ed78a6a,First Lien,,11.1%,,SOFR,5.75%,,,12612,12256,11955,1%,12256,,,,BBDC,2023-05-04
EMI Porta Holdco LLC,co_14a06ed78a6a,Revolver,,11.1%,,SOFR,5.75%,,,1875,1828,1786,0.1%,1828,,,,BBDC,2023-05-04
Entact Environmental Services Inc.,co_05a4f312ec7d,First Lien,Environmental Services,10.9%,,SOFR,5.75%,,,5511,5478,5498,0.5%,5478,,,,BBDC,2023-05-04
EPS NASS Parent Inc.,co_b8c02022ef1c,First Lien,,10.9%,,SOFR,5.75%,,,6063,5966,6019,0.5%,5966,,,,BBDC,2023-05-04
eShipping LLC,co_a8605d2e0cd0,First Lien,Transportation & Logistics,9.8%,,SOFR,5%,,,3142,3066,3151,0.3%,3066,,,,BBDC,2023-05-04
eShipping LLC,co_a8605d2e0cd0,Revolver,Transportation & Logistics,9.8%,,SOFR,5%,,,0,-23,0,0%,-23,,,,BBDC,2023-05-04
Eurofins Digital Testing International LUX Holding SARL Technology,co_d8379924dcdc,First Lien,Software & Technology,9.7%,,SOFR,6.75%,,,1507,1348,1390,0.1%,1348,,,,BBDC,2023-05-04
Eurofins Digital Testing International LUX Holding SARL Technology,co_d8379924dcdc,First Lien,Software & Technology,12.1%,,SOFR,7%,,,766,746,748,0.1%,746,,,,BBDC,2023-05-04
Eurofins Digital Testing International LUX Holding SARL Technology,co_d8379924dcdc,First Lien,Software & Technology,10.8%,,SOFR,6.75%,,,2231,2159,2176,0.2%,2159,,,,BBDC,2023-05-04
Eurofins Digital Testing International LUX Holding SARL Technology,co_d8379924dcdc,First Lien,Software & Technology,,11.5%,,,,,556,525,542,0%,525,,,,BBDC,2023-05-04
Events Software BidCo Pty Ltd.,co_4a7af5cab0de,First Lien,Software & Technology,10.3%,,SOFR,6.5%,,,1716,1856,1523,0.1%,1856,,,,BBDC,2023-05-04
Express Wash Acquisition Company LLC,co_86fb17eee460,First Lien,,11.4%,,SOFR,6.5%,,,7209,7079,6813,0.6%,7079,,,,BBDC,2023-05-04
Express Wash Acquisition Company LLC,co_86fb17eee460,Revolver,,11.4%,,SOFR,6.5%,,,141,136,127,0%,136,,,,BBDC,2023-05-04
F24 (Stairway BidCo Gmbh) Software Services,co_df4c30437f55,First Lien,Software & Technology,9%,,SOFR,6.25%,,,1705,1814,1657,0.1%,1814,,,,BBDC,2023-05-04
Faraday Healthcare,co_c226e9d1cabd,First Lien,Healthcare,9.6%,,SOFR,6.5%,,,1655,1585,1583,0.1%,1585,,,,BBDC,2023-05-04
Ferrellgas LP. Oil & Gas Equipment & Services,co_82840613b26f,Preferred Equity,Energy,,,,,,,,2799,2597,0.2%,2799,,,,BBDC,2023-05-04
Fineline Technologies Inc.,co_0a05caa00f29,First Lien,,9.9%,,SOFR,4.75%,,,1286,1271,1267,0.1%,1271,,,,BBDC,2023-05-04
Finexvet Consumer Cyclical,co_bfe9f2266bff,First Lien,Consumer & Retail,9.5%,,SOFR,6.25%,,,2444,2381,2383,0.2%,2381,,,,BBDC,2023-05-04
FinThrive Software Intermediate Holdings Inc.,co_0d309c936317,Preferred Equity,Media & Entertainment,,11%,,,,,,7892,6686,0.6%,7892,,,,BBDC,2023-05-04
FitzMark Buyer LLC,co_1997772e36a8,First Lien,,9.5%,,SOFR,4.5%,,,4205,4149,4154,0.3%,4149,,,,BBDC,2023-05-04
Five Star Holding LLC,co_1fac97af780e,Second Lien,,12.4%,,SOFR,7.25%,,,13692,13441,13501,1.1%,13441,,,,BBDC,2023-05-04
Five Star Holding LLC,co_1fac97af780e,Other Equity,,,,,,,,,967,962,0.1%,967,,,,BBDC,2023-05-04
Flexential Issuer LLC,co_b94fb065daa7,Other Equity,,6.9%,,,,,,16000,14845,13380,1.1%,14845,,,,BBDC,2023-05-04
Flywheel Re Segregated Portfolio 2022-4 Investment Funds,co_f4f26dda12d4,Preferred Equity,Financial Services,,,,,,,,1922,1941,0.2%,1922,,,,BBDC,2023-05-04
Footco 40 Limited Media & Entertainment,co_a76aaebc2f92,First Lien,Media & Entertainment,10.4%,,SOFR,5.75%,,,1759,1792,1694,0.1%,1792,,,,BBDC,2023-05-04
Fortis Payment Systems LLC,co_dfe6d1e86d7c,First Lien,Financial Services,10.2%,,SOFR,5.25%,,,1571,1518,1517,0.1%,1518,,,,BBDC,2023-05-04
FragilePak LLC,co_996a4a81786f,First Lien,,10.9%,,SOFR,5.75%,,,4626,4487,4626,0.4%,4487,,,,BBDC,2023-05-04
FragilePak LLC,co_996a4a81786f,Other Equity,,,,,,,,,938,1179,0.1%,938,,,,BBDC,2023-05-04
Front Line Power Construction LLC,co_6f81b25d9f3c,First Lien,Industrials,17.4%,,SOFR,12.5%,,,4370,4053,4828,0.4%,4053,,,,BBDC,2023-05-04
Front Line Power Construction LLC,co_6f81b25d9f3c,Common Equity,Industrials,,,,,,,,370,117,0%,370,,,,BBDC,2023-05-04
FSS Buyer LLC,co_826783c2ef3b,First Lien,,10.6%,,SOFR,5.75%,,,6826,6716,6761,0.6%,6716,,,,BBDC,2023-05-04
FSS Buyer LLC,co_826783c2ef3b,Partnership Interest,,,,,,,,,12,18,0%,12,,,,BBDC,2023-05-04
FSS Buyer LLC,co_826783c2ef3b,Other Equity,,,,,,,,,51,77,0%,51,,,,BBDC,2023-05-04
GB EAGLE BUYER INC.,co_a2cf19f238b9,First Lien,,11.2%,,SOFR,6.5%,,,16732,16251,16257,1.3%,16251,,,,BBDC,2023-05-04
GB EAGLE BUYER INC.,co_a2cf19f238b9,Revolver,,11.2%,,SOFR,6.5%,,,0,-73,-73,0%,-73,,,,BBDC,2023-05-04
GB EAGLE BUYER INC.,co_a2cf19f238b9,Other Equity,,,,,,,,,687,686,0.1%,687,,,,BBDC,2023-05-04
Global Academic Group Limited Industrial Other,co_8f81dda4d13a,First Lien,Education,9.4%,,SOFR,6%,,,2471,2505,2414,0.2%,2505,,,,BBDC,2023-05-04
Global Academic Group Limited Industrial Other,co_8f81dda4d13a,First Lien,Education,10.2%,,SOFR,6%,,,4318,4208,4208,0.3%,4208,,,,BBDC,2023-05-04
GPZN II GmbH Healthcare,co_2466804517fe,First Lien,Healthcare,7.9%,1%,SOFR,6%,,,468,445,426,0%,445,,,,BBDC,2023-05-04
Greenhill II BV Technology,co_e05615aaa701,First Lien,Software & Technology,8.4%,,SOFR,5.75%,,,752,672,731,0.1%,672,,,,BBDC,2023-05-04
Groupe Product Life Consumer Non-cyclical,co_e618ca2f80b7,First Lien,Consumer & Retail,9.3%,,SOFR,6.25%,,,636,554,613,0.1%,554,,,,BBDC,2023-05-04
Gulf Finance LLC,co_0f253c18d508,First Lien,Financial Services,11.6%,,SOFR,6.75%,,,821,790,795,0.1%,790,,,,BBDC,2023-05-04
Gusto Aus BidCo Pty Ltd.,co_3f98dd2eefb4,First Lien,,10.2%,,SOFR,6.5%,,,2181,2018,2119,0.2%,2018,,,,BBDC,2023-05-04
HeartHealth Bidco Pty Ltd.,co_070d97418e9b,First Lien,,8.5%,,SOFR,4.75%,,,619,570,593,0%,570,,,,BBDC,2023-05-04
Heartland Veterinary Partners LLC,co_f7d09ce8e62a,Subordinated Debt,Healthcare,,11%,,,,,1189,1162,1170,0.1%,1162,,,,BBDC,2023-05-04
Heartland Veterinary Partners LLC,co_f7d09ce8e62a,Subordinated Debt,Healthcare,,11%,,,,,9960,9776,9825,0.8%,9776,,,,BBDC,2023-05-04
Heartland LLC,co_692a37c34999,First Lien,,9.9%,,SOFR,4.75%,,,13897,13835,13740,1.1%,13835,,,,BBDC,2023-05-04
Heavy Construction Systems Specialists LLC,co_22f6384734c7,First Lien,Industrials,10.1%,,SOFR,5.75%,,,7368,7250,7288,0.6%,7250,,,,BBDC,2023-05-04
Heavy Construction Systems Specialists LLC,co_22f6384734c7,Revolver,Industrials,10.1%,,SOFR,5.75%,,,0,-41,-29,0%,-41,,,,BBDC,2023-05-04
Heilbron (f/k/a Sucsez (Bolt Bidco B.V.)) Insurance,co_5fb99dfc823f,First Lien,Insurance,7.7%,,SOFR,5%,,,3290,3676,3235,0.3%,3676,,,,BBDC,2023-05-04
HEKA Invest Technology,co_a395e135694b,First Lien,Software & Technology,9.5%,,SOFR,6.5%,,,5089,4465,4957,0.4%,4465,,,,BBDC,2023-05-04
Holland Acquisition Corp.,co_5e08c347dff4,First Lien,,,,SOFR,9%,,,3754,0,0,0%,0,,,,BBDC,2023-05-04
Home Care Assistance LLC,co_336ee375e08d,First Lien,,9.9%,,SOFR,5%,,,3773,3720,3460,0.3%,3720,,,,BBDC,2023-05-04
Honour Lane Logistics Holdings Limited Transportation Services,co_06b164d1bb21,First Lien,Transportation & Logistics,9.5%,,SOFR,5.25%,,,8000,7790,7834,0.7%,7790,,,,BBDC,2023-05-04
HTI Technology & Industries Electronic Component Manufacturing,co_a8d1f961c75d,Second Lien,Software & Technology,13.6%,,SOFR,8.5%,,,11514,11353,11107,0.9%,11353,,,,BBDC,2023-05-04
HTI Technology & Industries Electronic Component Manufacturing,co_a8d1f961c75d,Revolver,Software & Technology,13.6%,,SOFR,8.5%,,,0,-16,-41,0%,-16,,,,BBDC,2023-05-04
HW Holdco LLC,co_1627b72c157b,First Lien,,10.2%,,SOFR,5%,,,5330,5279,5263,0.4%,5279,,,,BBDC,2023-05-04
HW Holdco LLC,co_1627b72c157b,First Lien,,9.8%,,SOFR,5%,,,5867,5797,5800,0.5%,5797,,,,BBDC,2023-05-04
Hygie 31 Holding Pharma-ceuticals,co_d6c5cce2c792,First Lien,Healthcare,7.4%,,SOFR,6.25%,,,1738,1500,1699,0.1%,1500,,,,BBDC,2023-05-04
IM Analytics Holding LLC,co_bd9f92b62f71,First Lien,,11.5%,,SOFR,6.5%,,,3388,3381,3333,0.3%,3381,,,,BBDC,2023-05-04
IM Analytics Holding LLC,co_bd9f92b62f71,Warrants,,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
IM Square Banking Finance Insurance & Real Estate,co_c53a844e7179,First Lien,Insurance,8.5%,,SOFR,5.25%,,,2716,2940,2649,0.2%,2940,,,,BBDC,2023-05-04
Infoniqa Holdings GmbH Technology,co_858a82665ef2,First Lien,Software & Technology,8.2%,,SOFR,5%,,,2855,2904,2812,0.2%,2904,,,,BBDC,2023-05-04
Innovad Group II BV Beverage Food & Tobacco,co_bf7f925bd469,First Lien,Food & Beverage,9.3%,,SOFR,6.5%,,,6435,6797,5648,0.5%,6797,,,,BBDC,2023-05-04
Innovative XCessories & Services LLC,co_091d23725df5,First Lien,Business Services,9.5%,,SOFR,4.25%,,,2908,2854,2386,0.2%,2854,,,,BBDC,2023-05-04
INOS 19-090 GmbH Aerospace & Defense,co_b931ac086267,First Lien,Aerospace & Defense,8.1%,,SOFR,5.4%,,,5036,5520,5036,0.4%,5520,,,,BBDC,2023-05-04
Interstellar Group B.V. Technology,co_c8d082393dd2,First Lien,Software & Technology,8.3%,,SOFR,5.25%,,,1308,1193,1276,0.1%,1193,,,,BBDC,2023-05-04
Iqor US Inc.,co_941503bc0419,First Lien,,12.3%,,SOFR,7.5%,,,2676,2704,2654,0.2%,2704,,,,BBDC,2023-05-04
Isagenix International LLC,co_74cecae1e15d,First Lien,,,,SOFR,5.75%,,,1579,1160,509,0%,1160,,,,BBDC,2023-05-04
Isolstar Holding NV (IPCOM) Trading Companies & Distributors,co_f1765d67120e,First Lien,Distribution & Wholesale,8.8%,,SOFR,6.5%,,,4665,4048,4539,0.4%,4048,,,,BBDC,2023-05-04
ITI Intermodal Inc.,co_0ef01982228a,First Lien,,11.5%,,SOFR,6.5%,,,8860,8478,8467,0.7%,8478,,,,BBDC,2023-05-04
ITI Intermodal Inc.,co_0ef01982228a,Revolver,,11.5%,,SOFR,6.5%,,,22,-3,-4,0%,-3,,,,BBDC,2023-05-04
ITI Intermodal Inc.,co_0ef01982228a,Common Equity,,,,,,,,,750,750,0.1%,750,,,,BBDC,2023-05-04
Ivanti Software Inc.,co_f043443ebb42,Second Lien,Software & Technology,12.2%,,SOFR,7.25%,,,6000,5989,3528,0.3%,5989,,,,BBDC,2023-05-04
Jade Bidco Limited (Jane's) Aerospace & Defense,co_9dfabf0c1f8e,First Lien,Aerospace & Defense,7.9%,,SOFR,5.5%,,,4156,4085,4089,0.3%,4085,,,,BBDC,2023-05-04
Jade Bidco Limited (Jane's) Aerospace & Defense,co_9dfabf0c1f8e,First Lien,Aerospace & Defense,9.3%,,SOFR,5.5%,,,6714,6581,6606,0.5%,6581,,,,BBDC,2023-05-04
Jedson Engineering Inc.,co_9aed9c02a07b,First Lien,Industrials,12%,,,,,,2650,2650,2650,0.2%,2650,,,,BBDC,2023-05-04
JetBlue 2019-1 Class B Pass Through Trust Airlines,co_d0028557a979,Other Equity,Transportation & Logistics,8%,,,,,,3609,3609,3608,0.3%,3609,,,,BBDC,2023-05-04
JF Acquisition LLC,co_f0277f5e9e9b,First Lien,,10.3%,,SOFR,5.5%,,,3808,3733,3610,0.3%,3733,,,,BBDC,2023-05-04
Jon Bidco Limited Healthcare,co_787c201e83f5,First Lien,Healthcare,10%,,SOFR,4.75%,,,3541,3819,3451,0.3%,3819,,,,BBDC,2023-05-04
Jones Fish Hatcheries & Distributors LLC,co_96bd5d0971e2,First Lien,Distribution & Wholesale,10.5%,,SOFR,5.5%,,,2785,2738,2680,0.2%,2738,,,,BBDC,2023-05-04
Jones Fish Hatcheries & Distributors LLC,co_96bd5d0971e2,First Lien,Distribution & Wholesale,10.6%,,SOFR,5.75%,,,696,675,675,0.1%,675,,,,BBDC,2023-05-04
Jones Fish Hatcheries & Distributors LLC,co_96bd5d0971e2,Revolver,Distribution & Wholesale,10.5%,,SOFR,5.5%,,,0,-7,-16,0%,-7,,,,BBDC,2023-05-04
Jones Fish Hatcheries & Distributors LLC,co_96bd5d0971e2,Other Equity,Distribution & Wholesale,,,,,,,,97,162,0%,97,,,,BBDC,2023-05-04
Kano Laboratories LLC,co_b5e56e49326a,First Lien,,10.1%,,SOFR,5%,,,5637,5527,5545,0.5%,5527,,,,BBDC,2023-05-04
Kano Laboratories LLC,co_b5e56e49326a,Other Equity,,,,,,,,,203,191,0%,203,,,,BBDC,2023-05-04
Kene Acquisition Inc.,co_3f870f22a3f1,First Lien,,9.4%,,SOFR,4.25%,,,7132,7058,7021,0.6%,7058,,,,BBDC,2023-05-04
Kid Distro Holdings LLC,co_7b4aa6eefd22,First Lien,,10.9%,,SOFR,5.75%,,,9209,9064,9117,0.8%,9064,,,,BBDC,2023-05-04
Kid Distro Holdings LLC,co_7b4aa6eefd22,Other Equity,,,,,,,,,638,599,0%,638,,,,BBDC,2023-05-04
Kona Buyer LLC,co_7fbd85f699ad,First Lien,,9.6%,,SOFR,4.75%,,,8689,8547,8561,0.7%,8547,,,,BBDC,2023-05-04
Lambir Bidco Limited Healthcare,co_b7139391e422,First Lien,Healthcare,9.3%,,SOFR,6.25%,,,4793,4800,4562,0.4%,4800,,,,BBDC,2023-05-04
Lambir Bidco Limited Healthcare,co_b7139391e422,Second Lien,Healthcare,,12%,,,,,1524,1534,1414,0.1%,1534,,,,BBDC,2023-05-04
Lattice Group Holdings Bidco Limited Technology,co_4ace1ef6a74a,First Lien,Software & Technology,9.9%,,SOFR,5.75%,,,709,688,674,0.1%,688,,,,BBDC,2023-05-04
Lattice Group Holdings Bidco Limited Technology,co_4ace1ef6a74a,Revolver,Software & Technology,10.1%,,SOFR,5.75%,,,35,35,34,0%,35,,,,BBDC,2023-05-04
LeadsOnline LLC,co_67e33021e1cc,First Lien,,9.5%,,SOFR,4.75%,,,10250,10100,10139,0.8%,10100,,,,BBDC,2023-05-04
LeadsOnline LLC,co_67e33021e1cc,Revolver,,9.5%,,SOFR,4.75%,,,0,-37,-28,0%,-37,,,,BBDC,2023-05-04
LeadsOnline LLC,co_67e33021e1cc,Other Equity,,,,,,,,,52,72,0%,52,,,,BBDC,2023-05-04
Learfield Communications LLC,co_f3d6da539cd1,First Lien,,8.1%,,SOFR,3.25%,,,134,94,93,0%,94,,,,BBDC,2023-05-04
Learfield Communications LLC,co_f3d6da539cd1,First Lien,,3%,,SOFR,10%,,,9228,9211,8305,0.7%,9211,,,,BBDC,2023-05-04
Legal Solutions Holdings Business Services,co_e6aa0fbe80f4,Subordinated Debt,Business Services,,16%,,,,,12319,10129,39,0%,10129,,,fair_value_suspicious_vs_size,BBDC,2023-05-04
Liberty Steel Holdings USA Inc.,co_e61ad3b03671,Revolver,Industrials,9.3%,,SOFR,4.5%,,,20000,19864,19863,1.6%,19864,,,,BBDC,2023-05-04
Lifestyle Intermediate II LLC,co_d27cc8af5f76,First Lien,Media & Entertainment,12.2%,,SOFR,7%,,,3174,3174,2958,0.2%,3174,,,,BBDC,2023-05-04
Lifestyle Intermediate II LLC,co_d27cc8af5f76,Revolver,Media & Entertainment,12.2%,,SOFR,7%,,,0,0,-170,0%,0,,,,BBDC,2023-05-04
LivTech Purchaser Inc.,co_dd3ec688dea3,First Lien,,9.9%,,SOFR,5%,,,862,856,848,0.1%,856,,,,BBDC,2023-05-04
LogMeIn Inc.,co_f4cc324b20dc,First Lien,,9.6%,,SOFR,4.75%,,,1960,1942,1109,0.1%,1942,,,,BBDC,2023-05-04
Long Term Care Group Inc.,co_935acc226f55,First Lien,,11.2%,,SOFR,6%,,,8001,7864,6505,0.5%,7864,,,,BBDC,2023-05-04
Magnetite XIX Limited Multi-Sector Holdings,co_3f2a8a9fef12,Subordinated Debt,,13.6%,,SOFR,8.77%,,,5250,5107,4453,0.4%,5107,,,,BBDC,2023-05-04
Magnetite XIX Limited Multi-Sector Holdings,co_3f2a8a9fef12,Subordinated Debt,,,,,,,,13730,9391,8301,0.7%,9391,,,,BBDC,2023-05-04
Marmoutier Holding B.V. Consumer Products,co_66acb76cfdeb,First Lien,Consumer & Retail,8.8%,,SOFR,6%,,,2220,2221,1913,0.2%,2221,,,,BBDC,2023-05-04
Marmoutier Holding B.V. Consumer Products,co_66acb76cfdeb,Revolver,Consumer & Retail,7.8%,,SOFR,5%,,,46,42,25,0%,42,,,,BBDC,2023-05-04
Marshall Excelsior Co. Capital Goods,co_8984236adbc8,First Lien,Industrials,10.5%,,SOFR,5.5%,,,10890,10739,10756,0.9%,10739,,,,BBDC,2023-05-04
Marshall Excelsior Co. Capital Goods,co_8984236adbc8,Revolver,Industrials,13.5%,,SOFR,5.5%,,,1598,1574,1577,0.1%,1574,,,,BBDC,2023-05-04
MC Group Ventures Corp.,co_b60817a82ff4,First Lien,,10.3%,,SOFR,5.5%,,,4160,4089,4121,0.3%,4089,,,,BBDC,2023-05-04
MC Group Ventures Corp.,co_b60817a82ff4,Other Equity,,,,,,,,,747,906,0.1%,747,,,,BBDC,2023-05-04
Media Recovery Inc.,co_92116b8e7c01,First Lien,Media & Entertainment,10.4%,,SOFR,6%,,,2896,2868,2896,0.2%,2868,,,,BBDC,2023-05-04
Media Recovery Inc.,co_92116b8e7c01,First Lien,Media & Entertainment,10.2%,,SOFR,6%,,,4002,4260,4002,0.3%,4260,,,,BBDC,2023-05-04
Median B.V. Healthcare,co_cece2e1ef3ca,First Lien,Healthcare,9.4%,,SOFR,6%,,,9212,9809,7666,0.6%,9809,,,,BBDC,2023-05-04
Medical Solutions Parent Holdings Inc.,co_3acc42695a8e,Second Lien,Healthcare,12%,,SOFR,7%,,,4421,4383,4001,0.3%,4383,,,,BBDC,2023-05-04
Mercell Holding AS Technology,co_c7510ee75d66,First Lien,Software & Technology,9%,,SOFR,6%,,,2999,3129,2925,0.2%,3129,,,,BBDC,2023-05-04
Mercell Holding AS Technology,co_c7510ee75d66,Other Equity,Software & Technology,,,,,,,,111,115,0%,111,,,,BBDC,2023-05-04
Mercell Holding AS Technology,co_c7510ee75d66,Other Equity,Software & Technology,,,,,,,,0,54,0%,0,,,,BBDC,2023-05-04
MNS Buyer Inc.,co_6d0ad3014c7c,First Lien,,10.5%,,SOFR,5.5%,,,909,895,792,0.1%,895,,,,BBDC,2023-05-04
MNS Buyer Inc.,co_6d0ad3014c7c,Other Equity,,,,,,,,,77,25,0%,77,,,,BBDC,2023-05-04
Modern Star Holdings Bidco Pty Limited. Non-durable Consumer Goods,co_256cb8cf86d2,First Lien,Consumer & Retail,9.7%,,SOFR,6.25%,,,7709,8334,7586,0.6%,8334,,,,BBDC,2023-05-04
Murphy Midco Limited Media Diversified & Production,co_270fd5a165d6,First Lien,Media & Entertainment,8.2%,,SOFR,5%,,,1258,1316,1224,0.1%,1316,,,,BBDC,2023-05-04
Music Reports Inc.,co_e4f5755affb1,First Lien,Media & Entertainment,10.2%,,SOFR,5.5%,,,6923,6817,6849,0.6%,6817,,,,BBDC,2023-05-04
Napa Bidco Pty Ltd.,co_6c38cc8ac961,First Lien,,9.6%,,SOFR,6%,,,18635,19549,17070,1.4%,19549,,,,BBDC,2023-05-04
Narda Acquisitionco. Inc.,co_497fc8676dfb,First Lien,,10.7%,,SOFR,5.5%,,,5623,5543,5370,0.4%,5543,,,,BBDC,2023-05-04
Narda Acquisitionco. Inc.,co_497fc8676dfb,Revolver,,10.3%,,SOFR,5.5%,,,131,113,72,0%,113,,,,BBDC,2023-05-04
Narda Acquisitionco. Inc.,co_497fc8676dfb,Preferred Equity,,,,,,,,,459,465,0%,459,,,,BBDC,2023-05-04
Narda Acquisitionco. Inc.,co_497fc8676dfb,Common Equity,,,,,,,,,51,5,0%,51,,,,BBDC,2023-05-04
Navia Benefit Solutions Inc.,co_22ddbecb1e17,First Lien,Software & Technology,10.5%,,SOFR,5.75%,,,2352,2327,2312,0.2%,2327,,,,BBDC,2023-05-04
Navia Benefit Solutions Inc.,co_22ddbecb1e17,First Lien,Software & Technology,10.7%,,SOFR,6%,,,335,331,329,0%,331,,,,BBDC,2023-05-04
Navia Benefit Solutions Inc.,co_22ddbecb1e17,First Lien,Software & Technology,11.2%,,SOFR,6.5%,,,2997,2928,2932,0.2%,2928,,,,BBDC,2023-05-04
NeoxCo Internet Software & Services,co_4de7de584f51,First Lien,Software & Technology,9.4%,,SOFR,6.5%,,,2109,2035,2031,0.2%,2035,,,,BBDC,2023-05-04
Nexus Underwriting Management Limited Other Financial,co_2b77f77e7168,First Lien,Insurance,7.4%,,SOFR,5.25%,,,1664,1766,1631,0.1%,1766,,,,BBDC,2023-05-04
Nexus Underwriting Management Limited Other Financial,co_2b77f77e7168,Revolver,Insurance,7.4%,,SOFR,5.25%,,,189,202,189,0%,202,,,,BBDC,2023-05-04
NF Holdco LLC,co_7e1807671e33,First Lien,,11.4%,,SOFR,6.5%,,,6395,6203,6203,0.5%,6203,,,,BBDC,2023-05-04
NF Holdco LLC,co_7e1807671e33,Revolver,,11.4%,,SOFR,6.5%,,,0,-33,-33,0%,-33,,,,BBDC,2023-05-04
NGS US Finco LLC,co_13ada016fa25,First Lien,,9.2%,,SOFR,4.25%,,,4691,4682,4687,0.4%,4682,,,,BBDC,2023-05-04
Northstar Recycling LLC,co_f38199bf9cb6,First Lien,Environmental Services,9.9%,,SOFR,4.75%,,,2469,2430,2443,0.2%,2430,,,,BBDC,2023-05-04
Novotech Aus Bidco Pty Ltd.,co_e22bb82f7149,First Lien,,8.8%,,SOFR,5.25%,,,3446,3669,3315,0.3%,3669,,,,BBDC,2023-05-04
Novotech Aus Bidco Pty Ltd.,co_e22bb82f7149,First Lien,,10.2%,,SOFR,5.25%,,,474,450,425,0%,450,,,,BBDC,2023-05-04
NPM Investments 28 B.V. Healthcare,co_d576a71cb3b1,First Lien,Healthcare,9.3%,,SOFR,6.25%,,,2182,1906,2121,0.2%,1906,,,,BBDC,2023-05-04
OA Buyer Inc.,co_479b2e9269cd,First Lien,,10.6%,,SOFR,5.75%,,,5574,5478,5496,0.5%,5478,,,,BBDC,2023-05-04
OA Buyer Inc.,co_479b2e9269cd,Revolver,,10.6%,,SOFR,5.75%,,,0,-22,-18,0%,-22,,,,BBDC,2023-05-04
OA Buyer Inc.,co_479b2e9269cd,Other Equity,,,,,,,,,211,226,0%,211,,,,BBDC,2023-05-04
OAC Holdings I Corp.,co_518f18c5761f,First Lien,,9.8%,,SOFR,5%,,,3603,3541,3555,0.3%,3541,,,,BBDC,2023-05-04
OAC Holdings I Corp.,co_518f18c5761f,Revolver,,9.8%,,SOFR,5%,,,1116,1093,1097,0.1%,1093,,,,BBDC,2023-05-04
Offen Inc.,co_1aaa340bef9a,First Lien,,9.8%,,SOFR,5%,,,3736,3699,3699,0.3%,3699,,,,BBDC,2023-05-04
OG III B.V. Containers & Glass Products,co_a4d68731e7b4,First Lien,Containers & Packaging,8.7%,,SOFR,5.5%,,,3441,3676,3243,0.3%,3676,,,,BBDC,2023-05-04
Omni Intermediate Holdings LLC,co_e1a292c2bcb6,First Lien,Media & Entertainment,9.9%,,SOFR,5%,,,8408,8374,8181,0.7%,8374,,,,BBDC,2023-05-04
Options Technology Ltd.,co_2bfb63549662,First Lien,Software & Technology,9%,,SOFR,4.75%,,,2284,2262,2229,0.2%,2262,,,,BBDC,2023-05-04
Oracle Vision Bidco Limited Healthcare,co_8339c620a867,First Lien,Healthcare,7.7%,,SOFR,4.75%,,,2830,3154,2830,0.2%,3154,,,,BBDC,2023-05-04
Origin Bidco Limited Technology,co_8eed360a9f4f,First Lien,Software & Technology,8.4%,,SOFR,5.75%,,,360,395,351,0%,395,,,,BBDC,2023-05-04
Origin Bidco Limited Technology,co_8eed360a9f4f,First Lien,Software & Technology,10.7%,,SOFR,5.75%,,,597,584,582,0%,584,,,,BBDC,2023-05-04
OSP Hamilton Purchaser LLC,co_c35ac194d8dc,First Lien,,11%,,SOFR,6%,,,2258,2221,2190,0.2%,2221,,,,BBDC,2023-05-04
OSP Hamilton Purchaser LLC,co_c35ac194d8dc,First Lien,,10.9%,,SOFR,6%,,,2274,2209,2206,0.2%,2209,,,,BBDC,2023-05-04
