company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Structured Credit Gulf Stream Meridian,Other Equity,,11.62%,,,,,,,,1832,1750,0.1%,1832,,,,,,TSLX,2023-08-03
Structured Credit Jefferson Mill CLO Ltd.,Other Equity,,8.8%,,,,,,,,904,877,0.1%,904,,,,,,TSLX,2023-08-03
Structured Credit KKR CLO Ltd.,Other Equity,,13.05%,,,,,,,,972,954,0.1%,972,,,,,,TSLX,2023-08-03
Structured Credit Madison Park CLO,Other Equity,,10.51%,,,,,,,,894,922,0.1%,894,,,,,,TSLX,2023-08-03
Structured Credit Magnetite CLO Ltd.,Other Equity,,11.46%,,,,,,,,918,944,0.1%,918,,,,,,TSLX,2023-08-03
Structured Credit MidOcean Credit CLO Ltd.,Other Equity,,8.77%,,,,,,,,3159,3037,0.2%,3159,,,,,,TSLX,2023-08-03
Structured Credit MidOcean Credit CLO Ltd.,Other Equity,,11.3%,,,,,,,,963,892,0.1%,963,,,,,,TSLX,2023-08-03
Structured Credit Octagon 57 LLC,Other Equity,,11.86%,,,,,,,,940,896,0.1%,940,,,,,,TSLX,2023-08-03
Structured Credit Octagon Investment Partners 18 Ltd.,Other Equity,Financial Services,7.96%,,,,,,,,902,878,0.1%,902,,,,,,TSLX,2023-08-03
Structured Credit Octagon Investment Partners 38 Ltd.,Other Equity,Financial Services,8.2%,,,,,,,,2484,2545,0.2%,2484,,,,,,TSLX,2023-08-03
Structured Credit Park Avenue Institutional Advisers CLO Ltd.,Other Equity,,8.58%,,,,,,,,866,867,0.1%,866,,,,,,TSLX,2023-08-03
Structured Credit Pikes Peak CLO,Other Equity,,11.87%,,,,,,,,1782,1780,0.1%,1782,,,,,,TSLX,2023-08-03
Structured Credit RR Ltd.,Other Equity,,11.66%,,,,,,,,945,934,0.1%,945,,,,,,TSLX,2023-08-03
Structured Credit Shackelton CLO Ltd.,Other Equity,,8.59%,,,,,,,,895,893,0.1%,895,,,,,,TSLX,2023-08-03
Structured Credit Signal Peak CLO LLC,Other Equity,,10.91%,,,,,,,,900,853,0.1%,900,,,,,,TSLX,2023-08-03
Structured Credit Southwick Park CLO Ltd.,Other Equity,,11.5%,,,,,,,,930,877,0.1%,930,,,,,,TSLX,2023-08-03
Structured Credit Stewart Park CLO Ltd.,Other Equity,,7.86%,,,,,,,,916,889,0.1%,916,,,,,,TSLX,2023-08-03
Structured Credit Voya CLO Ltd.,Other Equity,,11.01%,,,,,,,,2406,2221,0.2%,2406,,,,,,TSLX,2023-08-03
Structured Credit Whitebox CLO I Ltd.,Other Equity,,8.62%,,,,,,,,1010,1077,0.1%,1010,,,,,,TSLX,2023-08-03
Structured Credit Wind River CLO Ltd.,Other Equity,,8.16%,,,,,,,,1385,1295,0.1%,1385,,,,,,TSLX,2023-08-03
Structured Credit Wind River CLO Ltd.,Other Equity,,8.98%,,,,,,,,2626,2732,0.2%,2626,,,,,,TSLX,2023-08-03
Structured Credit Wind River CLO Ltd.,Other Equity,,10.9%,,,,,,,,1704,1679,0.1%,1704,,,,,,TSLX,2023-08-03
Structured Credit,Other,,,,,,,,,,54956,54183,4.8%,54956,,,,,,TSLX,2023-08-03
American Achievement Corp.,Other Equity,Consumer & Retail,,,,,,2021-03-16,,,,50,0%,,,,,687,,TSLX,2023-08-03
Controlled Affiliated Investments IRGSE Holding Corp.,Other,Financial Services,,,,,,,,,,66654,,,,,,,,TSLX,2023-08-03
Controlled Affiliated Investments,Other,Financial Services,,,,,,,,,,66654,,,,,,,,TSLX,2023-08-03
