company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Kyriba Corp.,First Lien,Financial Services,10.54%,,E,7.25%,,2019-04-09,,,373,336,0%,373,,,,,,TSLX,2023-08-03
Passport Labs Inc.,First Lien,Financial Services,13.64%,,SOFR,8.40%,,2021-04-28,,,23907,23739,1.6%,23907,,,,,,TSLX,2023-08-03
Ping Identity Holding Corp.,First Lien,Financial Services,12.08%,,SOFR,7.00%,,2022-10-17,,,22149,22415,1.5%,22149,,,,,,TSLX,2023-08-03
PrimeRevenue Inc.,First Lien,Financial Services,12.2%,,SOFR,7.10%,,2018-12-31,,,16480,16621,1.1%,16480,,,,,,TSLX,2023-08-03
TradingScreen Inc.,First Lien,Financial Services,11.52%,,LIBOR,6.25%,,2021-04-30,,,43531,43882,3%,43531,,,,,,TSLX,2023-08-03
BCTO Ace Purchaser Inc.,First Lien,Healthcare,13.71%,,SOFR,8.45%,,2020-11-23,,,66389,67408,4.6%,66389,,,,,,TSLX,2023-08-03
Edge Bidco B.V,First Lien,Healthcare,10.6%,3.25%,E,7.00%,,2023-02-24,,,3532,3389,0.3%,3532,,,,,,TSLX,2023-08-03
Homecare Software Solutions LLC,First Lien,Healthcare,10.79%,,SOFR,5.70%,,2021-10-06,,,63870,64187,4.4%,63870,,,,,,TSLX,2023-08-03
Integrated Practice Solutions Inc.,First Lien,Healthcare,12.2%,,SOFR,7.00%,,2017-06-30,,,44345,44868,3.1%,44345,,,,,,TSLX,2023-08-03
Merative LP.,First Lien,Healthcare,12.5%,,SOFR,7.25%,,2022-06-30,,,68052,68701,4.7%,68052,,,,,,TSLX,2023-08-03
Raptor US Buyer II Corp.,First Lien,Healthcare,11.97%,,SOFR,6.75%,,2023-03-24,,,15097,15296,1%,15097,,,,,,TSLX,2023-08-03
Hotel Gaming and Leisure ASG II LLC,First Lien,Healthcare,11.45%,,SOFR,6.40%,,2022-05-25,,,58479,58999,4%,58479,,,,,,TSLX,2023-08-03
Hotel Gaming and Leisure IRGSE Holding Corp.,First Lien,Healthcare,14.89%,,SOFR,9.65%,,2015-09-29,,,28594,30034,2.1%,28594,,,,,,TSLX,2023-08-03
