company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Bear OpCo LLC,co_431fa60c5354,First Lien,Financial Services,13.01%,,SOFR,7.65%,,2019-10-10,,,21294,21713,1.5%,21294,,,,,,TSLX,2024-02-15
BlueSnap Inc.,co_e9c06499074e,First Lien,Financial Services,12.5%,,SOFR,7.15%,,2019-10-25,,,41516,42117,2.8%,41516,,,,,,TSLX,2024-02-15
CLGF Holdco 2 LLC,co_15dabfacda6d,First Lien,Financial Services,13.85%,,SOFR,8.5%,,2023-11-07,,,3845,3867,0.3%,3845,,,,,,TSLX,2024-02-15
Fullsteam Operations LLC,co_7fda0624447b,First Lien,Financial Services,13.78%,,SOFR,8.4%,,2023-11-27,,,28611,29049,1.9%,28611,,,,,,TSLX,2024-02-15
Ibis Intermediate Co.,co_3c7b32adc78c,First Lien,Financial Services,10.04%,,SOFR,4.65%,,2021-05-28,,,1066,1257,0.1%,1066,,,,,,TSLX,2024-02-15
Ibis US Blocker Co.,co_20edc4b49093,First Lien,Financial Services,13.79%,13.79%,SOFR,8.4%,,2021-05-28,,,15743,15838,1.1%,15743,,,,,,TSLX,2024-02-15
Kyriba Corp.,co_ae282626b2b2,First Lien,Financial Services,13.87%,8.5%,SOFR,8.5%,,2023-12-21,,,34875,34871,2.3%,34875,,,,,,TSLX,2024-02-15
Kyriba Corp.,co_ae282626b2b2,First Lien,Financial Services,12.42%,8.5%,E,8.5%,,2023-12-21,,,11766,10705,0.8%,11766,,,,,,TSLX,2024-02-15
Passport Labs Inc.,co_19e3f5ef24c1,First Lien,Financial Services,13.75%,,SOFR,8.4%,,2021-04-28,,,24444,24555,1.6%,24444,,,,,,TSLX,2024-02-15
Ping Identity Holding Corp.,co_ffac9ca8d93d,First Lien,Financial Services,12.36%,,SOFR,7%,,2022-10-17,,,22183,23165,1.5%,22183,,,,,,TSLX,2024-02-15
PrimeRevenue Inc.,co_ff22dad9f486,First Lien,Financial Services,12.46%,,SOFR,7.1%,,2018-12-31,,,8996,9083,0.6%,8996,,,,,,TSLX,2024-02-15
TradingScreen Inc.,co_bcd1d87d1739,First Lien,Financial Services,11.73%,,SOFR,6.35%,,2021-04-30,,,46360,47080,3.1%,46360,,,,,,TSLX,2024-02-15
Volante Technologies Inc.,co_33903c69be32,First Lien,Financial Services,16.50%,16.5%,SOFR,16.5%,,2023-09-29,,,2578,2598,0.2%,2578,,,,,,TSLX,2024-02-15
BCTO Ace Purchaser Inc.,co_e05596b6f79f,First Lien,Healthcare,12.84%,,SOFR,7.45%,,2020-11-23,,,68325,69746,4.7%,68325,,,,,,TSLX,2024-02-15
Edge Bidco B.V,co_bb8beb89e235,First Lien,Healthcare,16.1%,3.25%,E,7%,,2023-02-24,,,3951,3862,0.3%,3951,,,,,,TSLX,2024-02-15
Homecare Software Solutions LLC,co_55777cd657ff,First Lien,Healthcare,11.06%,,SOFR,5.7%,,2021-10-06,,,64017,64838,4.3%,64017,,,,,,TSLX,2024-02-15
Merative LP.,co_5beea20237de,First Lien,Healthcare,12.6%,,SOFR,7.25%,,2022-06-30,,,68205,69753,4.7%,68205,,,,,,TSLX,2024-02-15
Raptor US Buyer II Corp.,co_fe427d263088,First Lien,Healthcare,12.1%,,SOFR,6.75%,,2023-03-24,,,15070,15491,1%,15070,,,,,,TSLX,2024-02-15
SL Buyer Corp.,co_d5380a1b7b2d,First Lien,Healthcare,12.36%,,SOFR,7%,,2023-07-07,,,30139,30902,2.1%,30139,,,,,,TSLX,2024-02-15
Hotel Gaming and Leisure ASG II LLC,co_4ed3ad81c8b3,First Lien,Healthcare,11.77%,,SOFR,6.4%,,2022-05-25,,,60383,61934,4.1%,60383,,,,,,TSLX,2024-02-15
Hotel Gaming and Leisure IRGSE Holding Corp.,co_debf032fd96e,First Lien,Healthcare,15%,,SOFR,9.65%,,2018-12-21,,,28594,30109,2%,28594,,,,,,TSLX,2024-02-15
Hotel Gaming and Leisure IRGSE Holding Corp.,co_debf032fd96e,First Lien,Healthcare,15.03%,,SOFR,9.65%,,2018-12-21,,,27622,27480,1.8%,27622,,,,,,TSLX,2024-02-15
Axonify Inc.,co_097cff3d7bc7,First Lien,Business Services,13.04%,,SOFR,7.65%,,2021-05-05,,,41035,41718,2.7%,41035,,,,,,TSLX,2024-02-15
bswift LLC,co_a01d1078b903,First Lien,Business Services,12.03%,,SOFR,6.63%,,2022-11-07,,,43236,44802,3%,43236,,,,,,TSLX,2024-02-15
Elysian Finco Ltd.,co_af246876d3a9,First Lien,Business Services,12.03%,6.5%,SOFR,6.65%,,2021-01-31,,,19112,19987,,19112,,,,,,TSLX,2024-02-15
Employment Hero Holdings Pty Ltd.,co_3af31feb4fcf,First Lien,Business Services,10.67%,,SOFR,6.25%,,2021-12-06,,,34834,50000,2.3%,34834,,,,,,TSLX,2024-02-15
HireVue Inc.,co_11dc66f5fce5,First Lien,Business Services,12.63%,,SOFR,7.25%,,2023-05-03,,,52478,53808,3.6%,52478,,,,,,TSLX,2024-02-15
Madcap Software Inc.,co_8e74c9c95bae,First Lien,Business Services,11.46%,,SOFR,6.1%,,2023-12-15,,,31713,31769,2.1%,31713,,,,,,TSLX,2024-02-15
PageUp People Ltd.,co_5668c7825deb,First Lien,Business Services,9.36%,,SOFR,5%,,2018-01-11,,,10114,13400,0.6%,10114,,,,,,TSLX,2024-02-15
PageUp People Ltd.,co_5668c7825deb,First Lien,Business Services,10.22%,,SOFR,5.03%,,2021-10-28,,,4276,3104,0.3%,4276,,,,,,TSLX,2024-02-15
PageUp People Ltd.,co_5668c7825deb,First Lien,Business Services,10.45%,,SOFR,5.1%,,2021-10-28,,,10549,10557,0.7%,10549,,,,,,TSLX,2024-02-15
PayScale Holdings Inc.,co_9e08f9c16f73,First Lien,Business Services,11.7%,,SOFR,6.35%,,2019-05-03,,,70826,71374,4.8%,70826,,,,,,TSLX,2024-02-15
PrimePay Intermediate LLC,co_cc5468d3539b,First Lien,Business Services,12.54%,,SOFR,7.15%,,2021-12-17,,,33672,34375,2.3%,33672,,,,,,TSLX,2024-02-15
Human Resource Support Services,co_d8cbade7c7be,Other,Business Services,,,,,,,,,351845,355607,23.7%,351845,,,,,,TSLX,2024-02-15
Disco Parent Inc.,co_a5b792e8b846,First Lien,Insurance,12.89%,,SOFR,7.5%,,2023-03-30,,,4436,4533,0.3%,4436,,,,,,TSLX,2024-02-15
Arrow Buyer Inc.,co_c17b6075f571,First Lien,Software & Technology,11.85%,,SOFR,6.5%,,2023-06-30,,,32249,32820,2.2%,32249,,,,,,TSLX,2024-02-15
Bayshore Intermediate #2 LP.,co_6f00abc08b8d,First Lien,Software & Technology,,12.96%,SOFR,7.6%,,2021-10-01,,,36129,36446,2.4%,36129,,,,,,TSLX,2024-02-15
Bayshore Intermediate #2 LP.,co_6f00abc08b8d,First Lien,Software & Technology,12.01%,,SOFR,6.6%,,2021-10-01,,,446,468,0%,446,,,,,,TSLX,2024-02-15
Coupa Holdings LLC,co_ed1cdc7e5f73,First Lien,Software & Technology,12.86%,,SOFR,7.5%,,2023-02-27,,,42135,43441,2.9%,42135,,,,,,TSLX,2024-02-15
CrunchTime Information Systems Inc.,co_eeb74d97b142,First Lien,Software & Technology,11.36%,,SOFR,6%,,2022-06-17,,,58477,59947,4%,58477,,,,,,TSLX,2024-02-15
EDB Parent LLC,co_df27f4cc4264,First Lien,Software & Technology,12.1%,,SOFR,6.75%,,2022-07-07,,,62301,63032,4.2%,62301,,,,,,TSLX,2024-02-15
Higher Logic LLC,co_ae5f2d50706f,First Lien,Software & Technology,12.1%,,SOFR,6.75%,,2018-06-18,,,52781,53069,3.5%,52781,,,,,,TSLX,2024-02-15
LeanTaaS Holdings Inc.,co_e9b4ca1d8d88,First Lien,Software & Technology,12.85%,,SOFR,7.5%,,2022-07-12,,,36190,37411,2.5%,36190,,,,,,TSLX,2024-02-15
Lithium Technologies LLC,co_72645dcd8c10,First Lien,Software & Technology,14.39%,4.5%,SOFR,9%,,2017-10-03,,,57673,56367,3.8%,57673,,,,,,TSLX,2024-02-15
Lucidworks Inc.,co_370f5a68f8c1,First Lien,Software & Technology,12.86%,3.5%,SOFR,7.5%,,2022-02-11,,,8912,8912,0.6%,8912,,,,,,TSLX,2024-02-15
Piano Software Inc.,co_135c34096c85,First Lien,Software & Technology,12.45%,,SOFR,7.1%,,2021-02-25,,,50282,50508,3.3%,50282,,,,,,TSLX,2024-02-15
SMA Technologies Holdings LLC,co_e3c0b3e538af,First Lien,Software & Technology,12.11%,,SOFR,6.75%,,2022-10-31,,,35459,37110,2.5%,35459,,,,,,TSLX,2024-02-15
Internet Services,co_3ddfe6e0e4c6,Other,Software & Technology,,,,,,,,,473034,479531,31.9%,473034,,,,,,TSLX,2024-02-15
ASP Unifrax Holdings Inc.,co_1c04d6eb55c2,First Lien,Industrials,9.25%,,SOFR,3.9%,,2023-08-25,,,1053,1051,0.1%,1053,,,,,,TSLX,2024-02-15
ASP Unifrax Holdings Inc.,co_1c04d6eb55c2,Other Equity,Industrials,7.68%,,SOFR,3.75%,,2023-09-14,,,998,932,0.1%,998,,,,,,TSLX,2024-02-15
ASP Unifrax Holdings Inc.,co_1c04d6eb55c2,Other Equity,Industrials,5.25%,,SOFR,5.25%,,2023-12-19,,,62,66,0%,62,,,,,,TSLX,2024-02-15
Unsecured Note,co_3534be1ccf5e,Other Equity,Industrials,7.5%,,SOFR,7.5%,,2023-08-31,,,570,540,0%,570,,,,,,TSLX,2024-02-15
Avalara Inc.,co_a4b384bba79c,Other Equity,Industrials,12.6%,,SOFR,7.25%,,2022-10-19,,,37736,38743,2.6%,37736,,,,,,TSLX,2024-02-15
Skylark UK DebtCo Ltd.,co_1c9e4283e48d,Other Equity,Industrials,11.6%,,SOFR,6.25%,,2023-09-07,,,15722,15812,1.1%,15722,,,,,,TSLX,2024-02-15
Oil Gas and Consumable Fuels Laramie Energy LLC,co_60997cd18902,First Lien,Energy,12.46%,,SOFR,7.1%,,2023-02-21,,,26768,27142,1.8%,26768,,,,,,TSLX,2024-02-15
Mach Natural Resource LP,co_45facbad724f,First Lien,,14%,,SOFR,8.65%,,2022-06-30,,,27453,28267,1.9%,27453,,,,,,TSLX,2024-02-15
Mach Resource,co_be48d37b5e53,First Lien,,12%,,SOFR,6.65%,,2023-12-28,,,4900,4900,0.3%,4900,,,,,,TSLX,2024-02-15
Oil Gas and Consumable Fuels TRP Assets LLC,co_3ecebf652d74,First Lien,Energy,13.11%,,SOFR,7.76%,,2021-12-03,,,64372,66980,4.5%,64372,,,,,,TSLX,2024-02-15
Consumable Fuels,co_e5ae64383118,First Lien,Energy,,,,,,,,,123493,127289,8.5%,123493,,,,,,TSLX,2024-02-15
Other Omnigo Software LLC,co_b5653d01b9d0,First Lien,Software & Technology,11.96%,,SOFR,6.6%,,2021-03-31,,,39440,39743,2.7%,39440,,,,,,TSLX,2024-02-15
99 Cents Only Stores LLC,co_53f0e851f01d,First Lien,Consumer & Retail,14.03%,,SOFR,8.65%,,2017-09-06,,,24868,25000,1.7%,24868,,,,,,TSLX,2024-02-15
American Achievement Corp.,co_6f80f9eaa203,First Lien,Consumer & Retail,11.19%,11.19%,SOFR,6.35%,,2015-09-30,,,26219,20488,1.4%,26219,,,,,,TSLX,2024-02-15
American Achievement Corp.,co_6f80f9eaa203,First Lien,Consumer & Retail,18.94%,18.94%,LIBOR,14.1%,,2021-06-10,,,1352,101,0%,1352,,,,,,TSLX,2024-02-15
American Achievement Corp.,co_6f80f9eaa203,First Lien,Consumer & Retail,,6.54%,SOFR,1.15%,,2021-03-16,,,545,71,0%,545,,,,,,TSLX,2024-02-15
Bed Bath,co_d4bb01412646,First Lien,Consumer & Retail,15.26%,,SOFR,9.9%,,2022-09-02,,,13787,13468,0.9%,13787,,,,,,TSLX,2024-02-15
Bed Bath,co_d4bb01412646,First Lien,Consumer & Retail,13.26%,13.26%,SOFR,7.9%,,2023-04-24,,,25931,24828,1.7%,25931,,,,,,TSLX,2024-02-15
Bed Bath,co_d4bb01412646,First Lien,Consumer & Retail,13.26%,,SOFR,7.9%,,2023-04-24,,,4739,4538,0.3%,4739,,,,,,TSLX,2024-02-15
Cordance Operations LLC,co_ce5727aa8649,First Lien,Consumer & Retail,14.66%,,SOFR,9.25%,,2022-07-25,,,48641,49801,3.2%,48641,,,,,,TSLX,2024-02-15
