company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Eagle Family Foods Group LLC,First Lien,Food & Beverage,7.50%,,LIBOR,650,2024-06-14,2024-06-14,14663,,,,14439,,,CION,2020-11-16
Entertainment Studios P&A LLC,Other Debt,Media & Entertainment,6.26%,,N/A,,,2037-05-18,14082,,,,13979,,,CION,2020-11-16
Entertainment Studios P&A LLC,Other Debt,Media & Entertainment,5.00%,,N/A,,,,,,,,,,,CION,2020-11-16
EnTrans International LLC,First Lien,Other,6.00%,,LIBOR,600,2024-11-01,2024-11-01,26625,,,,26427,,,CION,2020-11-16
ES Chappaquiddick LLC,Other Debt,Media & Entertainment,10.00%,,N/A,,,2022-05-18,925,,,,925,,,CION,2020-11-16
Extreme Reach Inc.,First Lien,Media & Entertainment,9.00%,,LIBOR,750,2024-03-29,2024-03-29,16173,,,,16110,,,CION,2020-11-16
Extreme Reach Inc.,Unfunded Commitment,Media & Entertainment,,,,,,2024-03-29,1163,,,,,,,CION,2020-11-16
Extreme Reach Inc.,First Lien,Media & Entertainment,9.00%,,LIBOR,750,2024-03-29,2024-03-29,581,,,,579,,,CION,2020-11-16
F+W Media Inc.,First Lien,Media & Entertainment,8.00%,,LIBOR,650,2022-05-24,2022-05-24,1174,,,,1115,,,CION,2020-11-16
Foundation Consumer Healthcare LLC,First Lien,Pharmaceuticals & Biotechnology,7.00%,,LIBOR,600,2023-11-02,2023-11-02,38770,,,,38531,,,CION,2020-11-16
Foundation Consumer Healthcare LLC,Unfunded Commitment,Pharmaceuticals & Biotechnology,,,,,,2023-11-02,4211,,,,,,,CION,2020-11-16
Genesis Healthcare Inc.,First Lien,Pharmaceuticals & Biotechnology,6.50%,,LIBOR,600,2023-03-06,2023-03-06,30000,,,,29830,,,CION,2020-11-16
Academy Ltd.,First Lien,Retail,8.00%,,LIBOR,400,2022-07-01,2022-07-01,14236,,,,,,,CION,2020-11-16
