company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Dorner Manufacturing Corp.,First Lien,Other,,,,,,,,,7911,7768,7911,,,BCSF,2019-08-07
DXP Enterprises Inc.,First Lien,Other,,,,,,,,,5152,5112,5165,,,BCSF,2019-08-07
EXC Holdings III Corp.,Second Lien,Other,,,,,,,,,8240,8254,8268,,,BCSF,2019-08-07
Terminator Bidco AS,First Lien,Packaging,,,,,,,,,15100,14841,15100,1.5,,BCSF,2019-08-07
Infinite Electronics International Inc.,First Lien,Energy & Utilities,,,,,,,,,19853,19839,19753,2.2,,BCSF,2019-08-07
Infinite Electronics International Inc.,Second Lien,Energy & Utilities,,,,,,,,,2480,2431,2480,,,BCSF,2019-08-07
Amspec Services Inc.,Revolver,Oil & Gas,,,,,,,,,5023,4964,5023,,,BCSF,2019-08-07
Amspec Services Inc.,First Lien,Oil & Gas,,,,,,,,,40073,39640,39672,7.5,,BCSF,2019-08-07
Blackbrush Oil & Gas LP,First Lien,Oil & Gas,,,,,,,,,32075,31553,31754,,,BCSF,2019-08-07
Adler & Allan Group Ltd.,First Lien,Environmental Services,,,N/A,2.0%,,2022-09-30,13192,16685,16749,1.6,,,,BCSF,2019-08-07
Ivy Finco Ltd.,First Lien,Insurance,,,N/A,,,,,,,,,,,BCSF,2019-08-07
Ivy Finco Ltd.,First Lien,Insurance,,,N/A,,2025-05-19,,8923,8911,,,,,,BCSF,2019-08-07
Margaux Acquisition Inc.,Delayed Draw,Insurance,,,,,,,,,2197,2015,2080,,,BCSF,2019-08-07
Margaux Acquisition Inc.,Revolver,Insurance,,,N/A,,,,,,,,,,,BCSF,2019-08-07
Margaux Acquisition Inc.,First Lien,Insurance,,,,,,,,,29062,28492,28699,,,BCSF,2019-08-07
Margaux UK Finance Ltd.,Revolver,Insurance,,,N/A,,,,,,,,,,,BCSF,2019-08-07
Margaux UK Finance Ltd.,First Lien,Insurance,,,N/A,,2024-12-19,,9903,9808,,,,,,BCSF,2019-08-07
Wink Holdco Inc.,Second Lien,Insurance,,,,,,,,,3409,3404,3439,,,BCSF,2019-08-07
Wink Holdco Inc.,First Lien,Insurance,,,,,,,,,6758,6729,6626,,,BCSF,2019-08-07
Spectre (Carrisbrook House) Ltd.,First Lien,Real Estate,,,N/A,,2021-08-09,,10756,10577,1.0,,,,,BCSF,2019-08-07
Solenis International LLC,Second Lien,Packaging,,,,,,,,,10601,10288,10450,2.3,,BCSF,2019-08-07
Solenis International LLC,First Lien,Packaging,,,,,,,,,13281,13224,13141,,,BCSF,2019-08-07
Clinical Innovations LLC,Revolver,Pharmaceuticals & Biotechnology,,,,,,,,,432,415,432,,,BCSF,2019-08-07
