company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Veregy Consolidated Inc.,co_46d628acb720,First Lien,,10.83%,,SOFR,6%,,,,20832,20453,17864,0.43%,20453,,,,,,BXSL,2023-05-10
ASP Endeavor Acquisition LLC,co_c3bbef187c5f,First Lien,,11.35%,,SOFR,6.5%,,,,13730,13543,12700,0.3%,13543,,,,,,BXSL,2023-05-10
COP Home Services TopCo IV Inc.,co_003fbb452390,First Lien,Business Services,9.83%,,SOFR,5%,,,,22551,22057,21638,0.52%,22057,,,,,,BXSL,2023-05-10
Ascend Buyer LLC,co_596d8fb99549,First Lien,,11.45%,,SOFR,6.4%,,,,18838,18513,18442,0.44%,18513,,,,,,BXSL,2023-05-10
Ascend Buyer LLC,co_596d8fb99549,First Lien,,11.45%,,SOFR,6.4%,,,,1990,1935,1950,0.05%,1935,,,,,,BXSL,2023-05-10
BP Purchaser LLC,co_8150b35b92d0,First Lien,,10.65%,,SOFR,5.5%,,,,7314,7195,6966,0.17%,7195,,,,,,BXSL,2023-05-10
Bution Holdco 2 Inc.,co_c437ddbe4a48,First Lien,,11.09%,,SOFR,6.25%,,,,72496,71881,72496,1.73%,71881,,,,,,BXSL,2023-05-10
Dana Kepner Company LLC,co_fc7dd6a861b6,First Lien,,10.85%,,SOFR,6%,,,,63130,62342,62815,1.5%,62342,,,,,,BXSL,2023-05-10
Dana Kepner Company LLC,co_fc7dd6a861b6,First Lien,,10.85%,,SOFR,6%,,,,1990,1956,1980,0.05%,1956,,,,,,BXSL,2023-05-10
Genuine Cable Group LLC,co_5f14a9751d6f,First Lien,,10.45%,,SOFR,5.75%,,,,179534,176959,175943,4.2%,176959,,,,,,BXSL,2023-05-10
Marcone Yellowstone Buyer Inc.,co_06e38a591790,First Lien,,11.29%,,SOFR,6.25%,,,,4938,4857,4740,0.11%,4857,,,,,,BXSL,2023-05-10
Marcone Yellowstone Buyer Inc.,co_06e38a591790,First Lien,,11.32%,,SOFR,6.25%,,,,1590,1574,1542,0.04%,1574,,,,,,BXSL,2023-05-10
Marcone Yellowstone Buyer Inc.,co_06e38a591790,First Lien,,11.54%,,SOFR,6.5%,,,,1578,1525,1521,0.04%,1525,,,,,,BXSL,2023-05-10
NDC Acquisition Corp.,co_d196eaf19507,First Lien,,10.42%,,SOFR,5.5%,,,,514,452,445,0.01%,452,,,,,,BXSL,2023-05-10
NDC Acquisition Corp.,co_d196eaf19507,First Lien,,10.5%,,SOFR,5.5%,,,,13526,13282,13256,0.32%,13282,,,,,,BXSL,2023-05-10
Tailwind Colony Holding Corp.,co_b024f17c1960,First Lien,,11.39%,,SOFR,6.5%,,,,32145,32004,31181,0.74%,32004,,,,,,BXSL,2023-05-10
Tailwind Colony Holding Corp.,co_b024f17c1960,First Lien,,11.4%,,SOFR,6.5%,,,,1000,971,960,0.02%,971,,,,,,BXSL,2023-05-10
Tailwind Colony Holding Corp.,co_b024f17c1960,First Lien,,11.12%,,SOFR,6.35%,,,,10499,10389,10184,0.24%,10389,,,,,,BXSL,2023-05-10
Unified Door & Hardware Group LLC,co_7e29938c048c,First Lien,Software & Technology,10.48%,,SOFR,5.75%,,,,94117,93080,90352,2.16%,93080,,,,,,BXSL,2023-05-10
Unified Door & Hardware Group LLC,co_7e29938c048c,First Lien,Software & Technology,10.74%,,SOFR,5.75%,,,,995,957,955,0.02%,957,,,,,,BXSL,2023-05-10
Cambium Learning Group Inc.,co_5f6fe6ba04d4,First Lien,Education,10.31%,,SOFR,5.5%,,,,291362,289155,291362,6.95%,289155,,,,,,BXSL,2023-05-10
Dreambox Learning Holding LLC,co_edee533151f0,First Lien,Education,10%,,SOFR,6.25%,,,,7087,6976,6661,0.16%,6976,,,,,,BXSL,2023-05-10
Go Car Wash Management Corp.,co_d297689eb284,First Lien,Automotive,11.16%,,SOFR,6.25%,,,,10545,10374,10281,0.25%,10374,,,,,,BXSL,2023-05-10
Go Car Wash Management Corp.,co_d297689eb284,First Lien,Automotive,10.97%,,SOFR,6.25%,,,,11942,11736,11617,0.28%,11736,,,,,,BXSL,2023-05-10
Groundworks LLC,co_a472bc28d7de,First Lien,,11.36%,,SOFR,6.5%,,,,715,690,690,0.02%,690,,,,,,BXSL,2023-05-10
Barbri Holdings Inc.,co_1c2a3e4f198a,First Lien,,10.59%,,SOFR,5.75%,,,,64405,63444,63439,1.51%,63444,,,,,,BXSL,2023-05-10
SelectQuote Inc.,co_b6564b3b0c7b,First Lien,,12.91%,2%,SOFR,8%,,,,74357,73732,66921,1.6%,73732,,,,,,BXSL,2023-05-10
Point Broadband Acquisition LLC,co_88ac0c5a847c,First Lien,,10.78%,,SOFR,6%,,,,86140,84448,84848,2.02%,84448,,,,,,BXSL,2023-05-10
