company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Jones Deslauriers Insurance Management Inc.,co_19415662008a,First Lien,Insurance,9.27%,,SOFR,4.25%,,,,7578,6097,5550,0.13%,6097,,,,,,BXSL,2023-05-10
Jones Deslauriers Insurance Management Inc.,co_19415662008a,First Lien,Insurance,9.27%,,SOFR,4.25%,,,,5516,4339,4040,0.1%,4339,,,,,,BXSL,2023-05-10
Jones Deslauriers Insurance Management Inc.,co_19415662008a,First Lien,Insurance,9.27%,,SOFR,4.25%,,,,21691,17062,15887,0.38%,17062,,,,,,BXSL,2023-05-10
PGIS Intermediate Holdings LLC,co_4a34c5c38d9c,First Lien,Media & Entertainment,10.66%,,SOFR,5.5%,,,,4616,4545,4459,0.11%,4545,,,,,,BXSL,2023-05-10
SG Acquisition Inc.,co_0b14e9f96163,First Lien,,9.84%,,SOFR,5%,,,,104974,103953,104974,2.51%,103953,,,,,,BXSL,2023-05-10
Shelf Bidco Ltd.,co_f9e084dc6b85,First Lien,,10.93%,,SOFR,6.34%,,,,5091,4943,4939,0.12%,4943,,,,,,BXSL,2023-05-10
Tennessee Bidco Limited 1,co_ecc940f0a250,First Lien,,9.94%,,SOFR,7%,,,,1812,1869,1934,0.05%,1869,,,,,,BXSL,2023-05-10
Tennessee Bidco Limited 2,co_ecc940f0a250,First Lien,,10.7%,,SOFR,7.28%,,,,16190,21967,19667,0.47%,21967,,,,,,BXSL,2023-05-10
Tennessee Bidco Limited 3,co_ecc940f0a250,First Lien,,11.2%,,SOFR,7%,,,,26990,36678,32788,0.78%,36678,,,,,,BXSL,2023-05-10
Tennessee Bidco Limited 4,co_ecc940f0a250,First Lien,,12.09%,,SOFR,7%,,,,54034,52801,53088,1.27%,52801,,,,,,BXSL,2023-05-10
Tennessee Bidco Limited 5,co_ecc940f0a250,First Lien,,12.21%,,SOFR,7%,,,,15998,15805,15718,0.38%,15805,,,,,,BXSL,2023-05-10
Westland Insurance Group Ltd.,co_a6c0eeee8de9,First Lien,Insurance,11.85%,,SOFR,7%,,,,42483,40059,42483,1.01%,40059,,,,,,BXSL,2023-05-10
Westland Insurance Group Ltd.,co_a6c0eeee8de9,First Lien,Insurance,11.93%,,SOFR,7%,,,,165729,120554,122351,2.92%,120554,,,,,,BXSL,2023-05-10
Donuts Inc.,co_186d01ad1935,First Lien,,10.97%,,SOFR,6%,,,,321647,317285,318430,7.6%,317285,,,,,,BXSL,2023-05-10
AI Altius Bidco Inc.,co_0489bd3c10c3,First Lien,,10.48%,,SOFR,5.5%,,,,1289,1278,1260,0.03%,1278,,,,,,BXSL,2023-05-10
AI Altius Bidco Inc.,co_0489bd3c10c3,First Lien,,10.65%,,SOFR,5.5%,,,,5423,5334,5315,0.13%,5334,,,,,,BXSL,2023-05-10
AI Altius Bidco Inc.,co_0489bd3c10c3,First Lien,,,9.75%,SOFR,9.75%,,,,876,857,848,0.02%,857,,,,,,BXSL,2023-05-10
Infostretch Corp.,co_0c4739ba0058,First Lien,,10.8%,,SOFR,5.75%,,,,4963,4880,4727,0.11%,4880,,,,,,BXSL,2023-05-10
Inovalon Holdings Inc.,co_11d2bc228e56,First Lien,,11.21%,2.75%,SOFR,6.25%,,,,107131,104931,105921,2.53%,104931,,,,,,BXSL,2023-05-10
Monterey Financing S.à.r.l 1,co_12ab7017d4fb,First Lien,,9.3%,,SOFR,6%,,,,2090,184,197,0%,184,,,,,,BXSL,2023-05-10
Monterey Financing S.à.r.l 2,co_12ab7017d4fb,First Lien,,9.11%,,SOFR,6%,,,,4819,618,685,0.02%,618,,,,,,BXSL,2023-05-10
Monterey Financing S.à.r.l 3,co_12ab7017d4fb,First Lien,,9.01%,,SOFR,6%,,,,658,530,653,0.02%,530,,,,,,BXSL,2023-05-10
Monterey Financing S.à.r.l 4,co_12ab7017d4fb,First Lien,,9.68%,,SOFR,6%,,,,5149,462,479,0.01%,462,,,,,,BXSL,2023-05-10
Razor Holdco LLC,co_d2eb167c8dc8,First Lien,,10.59%,,SOFR,5.75%,,,,37253,36664,36694,0.88%,36664,,,,,,BXSL,2023-05-10
Red River Technology LLC,co_773db0e8a2c9,First Lien,Software & Technology,10.91%,,SOFR,6%,,,,80581,79605,80581,1.92%,79605,,,,,,BXSL,2023-05-10
Turing Holdco Inc.,co_2d2e18911947,First Lien,,11.16%,2.5%,SOFR,6%,,,,7010,7659,7818,0.19%,7659,,,,,,BXSL,2023-05-10
Turing Holdco Inc.,co_2d2e18911947,First Lien,,10.79%,2.5%,SOFR,6%,,,,8437,8238,8289,0.2%,8238,,,,,,BXSL,2023-05-10
Turing Holdco Inc.,co_2d2e18911947,First Lien,,8%,,SOFR,6%,,,,10880,12306,11614,0.28%,12306,,,,,,BXSL,2023-05-10
MHE Intermediate Holdings 1,co_63d8baee0889,First Lien,Media & Entertainment,11.16%,,SOFR,6.25%,,,,464,451,445,0.01%,451,,,,,,BXSL,2023-05-10
MHE Intermediate Holdings 2,co_63d8baee0889,First Lien,Media & Entertainment,9.16%,,SOFR,6%,,,,396,389,383,0.01%,389,,,,,,BXSL,2023-05-10
MHE Intermediate Holdings 3,co_63d8baee0889,First Lien,Media & Entertainment,10.91%,,SOFR,6%,,,,3433,3385,3321,0.08%,3385,,,,,,BXSL,2023-05-10
Armada Parent Inc.,co_d986ff9f0ec8,First Lien,,10.66%,,SOFR,5.75%,,,,25931,25480,25353,0.61%,25480,,,,,,BXSL,2023-05-10
Trader Corp.,co_ecd2a30c5a57,First Lien,,11.68%,,SOFR,6.75%,,,,10000,6730,6768,0.16%,6730,,,,,,BXSL,2023-05-10
Eagle Midstream Canada Finance Inc.,co_8df4ad7e97ac,First Lien,Energy,11.01%,,SOFR,6.25%,,,,74649,73646,74089,1.77%,73646,,,,,,BXSL,2023-05-10
KKR Alberta Midstream Finance Inc.,co_0ede2995b94d,First Lien,Energy,11.01%,,SOFR,6.25%,,,,40611,40066,40307,0.96%,40066,,,,,,BXSL,2023-05-10
Profile Products LLC,co_748a55d10192,First Lien,,10.41%,,SOFR,5.5%,,,,5873,5799,5740,0.14%,5799,,,,,,BXSL,2023-05-10
Profile Products LLC,co_748a55d10192,First Lien,,10.3%,,SOFR,5.5%,,,,749,735,729,0.02%,735,,,,,,BXSL,2023-05-10
Profile Products LLC,co_748a55d10192,First Lien,,10.37%,,SOFR,5.5%,,,,1238,1219,1211,0.03%,1219,,,,,,BXSL,2023-05-10
Doc Generici,co_a060a6aea2cf,First Lien,,9.32%,,SOFR,6.5%,,,,1758,1297,1556,0.04%,1297,,,,,,BXSL,2023-05-10
ALKU LLC,co_2f494782761d,First Lien,,10.16%,,SOFR,5.25%,,,,74704,74179,74704,1.78%,74179,,,,,,BXSL,2023-05-10
ALKU LLC,co_2f494782761d,First Lien,,9.91%,,SOFR,5%,,,,38022,37673,38022,0.91%,37673,,,,,,BXSL,2023-05-10
Apex Companies LLC,co_f0a59b6f6068,First Lien,,10.93%,,SOFR,6.25%,,,,1534,1488,1487,0.04%,1488,,,,,,BXSL,2023-05-10
Apex Companies LLC,co_f0a59b6f6068,First Lien,,11.16%,,SOFR,6.25%,,,,71,69,69,0%,69,,,,,,BXSL,2023-05-10
BPPH2 Ltd.,co_75169268ff4b,First Lien,,10.68%,,SOFR,6.87%,,,,26300,35673,32193,0.77%,35673,,,,,,BXSL,2023-05-10
CFGI Holdings LLC,co_63dbc666a4cf,First Lien,,10.16%,,SOFR,5.25%,,,,7579,7414,7522,0.18%,7414,,,,,,BXSL,2023-05-10
Clearview Buyer Inc.,co_a920e7d8c29c,First Lien,,10.41%,,SOFR,5.25%,,,,9217,9038,8996,0.21%,9038,,,,,,BXSL,2023-05-10
Clearview Buyer Inc.,co_a920e7d8c29c,First Lien,,10.4%,,SOFR,5.25%,,,,314,302,296,0.01%,302,,,,,,BXSL,2023-05-10
Cumming Group Inc.,co_b43e5107fa90,First Lien,,10.81%,,SOFR,6%,,,,80674,79559,77873,1.86%,79559,,,,,,BXSL,2023-05-10
Cumming Group Inc.,co_b43e5107fa90,First Lien,,10.78%,,SOFR,6%,,,,1257,1216,1209,0.03%,1216,,,,,,BXSL,2023-05-10
Guidehouse Inc.,co_257e0270d752,First Lien,,11.16%,,SOFR,6.25%,,,,324716,322135,318222,7.59%,322135,,,,,,BXSL,2023-05-10
HIG Orca Acquisition Holdings Inc.,co_1e85ef277003,First Lien,,11.27%,,SOFR,6%,,,,19113,18818,18922,0.45%,18818,,,,,,BXSL,2023-05-10
HIG Orca Acquisition Holdings Inc.,co_1e85ef277003,First Lien,,8.24%,,SOFR,6%,,,,1234,1198,1203,0.03%,1198,,,,,,BXSL,2023-05-10
HIG Orca Acquisition Holdings Inc.,co_1e85ef277003,First Lien,,11.05%,,SOFR,6%,,,,2961,2944,2899,0.07%,2944,,,,,,BXSL,2023-05-10
IG Investments Holdings LLC,co_f6f92e4ea8cd,First Lien,Financial Services,10.83%,,SOFR,6%,,,,1306,1241,1281,0.03%,1241,,,,,,BXSL,2023-05-10
IG Investments Holdings LLC,co_f6f92e4ea8cd,First Lien,Financial Services,10.91%,,SOFR,6%,,,,45310,44601,45083,1.08%,44601,,,,,,BXSL,2023-05-10
Kaufman Hall & Associates LLC,co_f47ff00e7cb4,First Lien,,10.09%,,SOFR,5.25%,,,,24265,23869,24083,0.57%,23869,,,,,,BXSL,2023-05-10
Legacy Intermediate LLC,co_fd9c2bf5ce8c,First Lien,Media & Entertainment,10.77%,,SOFR,5.75%,,,,5738,5625,5715,0.14%,5625,,,,,,BXSL,2023-05-10
Material Holdings LLC,co_2389cec54b7f,First Lien,,10.75%,,SOFR,5.75%,,,,23541,23186,22834,0.54%,23186,,,,,,BXSL,2023-05-10
Material Holdings LLC,co_2389cec54b7f,First Lien,,10.89%,,SOFR,5.81%,,,,1554,1529,1501,0.04%,1529,,,,,,BXSL,2023-05-10
Minotaur Acquisition Inc.,co_930c45be2e6f,First Lien,,9.66%,,SOFR,4.75%,,,,1979,1931,1929,0.05%,1931,,,,,,BXSL,2023-05-10
Petrus Buyer Inc.,co_dc09d6dacee4,First Lien,,10.7%,,SOFR,6.5%,,,,1905,1835,1852,0.04%,1835,,,,,,BXSL,2023-05-10
Sherlock Buyer Corp.,co_0b97d370b799,First Lien,,10.65%,,SOFR,5.75%,,,,8551,8372,8202,0.2%,8372,,,,,,BXSL,2023-05-10
Thevelia US LLC,co_93d2c404e989,First Lien,,8.9%,,SOFR,4%,,,,1306,1293,1274,0.03%,1293,,,,,,BXSL,2023-05-10
Titan Investment Company Inc.,co_98e1b21bde5e,First Lien,Financial Services,10.57%,,SOFR,5.75%,,,,41920,40622,40033,0.96%,40622,,,,,,BXSL,2023-05-10
Trinity Air Consultants Holdings Corp.,co_b8b8988159ca,First Lien,Business Services,10.18%,,SOFR,5.25%,,,,55829,54942,55202,1.32%,54942,,,,,,BXSL,2023-05-10
Trinity Air Consultants Holdings Corp.,co_b8b8988159ca,First Lien,Business Services,10.4%,,SOFR,5.25%,,,,12107,11907,11877,0.28%,11907,,,,,,BXSL,2023-05-10
Trinity Partners Holdings LLC,co_a86c59940baa,First Lien,,10.58%,,SOFR,5.75%,,,,4792,4702,4682,0.11%,4702,,,,,,BXSL,2023-05-10
West Monroe Partners LLC,co_1b3ba9e3efc8,First Lien,,10.03%,,SOFR,5.25%,,,,14859,14621,14487,0.35%,14621,,,,,,BXSL,2023-05-10
Progress Residential PM Holdings LLC,co_ede17629599e,First Lien,,11.16%,,SOFR,6.25%,,,,70324,69075,70324,1.68%,69075,,,,,,BXSL,2023-05-10
Progress Residential PM Holdings LLC,co_ede17629599e,First Lien,,11.16%,,SOFR,6.25%,,,,833,815,833,0.02%,815,,,,,,BXSL,2023-05-10
Gruden Acquisition Inc.,co_df791512123d,First Lien,,9.88%,,SOFR,5.25%,,,,16455,16109,15554,0.37%,16109,,,,,,BXSL,2023-05-10
Anaplan Inc.,co_d0807ba39dfc,First Lien,,11.31%,,SOFR,6.5%,,,,1804,1769,1784,0.04%,1769,,,,,,BXSL,2023-05-10
AxiomSL Group Inc.,co_d95eca970bc5,First Lien,,10.59%,,SOFR,5.75%,,,,42011,41333,41303,0.99%,41333,,,,,,BXSL,2023-05-10
BlueCat Networks USA Inc.,co_b9dc830e22c3,First Lien,,10.94%,2%,SOFR,6%,,,,1964,1922,1918,0.05%,1922,,,,,,BXSL,2023-05-10
Circana Group LP. 1,co_c53bee8c3340,First Lien,,10.66%,,SOFR,5.75%,,,,121250,119041,120038,2.86%,119041,,,,,,BXSL,2023-05-10
Circana Group LP. 2,co_c53bee8c3340,First Lien,,11.54%,,SOFR,6.18%,,,,1932,1691,1794,0.04%,1691,,,,,,BXSL,2023-05-10
Circana Group LP. 3,co_c53bee8c3340,First Lien,,10.95%,2.75%,SOFR,6.25%,,,,76065,74725,74543,1.78%,74725,,,,,,BXSL,2023-05-10
Community Brands ParentCo LLC,co_da98764cecf0,First Lien,,10.66%,,SOFR,5.75%,,,,4950,4858,4838,0.12%,4858,,,,,,BXSL,2023-05-10
Confine Visual Bidco,co_1867771b8160,First Lien,,10.55%,,SOFR,5.75%,,,,15921,15520,14721,0.35%,15520,,,,,,BXSL,2023-05-10
Connatix Buyer Inc.,co_ca0c6acae604,First Lien,,10.23%,,SOFR,5.5%,,,,21761,21295,20633,0.49%,21295,,,,,,BXSL,2023-05-10
Coupa Software Inc.,co_d21122ff5bb1,First Lien,Software & Technology,12.29%,,SOFR,7.5%,,,,1836,1786,1785,0.04%,1786,,,,,,BXSL,2023-05-10
Diligent Corp.,co_043d566b8b97,First Lien,,10.59%,,SOFR,5.75%,,,,58800,58356,57036,1.36%,58356,,,,,,BXSL,2023-05-10
Discovery Education Inc.,co_8c3f91ed114d,First Lien,Education,10.71%,,SOFR,5.75%,,,,26533,26026,25722,0.61%,26026,,,,,,BXSL,2023-05-10
Episerver Inc.,co_7947765206f9,First Lien,,10.91%,,SOFR,5.75%,,,,9619,9509,8918,0.21%,9509,,,,,,BXSL,2023-05-10
Experity Inc.,co_491f66ae2d8b,First Lien,,10.75%,,SOFR,5.75%,,,,14941,14691,14448,0.34%,14691,,,,,,BXSL,2023-05-10
Gigamon Inc.,co_9ebbfee7c50f,First Lien,,10.56%,,SOFR,5.75%,,,,7384,7255,7287,0.17%,7255,,,,,,BXSL,2023-05-10
GovernmentJobs.com Inc.,co_6c582dff3963,First Lien,Business Services,10.41%,,SOFR,5.5%,,,,4950,4923,4795,0.11%,4923,,,,,,BXSL,2023-05-10
GraphPAD Software LLC,co_61592fde437f,First Lien,Software & Technology,10.71%,,SOFR,5.5%,,,,13621,13470,13220,0.32%,13470,,,,,,BXSL,2023-05-10
GraphPAD Software LLC,co_61592fde437f,First Lien,Software & Technology,10.43%,,SOFR,5.5%,,,,12895,12742,12606,0.3%,12742,,,,,,BXSL,2023-05-10
LD Lower Holdings Inc.,co_1c44e1ba443c,First Lien,,11.5%,,SOFR,6.5%,,,,92223,91169,90840,2.17%,91169,,,,,,BXSL,2023-05-10
Lightbox Intermediate LP,co_fc2524f2a361,First Lien,Media & Entertainment,9.73%,,SOFR,5%,,,,1985,1946,1916,0.05%,1946,,,,,,BXSL,2023-05-10
Magnesium BorrowerCo Inc.,co_9c7f9aa523cd,First Lien,,9.93%,,SOFR,5.75%,,,,3434,4194,4183,0.1%,4194,,,,,,BXSL,2023-05-10
Magnesium BorrowerCo Inc.,co_9c7f9aa523cd,First Lien,,10.66%,,SOFR,5.75%,,,,5255,5142,5164,0.12%,5142,,,,,,BXSL,2023-05-10
Mandolin Technology Intermediate Holdings Inc.,co_4da4842cbd61,First Lien,Media & Entertainment,8.58%,,SOFR,3.75%,,,,8591,8493,8162,0.19%,8493,,,,,,BXSL,2023-05-10
Mandolin Technology Intermediate Holdings Inc.,co_4da4842cbd61,First Lien,Media & Entertainment,8.62%,,SOFR,3.75%,,,,1200,1192,1140,0.03%,1192,,,,,,BXSL,2023-05-10
Medallia Inc.,co_6264231460f8,First Lien,,11.34%,5.57%,SOFR,6.5%,,,,355588,350440,348477,8.32%,350440,,,,,,BXSL,2023-05-10
Monk Holding Co. 1,co_f0d0c4b86b71,First Lien,,10.66%,,SOFR,5.7%,,,,4840,4750,4756,0.11%,4750,,,,,,BXSL,2023-05-10
Monk Holding Co. 2,co_f0d0c4b86b71,First Lien,,9.88%,,SOFR,5.5%,,,,190,165,161,0%,165,,,,,,BXSL,2023-05-10
MRI Software LLC,co_2bbd5408e42d,First Lien,Software & Technology,10.66%,,SOFR,5.5%,,,,27744,27584,26178,0.62%,27584,,,,,,BXSL,2023-05-10
Nintex Topco Ltd.,co_36f99ded6434,First Lien,,10.73%,,SOFR,6%,,,,34124,33577,31906,0.76%,33577,,,,,,BXSL,2023-05-10
Oranje Holdco Inc.,co_055c2740c113,First Lien,,12.43%,,SOFR,7.75%,,,,2000,1945,1944,0.05%,1945,,,,,,BXSL,2023-05-10
Project Boost Purchaser LLC,co_0fbf8b8345d4,First Lien,,10.38%,,SOFR,5.25%,,,,4709,4663,4682,0.11%,4663,,,,,,BXSL,2023-05-10
Project Boost Purchaser LLC,co_0fbf8b8345d4,First Lien,,10.12%,,SOFR,5.25%,,,,74,70,69,0%,70,,,,,,BXSL,2023-05-10
Rally Buyer Inc.,co_682693ec1283,First Lien,,10.6%,,SOFR,5.75%,,,,716,701,699,0.02%,701,,,,,,BXSL,2023-05-10
Rally Buyer Inc.,co_682693ec1283,First Lien,,10.53%,,SOFR,5.75%,,,,25,23,22,0%,23,,,,,,BXSL,2023-05-10
Relativity ODA LLC,co_ba854e909c5f,First Lien,,12.35%,12.35%,SOFR,6.5%,,,,21215,20848,20847,0.5%,20848,,,,,,BXSL,2023-05-10
Spitfire Parent Inc.,co_5a4289dafdb9,First Lien,,11.14%,,SOFR,5.5%,,,,69710,68965,68316,1.63%,68965,,,,,,BXSL,2023-05-10
Spitfire Parent Inc.,co_5a4289dafdb9,First Lien,,10.61%,,SOFR,6%,,,,9513,9371,9323,0.22%,9371,,,,,,BXSL,2023-05-10
Spitfire Parent Inc.,co_5a4289dafdb9,First Lien,,8.79%,,SOFR,6%,,,,10316,12297,10984,0.26%,12297,,,,,,BXSL,2023-05-10
Stamps.com Inc.,co_49e9c181b272,First Lien,,10.59%,,SOFR,5.75%,,,,287376,282847,280191,6.69%,282847,,,,,,BXSL,2023-05-10
Triple Lift Inc.,co_72a16a9e1dff,First Lien,,10.44%,,SOFR,5.5%,,,,48142,47441,47179,1.13%,47441,,,,,,BXSL,2023-05-10
Triple Lift Inc.,co_72a16a9e1dff,First Lien,,10.23%,,SOFR,5.5%,,,,13990,13757,13710,0.33%,13757,,,,,,BXSL,2023-05-10
Triple Lift Inc.,co_72a16a9e1dff,First Lien,,9.58%,,SOFR,5.25%,,,,2951,2839,2797,0.07%,2839,,,,,,BXSL,2023-05-10
Zendesk Inc.,co_42318dcf1822,First Lien,,11.88%,3.5%,SOFR,6.5%,,,,1582,1546,1557,0.04%,1546,,,,,,BXSL,2023-05-10
CustomInk LLC,co_a106d9901814,First Lien,,11.14%,,SOFR,6.18%,,,,163586,162226,163586,3.9%,162226,,,,,,BXSL,2023-05-10
Lytx Inc.,co_686ac9411688,First Lien,,11.66%,,SOFR,6.75%,,,,84454,83786,83820,2%,83786,,,,,,BXSL,2023-05-10
Porcelain Acquisition Corp.,co_3b6d0e5a85c0,First Lien,,10.91%,,SOFR,5.75%,,,,55133,53751,54156,1.29%,53751,,,,,,BXSL,2023-05-10
The Cook & Boardman Group LLC,co_1092e2f628fe,First Lien,,10.58%,,SOFR,5.75%,,,,49063,48870,44236,1.06%,48870,,,,,,BXSL,2023-05-10
Capstone Logistics LLC,co_17aeb1f60a06,First Lien,Transportation & Logistics,9.66%,,SOFR,4.75%,,,,5544,5515,5350,0.13%,5515,,,,,,BXSL,2023-05-10
Frontline Road Safety LLC,co_e15164298348,First Lien,,10.68%,,SOFR,5.75%,,,,81533,80422,78067,1.86%,80422,,,,,,BXSL,2023-05-10
Frontline Road Safety LLC,co_e15164298348,First Lien,,10.43%,,SOFR,5.75%,,,,8290,8210,7938,0.19%,8210,,,,,,BXSL,2023-05-10
Helix TS LLC,co_f229e463d67c,First Lien,,11.28%,,SOFR,6.25%,,,,20860,20533,20756,0.5%,20533,,,,,,BXSL,2023-05-10
Helix TS LLC,co_f229e463d67c,First Lien,,11.08%,,SOFR,6.25%,,,,21242,20934,21135,0.5%,20934,,,,,,BXSL,2023-05-10
Helix TS LLC,co_f229e463d67c,First Lien,,11.36%,,SOFR,6.25%,,,,384,375,376,0.01%,375,,,,,,BXSL,2023-05-10
Italian Motorway Holdings S.à.r.l,co_637a69b3ce02,First Lien,,7.35%,,SOFR,5.25%,,,,78810,81085,83910,2%,81085,,,,,,BXSL,2023-05-10
Roadsafe Holdings Inc.,co_ad8fbee3fbc5,First Lien,,10.87%,,SOFR,5.75%,,,,33205,32716,32692,0.78%,32716,,,,,,BXSL,2023-05-10
Roadsafe Holdings Inc.,co_ad8fbee3fbc5,First Lien,,11%,,SOFR,5.75%,,,,19991,19711,19692,0.47%,19711,,,,,,BXSL,2023-05-10
Safety Borrower Holdings LP,co_2bda85b688b4,First Lien,,10.46%,,SOFR,5.25%,,,,5070,5036,5045,0.12%,5036,,,,,,BXSL,2023-05-10
Safety Borrower Holdings LP,co_2bda85b688b4,First Lien,,12.25%,,SOFR,4.25%,,,,93,90,89,0%,90,,,,,,BXSL,2023-05-10
Sam Holding Co Inc.,co_473f73e739c4,First Lien,,9.96%,,SOFR,5%,,,,37430,36878,36962,0.88%,36878,,,,,,BXSL,2023-05-10
Sam Holding Co Inc.,co_473f73e739c4,First Lien,,12%,,SOFR,7.5%,,,,2580,2493,2505,0.06%,2493,,,,,,BXSL,2023-05-10
Sam Holding Co Inc.,co_473f73e739c4,First Lien,,10.06%,,SOFR,5.5%,,,,4269,4188,3846,0.09%,4188,,,,,,BXSL,2023-05-10
TRP Infrastructure Services LLC,co_c4e9702fbdc3,First Lien,Business Services,10.4%,,SOFR,5.5%,,,,39186,38628,36443,0.87%,38628,,,,,,BXSL,2023-05-10
COP Home Services TopCo IV Inc.,co_003fbb452390,First Lien,Business Services,13.33%,,SOFR,8.5%,,,,7517,7396,7253,0.17%,7396,,,,,,BXSL,2023-05-10
Canadian Hospital Specialties Ltd.,co_48759271b1dc,First Lien,Healthcare,8.75%,,SOFR,8.75%,,,,10533,8334,7044,0.17%,8334,,,,,,BXSL,2023-05-10
Jayhawk Buyer LLC,co_beff8bbb2a29,First Lien,,13.58%,,SOFR,8.75%,,,,5183,5110,5144,0.12%,5110,,,,,,BXSL,2023-05-10
Victory Buyer LLC,co_6f6f79e9f43a,First Lien,,11.78%,,SOFR,7%,,,,9619,9537,8248,0.2%,9537,,,,,,BXSL,2023-05-10
Inovalon Holdings Inc.,co_11d2bc228e56,First Lien,,15.46%,15.46%,SOFR,10.5%,,,,10769,10525,10769,0.26%,10525,,,,,,BXSL,2023-05-10
Thevelia US LLC,co_93d2c404e989,First Lien,,11.8%,,SOFR,6.75%,,,,4920,4787,4846,0.12%,4787,,,,,,BXSL,2023-05-10
Mandolin Technology Intermediate Holdings Inc.,co_4da4842cbd61,First Lien,Media & Entertainment,11.33%,,SOFR,6.5%,,,,3550,3511,3374,0.08%,3511,,,,,,BXSL,2023-05-10
Micross Topco Inc.,co_c56c87e1d6e6,Other Equity,,,,,,,,,,4767,5973,0.14%,4767,,,,4767,,BXSL,2023-05-10
AGI Group Holdings LP,co_7a7c59ae2580,Other Equity,,,,,,,,,,902,839,0.02%,902,,,,902,,BXSL,2023-05-10
Mode Holdings,co_7ef9259064fb,Common Equity,,,,,,,,,,5487,11577,0.28%,5487,,,,5486923,,BXSL,2023-05-10
Box Co-Invest Blocker LLC,co_9cd4d3748b38,Other Equity,,,,,,,,,,702,527,0.01%,702,,,,702305,,BXSL,2023-05-10
EIS Acquisition Holdings,co_d7fa5302fd76,Common Equity,,,,,,,,,,3350,15140,0.36%,3350,,,,6292,,BXSL,2023-05-10
Cambium Holdings,co_c8b42c630f33,Preferred Equity,,11.5%,,,,,,,,12315,15078,0.36%,12315,,,,12511857,,BXSL,2023-05-10
Deneb Ultimate Topco,co_480ea9c3c7e7,Other Equity,,,,,,,,,,213,164,0%,213,,,,213,,BXSL,2023-05-10
Point Broadband Holdings,co_09ccab17fd8b,Other Equity,,,,,,,,,,5877,6692,0.16%,5877,,,,6930,,BXSL,2023-05-10
Point Broadband Holdings,co_09ccab17fd8b,Other Equity,,,,,,,,,,1053,1940,0.05%,1053,,,,369255,,BXSL,2023-05-10
Point Broadband Holdings,co_09ccab17fd8b,Other Equity,,,,,,,,,,1263,1438,0.03%,1263,,,,1489,,BXSL,2023-05-10
Point Broadband Holdings,co_09ccab17fd8b,Other Equity,,,,,,,,,,226,417,0.01%,226,,,,79358,,BXSL,2023-05-10
GCX Corp.,co_ef1cdc2c06e6,Other Equity,,,,,,,,,,539,324,0.01%,539,,,,539,,BXSL,2023-05-10
AVE Holdings I Corp.,co_99a655878a3b,Other Equity,,,,,,,,,,607,649,0.02%,607,,,,625944,,BXSL,2023-05-10
Jayhawk Holdings,co_f008fbca0fcb,Common Equity,,,,,,,,,,392,627,0.01%,392,,,,2201,,BXSL,2023-05-10
Jayhawk Holdings,co_f008fbca0fcb,Common Equity,,,,,,,,,,211,338,0.01%,211,,,,1185,,BXSL,2023-05-10
Caerus Midco 2 S.À. R.L,co_222e8e16e3dd,Other Equity,,,,,,,,,,12,1,0%,12,,,,11710,,BXSL,2023-05-10
Caerus Midco 2 S.À. R.L,co_222e8e16e3dd,Other Equity,,,,,,,,,,58,53,0%,58,,,,58458,,BXSL,2023-05-10
Shelf Holdco Ltd.,co_5be8d7670e10,Other Equity,,,,,,,,,,50,55,0%,50,,,,50000,,BXSL,2023-05-10
NC Ocala Co-Invest Beta,co_3eb6137381dc,Partnership Interest,,,,,,,,,,2854,3055,0.07%,2854,,,,2854133,,BXSL,2023-05-10
Guidehouse Holding Corp.,co_c3a70e3bef64,Other Equity,,11.5%,,,,,,,,15133,17063,0.41%,15133,,,,15440,,BXSL,2023-05-10
OHCP V TC COI,co_8c58db227edd,Partnership Interest,,,,,,,,,,3500,4550,0.11%,3500,,,,3500000,,BXSL,2023-05-10
Tricor Horizon LP,co_552a21f42be7,Other Equity,,,,,,,,,,382,382,0.01%,382,,,,382469,,BXSL,2023-05-10
Connatix Parent,co_e2face82fae4,Common Equity,,,,,,,,,,463,206,0%,463,,,,42045,,BXSL,2023-05-10
Expedition Holdco,co_bbeeb3c90473,Other Equity,,,,,,,,,,57,40,0%,57,,,,90,,BXSL,2023-05-10
Expedition Holdco,co_bbeeb3c90473,Other Equity,,,,,,,,,,33,14,0%,33,,,,90000,,BXSL,2023-05-10
Lobos Parent,co_a6b77828b56c,Preferred Equity,,10.5%,,,,,,,,1506,1672,0.04%,1506,,,,1545,,BXSL,2023-05-10
Mandolin Technology Holdings,co_d69969c484b8,Preferred Equity,Software & Technology,,,,,,,,,3444,3337,0.08%,3444,,,,3550000,,BXSL,2023-05-10
Mimecast Ltd.,co_f2afa2fac27b,Other Equity,,,,,,,,,,651,638,0.02%,651,,,,651175,,BXSL,2023-05-10
Zoro,co_3b97b8eff024,Other Equity,,,,,,,,,,21,21,0%,21,,,,2073,,BXSL,2023-05-10
Zoro,co_3b97b8eff024,Other Equity,,12.5%,,,,,,,,362,373,0.01%,362,,,,373,,BXSL,2023-05-10
