company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Idera,co_28cc9f33febe,First Lien,,12.12%,,SOFR,6.75%,,,,4000,4000,4000,2.3%,4000,,,,,,OFS,2023-11-03
Inergex Holdings LLC,co_e3321031bc16,First Lien,Other,12.59%,2%,SOFR,7%,,,,14868,14754,14868,8.7%,14754,,,,,,OFS,2023-11-03
Inergex Holdings LLC,co_e3321031bc16,Revolver,Other,12.59%,2%,SOFR,7%,,,,2344,2302,2344,1.4%,2302,,,,,,OFS,2023-11-03
Ivanti Software Inc.,co_f043443ebb42,First Lien,Software & Technology,9.76%,,SOFR,4.25%,,,,2940,2948,2552,1.5%,2948,,,,,,OFS,2023-11-03
JP Intermediate B LLC,co_dd41ff0b9a35,First Lien,Media & Entertainment,11.13%,,SOFR,5.5%,,,,4700,4501,3608,2.1%,4501,,,,,,OFS,2023-11-03
Kreg LLC,co_c0119a2be6d4,First Lien,Other,9.79%,2.5%,SOFR,4.25%,,,,17032,16951,15826,9.3%,16951,,,,,,OFS,2023-11-03
Kreg LLC,co_c0119a2be6d4,Revolver,Other,,,SOFR,6.25%,,,,0,-6,-95,-0.1%,-6,,,,,,OFS,2023-11-03
Metasource,co_6c3b716e33c8,Revolver,,11.68%,0.5%,,,,,,,,,,,,,,,,OFS,2023-11-03
Metasource,co_6c3b716e33c8,First Lien,,,,SOFR,6.25%,,,,2758,2734,2598,1.5%,2734,,,,,,OFS,2023-11-03
Metasource,co_6c3b716e33c8,Delayed Draw,,,,SOFR,6.25%,,,,0,-5,-69,0%,-5,,,,,,OFS,2023-11-03
One GI LLC,co_c02000ec980f,Delayed Draw,Financial Services,12.17%,,SOFR,6.75%,,,,7451,7368,7008,4.1%,7368,,,,,,OFS,2023-11-03
One GI LLC,co_c02000ec980f,Delayed Draw,Financial Services,12.17%,,SOFR,6.75%,,,,3926,3876,3692,2.2%,3876,,,,,,OFS,2023-11-03
One GI LLC,co_c02000ec980f,Revolver,Financial Services,12.17%,,SOFR,6.75%,,,,1444,1428,1359,0.8%,1428,,,,,,OFS,2023-11-03
Planet Bingo LLC,co_cc6d050abe28,First Lien,,5.5%,,,,,,,16648,14113,6588,3.9%,14113,,,,,,OFS,2023-11-03
PM Acquisition LLC,co_8cc30a755638,Common Equity,,,,,,,,,,499,620,0.4%,499,,,,499,,OFS,2023-11-03
Reception Purchaser LLC,co_d439fc36f4fd,First Lien,,11.54%,,SOFR,6%,,,,2529,2500,2381,1.4%,2500,,,,,,OFS,2023-11-03
Redstone Holdco 2 LP,co_fc04ffe7fb24,First Lien,,10.18%,,SOFR,4.75%,,,,1715,1709,1478,0.9%,1709,,,,,,OFS,2023-11-03
Redstone Holdco 2 LP,co_fc04ffe7fb24,First Lien,,13.18%,,SOFR,7.75%,,,,4450,4405,3464,2%,4405,,,,,,OFS,2023-11-03
RPLF Holdings LLC,co_f9c2b5e54242,Common Equity,,,,,,,,,,0,1189,0.7%,0,,,,345339,,OFS,2023-11-03
RumbleOn Inc.,co_6d1e41b7d2c1,First Lien,Other,13.9%,0.5%,SOFR,8.75%,,,,3264,3154,2995,1.8%,3154,,,,,,OFS,2023-11-03
RumbleOn Inc.,co_6d1e41b7d2c1,Delayed Draw,Other,,,SOFR,8.25%,,,,1200,1189,1101,0.6%,1189,,,,,,OFS,2023-11-03
RumbleOn Inc.,co_6d1e41b7d2c1,Warrants,Other,,,,,,,,,200,45,0%,200,,,,,,OFS,2023-11-03
Sentry Centers Holdings LLC,co_41def5d3e0a4,Preferred Equity,,,,,,,,,,160,157,0.1%,160,,,,1603,,OFS,2023-11-03
Signal Parent Inc.,co_495513b88903,First Lien,,8.92%,,SOFR,3.5%,,,,1808,1795,1533,0.9%,1795,,,,,,OFS,2023-11-03
Spear Education Holdings,co_ef1684ba7a21,First Lien,Education,,,SOFR,7.5%,,,,1489,1456,1472,0.9%,1456,,,,,,OFS,2023-11-03
Spring Education Group Inc.,co_6784395e1d8e,First Lien,Education,13.68%,,SOFR,8.25%,,,,6399,6403,6399,3.7%,6403,,,,,,OFS,2023-11-03
SSJA Bariatric Management LLC,co_2d7fd71ec649,First Lien,Financial Services,10.79%,,SOFR,5.25%,,,,9601,9584,9578,5.6%,9584,,,,,,OFS,2023-11-03
SSJA Bariatric Management LLC,co_2d7fd71ec649,First Lien,Financial Services,10.79%,,SOFR,5.25%,,,,1037,1035,1035,0.6%,1035,,,,,,OFS,2023-11-03
SSJA Bariatric Management LLC,co_2d7fd71ec649,First Lien,Financial Services,10.79%,,SOFR,5.25%,,,,2613,2605,2607,1.5%,2605,,,,,,OFS,2023-11-03
SSJA Bariatric Management LLC,co_2d7fd71ec649,Revolver,Financial Services,10.79%,,SOFR,5.25%,,,,200,199,199,0.1%,199,,,,,,OFS,2023-11-03
