company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Professional Physical Therapy,First Lien,Medical Devices & Equipment,,,,,,,,,,,7924688,7864654,,CCAP,2018-05-11
PT Network LLC,First Lien,Medical Devices & Equipment,,,,,,,,,,,200000,198533,,CCAP,2018-05-11
PT Network LLC,First Lien,Medical Devices & Equipment,,,,,,2021-11-01,,,,,,,,CCAP,2018-05-11
HLF Financing S.a r.l.,First Lien,Food & Beverage,7.07%,,N/A,550,,,,,4718750,4635945,7317096,7214731,,CCAP,2018-05-11
Shearer's Foods Inc.,First Lien,Food & Beverage,5.94%,,N/A,425,,,,,735000,730176,,,,CCAP,2018-05-11
Ameda Inc.,First Lien,Medical Devices & Equipment,7.35%,,N/A,600,,,,,2643375,2596923,,,,CCAP,2018-05-11
Beaver-Visitec International Inc.,First Lien,Medical Devices & Equipment,6.69%,,N/A,500,,,,,9396174,9333914,,,,CCAP,2018-05-11
CDRH Parent Inc.,First Lien,Medical Devices & Equipment,5.75%,,N/A,425,,,,,365246,367319,,,,CCAP,2018-05-11
Centauri Health Solutions Inc.,First Lien,Medical Devices & Equipment,6.87%,,N/A,550,,,,,1181250,1164103,,,,CCAP,2018-05-11
ExamWorks Group Inc.,Second Lien,Medical Devices & Equipment,10.50%,,N/A,1050,,,,,5000000,4868280,,,,CCAP,2018-05-11
GrapeTree Medical Staffing LLC,First Lien,Medical Devices & Equipment,6.37%,,N/A,500,,,,,1695750,1667116,,,,CCAP,2018-05-11
MDVIP Inc.,Second Lien,Medical Devices & Equipment,9.41%,,N/A,800,,,,,5333333,5161946,,,,CCAP,2018-05-11
NMSC Holdings Inc.,Second Lien,Medical Devices & Equipment,11.69%,,N/A,1000,,,,,4307480,4162549,,,,CCAP,2018-05-11
NVA Holdings Inc.,First Lien,Medical Devices & Equipment,5.19%,,N/A,350,,,,,4013697,3943661,,,,CCAP,2018-05-11
Onex Carestream Finance LP,First Lien,Medical Devices & Equipment,5.69%,,N/A,400,,,,,214464,214583,,,,CCAP,2018-05-11
Onex Carestream Finance LP,Second Lien,Medical Devices & Equipment,10.19%,,N/A,850,,,,,153081,153081,,,,CCAP,2018-05-11
Professional Physical Therapy,First Lien,Medical Devices & Equipment,9.50%,,N/A,500,,,,,7944750,7881928,,,,CCAP,2018-05-11
PT Network LLC,First Lien,Medical Devices & Equipment,6.86%,,N/A,550,,,,,4770793,4752367,,,,CCAP,2018-05-11
Smile Doctors LLC,First Lien,Medical Devices & Equipment,9.25%,,N/A,475,,,,,58333,55952,,,,CCAP,2018-05-11
Snow Companies LLC,First Lien,Medical Devices & Equipment,7.35%,,N/A,600,,,,,9256500,9101027,,,,CCAP,2018-05-11
Zest Holdings LLC,First Lien,Medical Devices & Equipment,5.82%,,N/A,425,,,,,4912875,4881278,,,,CCAP,2018-05-11
Integro Parent Inc.,Second Lien,Other,,,,,,,,380282,374743,3278875,3225092,,,CCAP,2018-05-11
Emerald Performance Materials LLC,First Lien,Other,5.07%,,N/A,350,,2021-08-01,966381,969084,,,,,,CCAP,2018-05-11
IBC Capital Ltd.,First Lien,Other,5.29%,,N/A,375,,2021-09-01,828697,820264,,,,,,CCAP,2018-05-11
Tank Holding Corp.,First Lien,Other,5.59%,,N/A,425,,2022-03-01,858427,864170,,,,,,CCAP,2018-05-11
Acosta Holdco Inc.,First Lien,Media & Entertainment,4.82%,,N/A,325,,2021-09-01,975253,975914,,,,,,CCAP,2018-05-11
