company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
J.R. Hobbs Co. - Atlanta,co_4f47f3e2dd7c,First Lien,Industrials,10.8%,,SOFR,6%,,,,2438,2438,1375,,2438,,,,,,GAIN,2024-11-07
The Maids International,co_c3f922f64484,First Lien,Industrials,15.3%,,SOFR,10.5%,,,,28560,28560,28560,,28560,,,,,,GAIN,2024-11-07
Old World Christmas,co_c26a82775028,First Lien,Industrials,14.3%,,SOFR,9.5%,,,,43000,43000,43000,,43000,,,,,,GAIN,2024-11-07
Utah Pacific Bridge & Steel Ltd.,co_d7c00c5f6287,First Lien,Industrials,14.8%,,SOFR,10%,,,,18250,18250,18250,,18250,,,,,,GAIN,2024-11-07
B+T Group Acquisition Inc.,co_e1310f2592d0,First Lien,Media & Entertainment,7%,,SOFR,2%,,,,3080,3080,3080,,3080,,,,,,GAIN,2024-11-07
B+T Group Acquisition Inc.,co_e1310f2592d0,First Lien,Media & Entertainment,7%,,SOFR,2%,,,,753,753,753,,753,,,,,,GAIN,2024-11-07
B+T Group Acquisition,co_e1310f2592d0,First Lien,Industrials,7%,,SOFR,2%,,,,14000,14000,2524,,14000,,,,,,GAIN,2024-11-07
PSI Molded Plastics,co_b9958539c8ca,First Lien,Industrials,10.3%,,SOFR,5.5%,,,,26618,26618,18596,,26618,,,,,,GAIN,2024-11-07
PSI Molded Plastics,co_b9958539c8ca,Preferred Equity,Industrials,,,,,,,,,19730,0,,19730,,,,158598,,GAIN,2024-11-07
ImageWorks Display and Marketing Group,co_e4ff71884bc1,Preferred Equity,Industrials,,,,,,,,,6749,3269,,6749,,,,67490,,GAIN,2024-11-07
J.R. Hobbs Co. – Atlanta,co_45ddd497035e,Preferred Equity,Industrials,,,,,,,,,10920,0,,10920,,,,10920,,GAIN,2024-11-07
The Maids International,co_c3f922f64484,Preferred Equity,Industrials,,,,,,,,,6640,6677,,6640,,,,6640,,GAIN,2024-11-07
Old World Christmas,co_c26a82775028,Preferred Equity,Industrials,,,,,,,,,0,35373,,0,,,,6180,,GAIN,2024-11-07
Utah Pacific Bridge & Steel,co_d7c00c5f6287,Preferred Equity,Industrials,,,,,,,,,6000,15273,,6000,,,,6000,,GAIN,2024-11-07
B+T Group Acquisition,co_e1310f2592d0,Preferred Equity,Industrials,,,,,,,,,4722,0,,4722,,,,14304,,GAIN,2024-11-07
B+T Group Acquisition,co_e1310f2592d0,Common Equity,Industrials,,,,,,,,,0,0,,0,,,,,,GAIN,2024-11-07
Edge Adhesives Holdings,co_1a089392d0f6,First Lien,Industrials,10.3%,,SOFR,5.5%,,,,9210,9210,570,,9210,,,,,,GAIN,2024-11-07
Edge Adhesives Holdings,co_1a089392d0f6,Preferred Equity,Industrials,,,,,,,,,8199,0,,8199,,,,8199,,GAIN,2024-11-07
