company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment
Dorado Acquisition Inc,Senior Secured Loan,Healthcare & Pharmaceuticals,10.94%,,SF,6.65,2022-11-27,2026-06-30,3911,,,3887,,,
Dorado Acquisition Inc (Revolver),Revolver,Healthcare & Pharmaceuticals,10.94%,,SF,6.65,2021-06-30,2026-06-30,596,,,,,,
KL Moon Acquisition LLC,Senior Secured Loan,Healthcare & Pharmaceuticals,11.30%,,SF,7.00,2023-02-01,2029-02-01,5050,,,4961,,,
Quest Resource Management Group LLC,Warrant,Environmental Services,,,,,n/a,n/a,2020-10-19,2028-03-17,,,,,
Quest Resource Management Group LLC,Warrant,Environmental Services,,,,,n/a,n/a,2021-10-19,2028-03-17,,,,,
J2 BWA Funding LLC,Profit Sharing,Finance,,,,,n/a,n/a,2020-12-24,,,,,,52
Residential Homes for Rent LLC,Preferred Equity,Real Estate,,,,,n/a,n/a,2024-03-05,,,,,,1819
Residential Homes for Rent LLC,Warrant,Real Estate,,,,,n/a,n/a,2024-03-05,2034-03-05,,,,,
WitkoffMonroe 700 JV LLC,Preferred Equity,Real Estate,,,,,n/a,n/a,2021-07-02,,,,,,2
Bluesight Inc,Preferred Equity,Healthcare & Pharmaceuticals,,9.00%,n/a,n/a,2023-07-17,,,35,35,35,,,
Bluesight Inc,Common Equity,Healthcare & Pharmaceuticals,,,,,n/a,n/a,2023-07-17,,,,,,
Dorado Acquisition Inc,Preferred Equity,Healthcare & Pharmaceuticals,,,,,n/a,n/a,2021-06-30,,,,,,206
Forest Buyer LLC,Class A Units,Healthcare & Pharmaceuticals,,8.00%,n/a,n/a,2024-03-15,,,107,107,107,,,
Forest Buyer LLC,Class B Units,Healthcare & Pharmaceuticals,,,,,n/a,n/a,2024-03-15,,,,,,
KL Moon Acquisition LLC,Warrant,Healthcare & Pharmaceuticals,,,,,n/a,n/a,2023-01-31,,,,,,505
NationsBenefits LLC,Series B Units,Healthcare & Pharmaceuticals,,5.00%,n/a,n/a,2021-08-20,,,816,816,816,,,
NationsBenefits LLC,Common Equity,Healthcare & Pharmaceuticals,,,,,n/a,n/a,2021-08-20,,,,,,153
NQ PE Project Colosseum Midco Inc,Common Equity,Healthcare & Pharmaceuticals,,,,,n/a,n/a,2022-10-04,,,,,,340
Vero Biotech Inc,Warrant,Healthcare & Pharmaceuticals,,,,,n/a,n/a,2023-12-29,2033-12-29,,,,,
Whistler Parent Holdings III Inc,Series A Preferred Stock,Healthcare & Pharmaceuticals,,,,,n/a,n/a,2024-10-25,,,,,,
Whistler Parent Holdings III Inc,Series B Preferred Stock,Healthcare & Pharmaceuticals,,,,,n/a,n/a,2024-10-25,,,,,,
Arcserve Cayman GP LLC fka Arcstor Midco LLC,Class A Common Units,Software,,,,,n/a,n/a,2024-01-02,,,,,,
BTR Opco LLC fka Born to Run LLC,Senior Secured Loan,Automotive,,13.08%,SF,8.76%,2024-06-21,2027-12-31,569,,,407,,,
Hastings Manufacturing Company,Senior Secured Loan,Automotive,,11.94%,SF,7.60%,2018-04-24,2025-12-30,1820,,,1820,,,
Hastings Manufacturing Company,Senior Secured Loan,Automotive,,11.94%,SF,7.60%,2023-03-29,2025-12-30,657,,,657,,,
Hastings Manufacturing Company,Senior Secured Loan,Automotive,,11.94%,SF,7.60%,2023-12-18,2025-12-30,2019,,,2019,,,
Hastings Manufacturing Company,Revolver,Automotive,,11.94%,SF,7.60%,2023-03-29,2025-12-30,691,,,,,,
Lifted Trucks Holdings LLC,Senior Secured Loan,Automotive,,10.49%,SF,5.90%,2021-08-02,2027-08-02,6790,,,6722,,,
Lifted Trucks Holdings LLC,Revolver,Automotive,,10.09%,SF,5.75%,2021-08-02,2027-08-02,1667,,,222,,,
Panda Acquisition LLC,Senior Secured Loan,Automotive,6.55%,7.13%,SF,9.35%,2022-12-20,2028-10-18,4514,,,3934,,,
MV Receivables II LLC,Senior Secured Loan,Banking,14.30%,,SF,9.75%,2021-07-29,2026-07-29,8100,,,7737,,,
StarCompliance MidCo LLC,Senior Secured Loan,Banking,10.42%,,SF,6.10%,2021-01-12,2027-01-12,2000,,,1984,,,
StarCompliance MidCo LLC,Senior Secured Loan,Banking,10.43%,,SF,6.10%,2021-10-12,2027-01-12,336,,,332,,,
StarCompliance MidCo LLC,Senior Secured Loan,Banking,10.42%,,SF,6.10%,2023-05-31,2027-01-12,256,,,252,,,
StarCompliance MidCo LLC,Senior Secured Loan,Banking,10.43%,,SF,6.10%,2024-11-22,2027-01-12,201,,,198,,,
StarCompliance MidCo LLC,Revolver,Banking,10.42%,,SF,6.10%,2021-01-12,2027-01-12,323,,,223,,,
LVF Holdings Inc,Senior Secured Loan,Beverage Food & Tobacco,9.98%,,SF,5.65%,2021-06-10,2027-06-10,1451,,,1437,,,
LVF Holdings Inc,Senior Secured Loan,Beverage Food & Tobacco,9.98%,,SF,5.65%,2021-06-10,2027-06-10,1389,,,1389,,,
LVF Holdings Inc,Revolver,Beverage Food & Tobacco,9.98%,,SF,5.65%,2021-06-10,2027-06-10,238,,,97,,,
CGI Automated Manufacturing LLC,Senior Secured Loan,Capital Equipment,11.59%,,SF,7.26%,2022-09-09,2026-12-17,3795,,,3735,,,
CGI Automated Manufacturing LLC,Senior Secured Loan,Capital Equipment,11.59%,,SF,7.26%,2022-09-30,2026-12-17,1089,,,1074,,,
Whistler Parent Holdings III Inc,Senior Secured Loan,Healthcare,11.01%,,SF,6.85%,2024-10-25,2028-06-02,5957,,,5908,,5957,5908
Vice Acquisition Holdco LLC,Senior Secured Loan,Media Broadcasting & Subscription,n/a,n/a,n/a,n/a,2019-05-02,,,637,,,637,,
Vice Acquisition Holdco LLC,Senior Secured Loan,Media Broadcasting & Subscription,n/a,n/a,n/a,n/a,2019-11-04,,,122,,,122,,
Vice Acquisition Holdco LLC,Senior Secured Loan,Media Broadcasting & Subscription,12.57%,,SF,8.26%,2023-07-31,2028-01-31,528,,,528,,,528
Vice Acquisition Holdco LLC,Senior Secured Loan,Media Broadcasting & Subscription,12.57%,,SF,8.26%,2023-07-31,2028-01-31,671,,,671,,,671
Vice Acquisition Holdco LLC,Senior Secured Loan,Media Broadcasting & Subscription,12.57%,,SF,8.26%,2023-07-31,2028-01-31,203,,,203,,,203
Vice Acquisition Holdco LLC,Senior Secured Loan,Media Broadcasting & Subscription,12.57%,,SF,8.26%,2023-09-08,2028-01-31,353,,,353,,,353
Education Corporation of America,Senior Secured Loan,Services Consumer,19.25%,,P,12.00%,2015-09-03,,,833,,,830,,
BTR Opco LLC fka Born to Run LLC,Common Equity,Automotive,,,,,,,2024-06-21,,,248,,,248
MV Receivables II LLC,Common Equity,Banking,,,,,,,2021-07-29,,,600,,,600
MV Receivables II LLC,Warrant,Banking,,,,,,,2021-07-28,2031-07-28,,,362,,
Drawbridge Partners LLC,Preferred Equity,Financial Services,,,,,,,2022-09-01,,,,,,
Planful Inc,Preferred Equity,,,,,,,2023-05-03,,,,,,,
Recorded Future Inc,Preferred Equity,Software,,,,,,,2019-07-03,,,,,,
Sparq Holdings Inc,Preferred Equity,Software,,,,,,,2025-09-19,,,,42,,
Sparq Holdings Inc,Common Equity,Software,,,,,,,2023-06-15,,,,300,,
Equine Network LLC,Common Equity,Hotels Gaming & Leisure,,,,,,,2020-12-31,,,,111,,
InMobi Pte Ltd,Warrant,Media Advertising Printing & Publishing,,,,,,,2015-09-18,2025-09-18,,,,,
Relevate Health Group LLC,Common Equity,Media Advertising Printing & Publishing,,,,,,,2020-11-20,,,,,,
Relevate Health Group LLC,Common Equity,Media Advertising Printing & Publishing,,,,,,,2024-11-14,,,,,,
Spherix Global Inc,Common Equity,Media Advertising Printing & Publishing,,,,,,,2024-06-10,,,,13,,
Spherix Global Inc,Common Equity,Media Advertising Printing & Publishing,,,,,,,2021-12-22,,,,81,,
Vice Acquisition Holdco LLC,Common Equity,Media Broadcasting & Subscription,,,,,,,2023-07-31,,,,1480,,
Attom Intermediate Holdco LLC,Common Equity,Media Diversified & Production,,,,,,,2019-01-04,,,,312,,
Chess.com LLC,Common Equity,Media Diversified & Production,,,,,,,2021-12-31,,,,87,,
V10 Entertainment Inc,Common Equity,Media Diversified & Production,,,,,,,2023-01-12,,,,203,,
TJ Management HoldCo LLC,Senior Secured Loan,Beverage Food & Tobacco,9.78%,,SF,5.61%,2020-09-09,2026-12-31,636,175,175,,,,
American Community Homes Inc,Senior Secured Loan,FIRE Real Estate,4.28%,,SF,0.11%,2014-07-22,2026-12-31,14020,14020,14020,,,,
American Community Homes Inc,Senior Secured Loan,FIRE Real Estate,4.28%,,SF,0.11%,2014-07-22,2026-12-31,6898,6899,6899,,,,
American Community Homes Inc,Senior Secured Loan,FIRE Real Estate,4.28%,,SF,0.11%,2017-05-24,2026-12-31,850,851,851,,,,
American Community Homes Inc,Senior Secured Loan,FIRE Real Estate,4.28%,,SF,0.11%,2018-08-10,2026-12-31,3125,3126,3126,,,,
American Community Homes Inc,Senior Secured Loan,FIRE Real Estate,4.28%,,SF,0.11%,2019-03-29,2026-12-31,5785,5785,5785,,,,
American Community Homes Inc,Senior Secured Loan,FIRE Real Estate,4.28%,,SF,0.11%,2019-09-30,2026-12-31,27,25,25,,,,
American Community Homes Inc,Senior Secured Loan,FIRE Real Estate,4.28%,,SF,0.11%,2019-12-30,2026-12-31,133,132,132,,,,
American Community Homes Inc,Senior Secured Loan,FIRE Real Estate,4.28%,,SF,0.11%,2020-03-30,2026-12-31,2500,,,,,,
MC Asset Management (Corporate) LLC,Senior Secured Loan,FIRE Real Estate,19.29%,,SF,15.00%,2021-01-26,2029-01-26,13685,13685,13685,,,,
MC Asset Management (Corporate) LLC,Senior Secured Loan,FIRE Real Estate,19.29%,,SF,15.00%,2021-04-26,2029-01-26,4079,4079,4079,,,,
NECB Collections LLC,Senior Secured Loan,Services Consumer,16.94%,,L,11.00%,2019-06-25,n/a,1356,1312,1312,,,,
Thrasio LLC,Common Equity,Consumer Goods Non-Durable,,,,,,2024-06-18,,,,,,,1616
MEI Buyer LLC,Common Equity,Construction & Building,,,,,,2023-06-30,,,,,,,178
Quest Resource Management Group LLC,Warrant,Environmental Industries,,,,,,2020-10-19,2028-03-17,,,,,,
Quest Resource Management Group LLC,Warrant,Environmental Industries,,,,,,2021-10-19,2028-03-17,,,,,,
Binah Capital Group Inc,Common Equity,FIRE Finance,,,,,,2024-03-15,,,,,,,139
J2 BWA Funding LLC,Profit Sharing,FIRE Finance,,,,,,2020-12-24,,,,,,,139
Residential Homes for Rent LLC,Preferred Equity,FIRE Real Estate,,,,,,2024-03-05,,,,,,,1114
Residential Homes for Rent LLC,Warrant,FIRE Real Estate,,,,,,2024-03-05,2034-03-05,,,,,,
WitkoffMonroe 700 JV LLC,Preferred Equity,FIRE Real Estate,,,,,,2021-07-02,,,,,,,2
Bluesight Inc,Common Equity,Healthcare & Pharmaceuticals,,,,,,2023-07-17,,,,,,,35
Dorado Acquisition Inc,Class A units,Healthcare & Pharmaceuticals,,,,,,2021-06-30,,,,,,,207
Forest Buyer LLC,Class B units,Healthcare & Pharmaceuticals,,,,,,2024-03-15,,,,,,,250
INH Buyer Inc,A-1 units,Healthcare & Pharmaceuticals,,,,,,2024-12-16,,,,,,,
INH Buyer Inc,Preferred Stock,Healthcare & Pharmaceuticals,,,,,,2024-12-16,,,,,,,
Corel Inc.,First Lien Senior Secured,High Tech Industries,,,SF,5.10,2026-07-02,,3200,3200,3200,,,,
Lightbox Intermediate L.P.,First Lien Senior Secured,High Tech Industries,,,SF,5.11,2026-05-11,,4725,4725,4725,,,,
TGG TS Acquisition Company,First Lien Senior Secured,High Tech Industries,,,SF,6.61,2025-12-12,,2445,2445,2445,,,,
Excel Fitness Holdings Inc.,First Lien Senior Secured,Hotels Gaming & Leisure,,,SF,5.25,2029-04-27,,4309,4309,4309,,,,
Excel Fitness Holdings Inc. (Revolver),Revolver,Hotels Gaming & Leisure,,,SF,5.25,2028-04-28,,625,625,625,,,,
North Haven Spartan US Holdco LLC,First Lien Senior Secured,Hotels Gaming & Leisure,,,SF,5.75,2026-06-05,,2227,2227,2227,,,,
STATS Intermediate Holdings LLC,First Lien Senior Secured,Media Diversified & Production,,,SF,5.51,2026-07-10,,4750,4750,4750,,,,
TA TT Buyer LLC,First Lien Senior Secured,Media Diversified & Production,,,SF,4.75,2029-03-30,,3267,3267,3267,,,,
Eliassen Group LLC,First Lien Senior Secured,Services Business,,,SF,5.75,2028-04-14,,3186,3186,3186,,,,
Eliassen Group LLC,First Lien Senior Secured,Services Business,,,SF,5.75,2028-04-14,,229,229,229,,,,
Secretariat Advisors LLC,First Lien Senior Secured,Services Business,,,SF,4.86,2028-12-29,,1659,1659,1659,,,,
Secretariat Advisors LLC,First Lien Senior Secured,Services Business,,,SF,4.86,2028-12-29,,265,265,265,,,,
SIRVA Worldwide Inc. (Delayed Draw),Delayed Draw Loan,Services Business,,,SF,8.00,2029-02-20,,381,381,381,,,,
Laseraway Intermediate Holdings II LLC,First Lien Senior Secured,Services Consumer,,,SF,5.75,2027-10-14,,2156,2156,2156,,,,
McKissock Investment Holdings LLC,First Lien Senior Secured,Services Consumer,,,SF,5.00,2029-03-09,,2431,2431,2431,,,,
Mavenir Systems Inc.,First Lien Senior Secured,Telecommunications,,,SF,5.01,2028-08-18,,1621,1621,1621,,,,
Sandvine Corporation,First Lien Senior Secured,Telecommunications,,,SF,9.00,2025-10-03,,72,72,72,,,,
Sandvine Corporation,First Lien Senior Secured,Telecommunications,,,SF,9.00,2025-10-03,,372,372,372,,,,
American Broadband and Telecommunications Company LLC (Delayed Draw),First Lien Senior Secured,Telecommunications,17.50%,2.00%,P,12.00,2022-06-10,2025-06-10,1377,,,1313,,,
American Broadband and Telecommunications Company LLC (Revolver),First Lien Senior Secured,Telecommunications,17.50%,2.00%,P,12.00,2022-06-10,2025-06-10,500,,,126,,,
Calabrio Inc.,First Lien Senior Secured,Telecommunications,,10.01,SF,5.50,2021-04-16,2027-04-16,3383,,,3344,,,
Calabrio Inc.,First Lien Senior Secured,Telecommunications,,10.01,SF,5.50,2023-12-19,2027-04-16,496,,,496,,,
Calabrio Inc. (Revolver),First Lien Senior Secured,Telecommunications,,10.02,SF,5.50,2021-04-16,2027-04-16,409,,,175,,,
Epika Fleet Services Inc.,First Lien Senior Secured,Transportation: Cargo,10.34%,,SF,6.00,2024-03-18,2029-03-18,2978,,,2924,,,
Epika Fleet Services Inc.,First Lien Senior Secured,Transportation: Cargo,10.34%,,SF,6.00,2024-03-18,2029-03-18,1718,,,1702,,,
Epika Fleet Services Inc. (Delayed Draw),First Lien Senior Secured,Transportation: Cargo,10.45%,,SF,6.00,2024-12-05,2029-03-18,1153,,,374,,,
Epika Fleet Services Inc. (Delayed Draw),First Lien Senior Secured,Transportation: Cargo,10.34%,,SF,6.00,2024-03-18,2029-03-18,863,,,482,,,
Epika Fleet Services Inc. (Revolver),First Lien Senior Secured,Transportation: Cargo,10.34%,,SF,6.00,2024-03-18,2029-03-18,652,,,116,,,
Onit Inc.,First Lien Senior Secured,Services: Business,12.01%,,SF,7.40,2021-12-20,2025-05-02,1680,,,1675,,,
BTR Opco LLC (fka Born to Run LLC),Junior Secured Loans,Automotive,,7.50,n/a,n/a,2024-09-30,2027-12-31,711,,,658,,,458
BTR Opco LLC (fka Born to Run LLC),Junior Secured Loans,Automotive,,5.00,n/a,n/a,2024-09-30,2027-12-31,3664,,,3390,,,
Thrasio LLC,First Lien Senior Secured,Consumer Goods: Non-Durable,14.89%,,SF,10.26,2024-07-18,2029-06-18,881,,,881,,,
APCO Worldwide Inc,Common Equity,Services: Business,,,,,,2017-11-01,,,,,,,
Northeast Contracting Company LLC,Common Equity,Services: Business,,,,,,2024-08-16,,,,1073,1468,1998,
Education Corporation of America,Preferred Stock,Services: Consumer,,12.00%,n/a,n/a,2015-09-03,,,,7492,,,,
Express Wash Acquisition Company LLC,Common Equity,Services: Consumer,,,,,,2023-11-15,,,,,,,
Express Wash Acquisition Company LLC,Preferred Equity,Services: Consumer,,8.00%,n/a,n/a,2023-11-15,,,,,,,,
Express Wash Acquisition Company LLC,Preferred Equity,Services: Consumer,,,,,,2023-11-15,,,,151,,,
IDIG Parent LLC,Common Equity,Services: Consumer,,,,,,2021-01-04,,,,251,,,
Kar Wash Holdings LLC,Common Equity,Services: Consumer,,,,,,2022-02-28,,,,103,,,
Kar Wash Holdings LLC,Preferred Equity,Services: Consumer,,,,,,2023-06-27,,,,26,,,
American Broadband and Telecommunications Company LLC,Warrant,Telecommunications,,,,,,2022-06-10,2032-06-10,,,42,34,,
Epika Fleet Services Inc,Preferred Equity,Transportation: Cargo,,,,,,2024-03-18,,,,196,199,,
Nearly Natural Inc,Common Equity,Wholesale,,,,,,2017-12-15,,,,153,,,
Nearly Natural Inc,Common Equity,Wholesale,,,,,,2021-08-27,,,,61,,,
Nearly Natural Inc,Common Equity,Wholesale,,,,,,2024-08-05,,,,62,,,
Trident Maritime Systems Inc,Senior Secured Loan,Aerospace & Defense,9.98%,2.00%,SF,7.65%,,2027-02-26,3145,,,3601,,,
Trident Maritime Systems Inc,Senior Secured Loan,Aerospace & Defense,9.96%,2.00%,SF,7.60%,,2027-02-26,137,,,3601,,,
Trident Maritime Systems Inc (Revolver),Senior Secured Loan,Aerospace & Defense,10.01%,2.00%,SF,7.65%,,2027-02-26,319,,,3601,,,
Accelerate Auto Works Intermediate LLC,Senior Secured Loan,Automotive,9.41%,,SF,4.90%,,2027-12-01,1344,,,1860,,,
Accelerate Auto Works Intermediate LLC,Senior Secured Loan,Automotive,9.49%,,SF,4.90%,,2027-12-01,384,,,1860,,,
Accelerate Auto Works Intermediate LLC (Revolver),Senior Secured Loan,Automotive,9.41%,,SF,4.90%,,2027-12-01,132,,,1860,,,
SW Ingredients Holdings LLC,Senior Secured Loan,Beverage Food & Tobacco,9.96%,,SF,5.60%,,2027-07-08,3506,,,3506,,,
MacQueen Equipment LLC,Senior Secured Loan,Capital Equipment,9.84%,,SF,5.51%,,2028-01-07,2032,,,2773,,,
MacQueen Equipment LLC,Senior Secured Loan,Capital Equipment,9.84%,,SF,5.51%,,2028-01-07,445,,,2773,,,
MacQueen Equipment LLC (Revolver),Senior Secured Loan,Capital Equipment,11.75%,,P,4.25%,,2028-01-07,296,,,2773,,,
Phoenix Chemical Holding Company LLC,Senior Secured Loan,Chemicals Plastics & Rubber,11.47%,,SF,7.11%,,2025-10-03,1137,,,5304,,,
TJC Spartech Acquisition Corp,Senior Secured Loan,Chemicals Plastics & Rubber,9.41%,,SF,4.75%,,2028-05-05,4167,,,5304,,,
Runner Buyer INC,Senior Secured Loan,Consumer Goods Durable,10.11%,,SF,5.61%,,2028-10-23,2910,,,2910,,,
PH Beauty Holdings III INC,Senior Secured Loan,Consumer Goods Non-Durable,10.17%,,SF,5.00%,,2025-09-26,2342,,,2342,,,
LSCS Holdings Inc,Senior Secured Loan,Healthcare & Pharmaceuticals,8.97%,,SF,4.61%,,2028-12-15,1791,,,1791,,,
Natus Medical Incorporated,Senior Secured Loan,Healthcare & Pharmaceuticals,9.96%,,SF,5.60%,,2029-07-20,4900,,,4900,,,
Corel Inc,Senior Secured Loan,High Tech Industries,9.61%,,SF,5.10%,,2026-07-02,3200,,,3200,,,
Lightbox Intermediate LP,Senior Secured Loan,High Tech Industries,9.44%,,SF,5.11%,,2026-05-11,4725,,,4725,,,
TGG TS Acquisition Company,Senior Secured Loan,High Tech Industries,10.97%,,SF,6.61%,,2025-12-12,2445,,,2445,,,
Excel Fitness Holdings Inc,Senior Secured Loan,Hotels Gaming & Leisure,9.58%,,SF,5.25%,,2029-04-27,4309,,,4309,,,
Excel Fitness Holdings Inc (Revolver),Senior Secured Loan,Hotels Gaming & Leisure,9.58%,,SF,5.25%,,2028-04-28,625,,,625,,,
North Haven Spartan US Holdco LLC,Senior Secured Loan,Hotels Gaming & Leisure,10.18%,,SF,5.75%,,2026-06-05,2227,,,2227,,,
STATS Intermediate Holdings LLC,Senior Secured Loan,Media Diversified & Production,10.03%,,SF,5.51%,,2026-07-10,4750,,,4750,,,
TA TT Buyer LLC,Senior Secured Loan,Media Diversified & Production,9.08%,,SF,4.75%,,2029-03-30,3267,,,3267,,,
Eliassen Group LLC,Senior Secured Loan,Services Business,10.08%,,SF,5.75%,,2028-04-14,3186,,,3186,,,
Eliassen Group LLC,Senior Secured Loan,Services Business,10.26%,,SF,5.75%,,2028-04-14,229,,,229,,,
Secretariat Advisors LLC,Senior Secured Loan,Services Business,9.22%,,SF,4.86%,,2028-12-29,1659,,,1659,,,
Secretariat Advisors LLC,Senior Secured Loan,Services Business,9.22%,,SF,4.86%,,2028-12-29,265,,,265,,,
SIRVA Worldwide Inc (Delayed Draw),Senior Secured Loan,Services Business,12.35%,,SF,8.00%,,2029-02-20,381,,,381,,,
Laseraway Intermediate Holdings II LLC,Senior Secured Loan,Services Consumer,10.66%,,SF,5.75%,,2027-10-14,2156,,,2156,,,
McKissock Investment Holdings LLC,Senior Secured Loan,Services Consumer,9.80%,,SF,5.00%,,2029-03-09,2431,,,2431,,,
American Community Homes Inc,Common Equity,Real Estate,8.5%,,SF,4.86%,,2028-12-29,1659,1659,8110,1.0,,,
American Community Homes Inc,Common Equity,Real Estate,8.5%,,SF,4.86%,,2028-12-29,265,265,3990,0.5,,,
American Community Homes Inc,Common Equity,Real Estate,8.5%,,SF,4.86%,,2028-12-29,,,,491,0.1,,
American Community Homes Inc (Revolver),Senior Secured Loan,Real Estate,12.35%,,SF,8.00%,,2029-02-20,,,,,,,
American Community Homes Inc (4940 shares of common stock),Common Equity,Real Estate,10.66%,,SF,5.75%,,2027-10-14,,,,,,,
Ascent Midco LLC (2032258 Class A units),Common Equity,Energy,9.80%,,SF,5.00%,,2029-03-09,,,,1932,0.2,,
Familia Dental Group Holdings LLC (1304 Class A units),Common Equity,Healthcare,8.5%,,SF,4.86%,,2028-12-29,,,,2226,0.3,,671
HFZ Capital Group LLC,Common Equity,Real Estate,8.5%,,SF,4.86%,,2028-12-29,,,,17233,2.2,,
MC Asset Management (Corporate) LLC,Common Equity,Financial Services,8.5%,,SF,4.86%,,2028-12-29,,,,10237,1.3,,1662
Mnine Holdings Inc,Common Equity,Technology,8.5%,,SF,4.86%,,2028-12-29,,,,6187,0.8,,244
Mnine Holdings Inc (Revolver),Senior Secured Loan,Technology,12.35%,,SF,8.00%,,2029-02-20,,,,658,0.1,,37
Mnine Holdings Inc (6400 Class B units),Common Equity,Technology,10.66%,,SF,5.75%,,2027-10-14,,,,,,,
NECB Collections LLC (Revolver),Senior Secured Loan,Services Business,9.80%,,SF,5.00%,,2029-03-09,,,,424,0.1,,
NECB Collections LLC LLC (20.8% of LLC units),Common Equity,Services Business,8.5%,,SF,4.86%,,2028-12-29,,,,,,,
BTR Opco LLC (Delayed Draw),Senior Secured Loan,Automotive,12.76%,,SF,8.76%,2024-06-21,2027-12-31,569,,,406,,,
Hastings Manufacturing Company,Senior Secured Loan,Automotive,11.76%,,SF,7.60%,2018-04-24,2025-12-30,1760,,,1760,,,
Hastings Manufacturing Company,Senior Secured Loan,Automotive,11.76%,,SF,7.60%,2023-03-29,2025-12-30,638,,,638,,,
Hastings Manufacturing Company,Senior Secured Loan,Automotive,11.76%,,SF,7.60%,2023-12-18,2025-12-30,1961,,,1961,,,
Hastings Manufacturing Company (Revolver),Senior Secured Loan,Automotive,11.76%,,SF,7.60%,2023-03-29,2025-12-30,691,,,0,,,
Lifted Trucks Holdings LLC,Senior Secured Loan,Automotive,9.63%,,SF,5.35%,2025-08-11,2028-11-01,2567,,,2530,,,
Lifted Trucks Holdings LLC,Senior Secured Loan,Automotive,9.63%,,SF,5.35%,2021-08-02,2028-11-01,6738,,,6688,,,
Lifted Trucks Holdings LLC (Revolver),Senior Secured Loan,Automotive,9.63%,,SF,5.35%,2021-08-02,2028-11-01,2222,,,833,,,
Panda Acquisition LLC,Senior Secured Loan,Automotive,12.47%,,SF,8.60%,2022-12-20,2028-10-18,4961,,,4482,,,
StarCompliance MidCo LLC (Revolver),Senior Secured Loan,Banking,10.10%,,SF,6.10%,2021-01-12,2027-01-12,323,,,142,,,
CGI Automated Manufacturing LLC,Senior Secured Loan,Capital Equipment,11.28%,,SF,7.11%,2022-09-09,2026-12-17,3765,,,3730,,,
CGI Automated Manufacturing LLC,Senior Secured Loan,Capital Equipment,11.28%,,SF,7.11%,2022-09-30,2026-12-17,1080,,,1072,,,
Valudor Products LLC,Senior Secured Loan,Chemicals Plastics & Rubber,10.28%,1.50%,SF,7.61%,2018-06-18,2026-12-31,2105,,,2097,,,
Valudor Products LLC,Senior Secured Loan,Chemicals Plastics & Rubber,,11.78%,SF,7.50%,2018-06-18,2026-12-31,368,,,368,,,
Valudor Products LLC,Senior Secured Loan,Chemicals Plastics & Rubber,11.78%,,SF,7.61%,2021-12-22,2026-12-31,884,,,877,,,
Trident Maritime Systems Inc,Senior Secured Loan,Aerospace & Defense,5.10%,6.75%,SF,7.85%,,2027-02-26,3223,,,3688,,,
Trident Maritime Systems Inc,Senior Secured Loan,Aerospace & Defense,5.10%,6.75%,SF,7.85%,,2027-02-26,140,,,3688,,,
Trident Maritime Systems Inc (Revolver),Senior Secured Loan,Aerospace & Defense,4.03%,7.85%,SF,7.85%,,2027-02-26,325,,,3688,,,
Accelerate Auto Works Intermediate LLC,Senior Secured Loan,Automotive,9.10%,,SF,4.90%,,2027-12-01,1333,,,1846,,,
Accelerate Auto Works Intermediate LLC,Senior Secured Loan,Automotive,9.21%,,SF,4.90%,,2027-12-01,381,,,1846,,,
Phoenix Chemical Holding Company LLC,Senior Secured Loan,Chemicals Plastics & Rubber,11.28%,,SF,7.11%,,2025-10-03,1135,,,1135,,,
Polychem Acquisition LLC,Senior Secured Loan,Containers Packaging & Glass,5.78%,4.00%,SF,5.61%,,2026-08-15,2919,,,4806,,,
PVHC Holding Corp,Senior Secured Loan,Containers Packaging & Glass,9.64%,0.75%,SF,6.40%,,2027-02-17,1887,,,4806,,,
AppLogic Networks OpCo I LLC (fka Sandvine Corporation),Senior Secured Loan,Telecommunications,5.17%,5.00%,SF,6.00%,,2030-03-03,640,,,640,,,
Keystone Purchaser LLC,Senior Secured Loan,Transportation: Cargo,10.01%,,SF,6.01%,,2027-05-07,4817,,,4817,,,
"Trident Maritime Systems, Inc.",Senior Secured Loan,Aerospace & Defense,9.98%,2.00%,SF,7.65%,,2027-02-26,3145,,,3145,,,
"Trident Maritime Systems, Inc.",Senior Secured Loan,Aerospace & Defense,9.96%,2.00%,SF,7.60%,,2027-02-26,137,,,137,,,
Trident Maritime Systems, Inc. (Revolver),Senior Secured Loan,Aerospace & Defense,10.01%,2.00%,SF,7.65%,,2027-02-26,319,,,319,,
"Accelerate Auto Works Intermediate, LLC",Senior Secured Loan,Automotive,9.41%,,SF,4.90%,,2027-12-01,1344,,,1344,,,
"Accelerate Auto Works Intermediate, LLC",Senior Secured Loan,Automotive,9.49%,,SF,4.90%,,2027-12-01,384,,,384,,,
Accelerate Auto Works Intermediate, LLC (Revolver),Senior Secured Loan,Automotive,9.41%,,SF,4.90%,,2027-12-01,132,,,132,,
"SW Ingredients Holdings, LLC",Senior Secured Loan,Beverage Food & Tobacco,9.96%,,SF,5.60%,,2027-07-08,3506,,,3506,,,
"MacQueen Equipment, LLC",Senior Secured Loan,Capital Equipment,9.84%,,SF,5.51%,,2028-01-07,2032,,,2032,,,
"MacQueen Equipment, LLC",Senior Secured Loan,Capital Equipment,9.84%,,SF,5.51%,,2028-01-07,445,,,445,,,
