company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment
NationsBenefits LLC,First Lien Senior Secured,Healthcare,10.15%,,SF,5.60,2022-08-26,2027-08-26,4625,,4625,,,,
NationsBenefits LLC,First Lien Senior Secured,Healthcare,10.15%,,SF,5.60,2022-08-26,2027-08-26,5014,,5014,,,,
NationsBenefits LLC,First Lien Senior Secured,Healthcare,10.19%,,SF,5.60,2024-11-27,2027-08-26,2018,,1979,,,,
NationsBenefits LLC (Delayed Draw),First Lien Senior Secured,Healthcare,10.15%,,SF,5.60,2024-11-27,2027-08-26,649,,,,,,
NationsBenefits LLC (Revolver),First Lien Senior Secured,Healthcare,10.15%,,SF,5.60,2021-08-20,2027-08-26,2222,,,,,,
NQ PE Project Colosseum Midco Inc,First Lien Senior Secured,Healthcare,11.47%,,SF,7.15,2022-10-04,2028-10-04,3430,,3381,,,,
NQ PE Project Colosseum Midco Inc (Revolver),First Lien Senior Secured,Healthcare,11.47%,,SF,7.15,2022-10-04,2028-10-04,438,,,,,,
Seran BioScience LLC,First Lien Senior Secured,Healthcare,11.84%,,SF,7.25,2020-12-31,2027-07-08,2406,,2395,,,,
Seran BioScience LLC,First Lien Senior Secured,Healthcare,11.67%,,SF,7.25,2022-07-08,2027-07-08,2730,,2730,,,,
Seran BioScience LLC,First Lien Senior Secured,Healthcare,11.67%,,SF,7.25,2023-08-21,2027-07-08,1436,,1436,,,,
Douglas Holdings Inc (Delayed Draw),First Lien Senior Secured,High Tech Industries,,10.07%,SF,5.75,2024-08-27,2030-08-27,598,,,,,,
Medallia Inc,First Lien Senior Secured,High Tech Industries,6.93%,4.00%,SF,6.60,2022-08-15,2028-10-27,2229,,2204,,,,
Mindbody Inc,First Lien Senior Secured,High Tech Industries,,11.74%,SF,7.15,2019-02-15,2025-09-30,6536,,6534,,,,
Mindbody Inc,First Lien Senior Secured,High Tech Industries,,11.74%,SF,7.15,2021-09-22,2025-09-30,207,,207,,,,
Mindbody Inc (Revolver),First Lien Senior Secured,High Tech Industries,,11.74%,SF,7.15,2019-02-15,2025-09-30,667,,,,,,
