company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Forest Buyer LLC,First Lien Senior Secured,Healthcare,9.33%,,SF,5.00,2024-03-15,2030-03-15,3980,,3890,,,,,MRCC,2025-11-05.BEFORE
Forest Buyer LLC,First Lien Senior Secured,Healthcare,8.33%,,SF,4.00,2024-08-19,2030-03-15,5860,,5816,,,,,MRCC,2025-11-05.BEFORE
Forest Buyer LLC (Revolver),First Lien Senior Secured,Healthcare,8.33%,,SF,4.00,2024-03-15,2030-03-15,750,,,,,,,MRCC,2025-11-05.BEFORE
INH Buyer Inc,First Lien Senior Secured,Healthcare,4.43%,7.00%,SF,7.00,2021-06-30,2028-06-28,3026,,3007,,,,,MRCC,2025-11-05.BEFORE
KL Moon Acquisition LLC (fka Spectrum Science Communications LLC),First Lien Senior Secured,Healthcare,9.57%,2.75%,SF,7.75,2023-02-01,2029-02-01,4995,,4886,,,,,MRCC,2025-11-05.BEFORE
KL Moon Acquisition LLC (fka Spectrum Science Communications LLC),First Lien Senior Secured,Healthcare,9.57%,2.75%,SF,7.75,2024-02-06,2029-02-01,2142,,2087,,,,,MRCC,2025-11-05.BEFORE
KL Moon Acquisition LLC (fka Spectrum Science Communications LLC),First Lien Senior Secured,Healthcare,9.57%,2.75%,SF,7.75,2023-02-01,2029-02-01,996,,996,,,,,MRCC,2025-11-05.BEFORE
KL Moon Acquisition LLC (fka Spectrum Science Communications LLC) (Revolver),First Lien Senior Secured,Healthcare,9.57%,2.75%,SF,7.75,2023-02-01,2029-02-01,823,,471,,,,,MRCC,2025-11-05.BEFORE
NationsBenefits LLC,First Lien Senior Secured,Healthcare,10.15%,,SF,5.60,2021-08-20,2027-08-26,3880,,3849,,,,,MRCC,2025-11-05.BEFORE
NationsBenefits LLC,First Lien Senior Secured,Healthcare,10.15%,,SF,5.60,2022-08-26,2027-08-26,4625,,4625,,,,,MRCC,2025-11-05.BEFORE
NationsBenefits LLC,First Lien Senior Secured,Healthcare,10.15%,,SF,5.60,2022-08-26,2027-08-26,5014,,5014,,,,,MRCC,2025-11-05.BEFORE
NationsBenefits LLC,First Lien Senior Secured,Healthcare,10.19%,,SF,5.60,2024-11-27,2027-08-26,2018,,1979,,,,,MRCC,2025-11-05.BEFORE
