company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Highland All About People Holdings Inc.,co_6fa73910faa9,Other,,,,,,,,,,4018,4018,,4018,,,,,,RAND,2023-11-06
Inter-National Electronic Alloys LLC,co_710303987285,First Lien,Software & Technology,12%,,,,,2023-04-04,2028-04-04,,3321,3321,7%,3321,,,,,,RAND,2023-11-06
Inter-National Electronic Alloys LLC,co_710303987285,Other Equity,Software & Technology,,,,,,2023-04-04,,,1012,1012,,1012,,,,75.3,,RAND,2023-11-06
Inter-National Electronic Alloys LLC,co_710303987285,Other,Software & Technology,,,,,,,,,4333,4333,,4333,,,,,,RAND,2023-11-06
Knoa Software Inc.,co_62305eb71d79,Preferred Equity,Software & Technology,,,,,,2014-06-09,,,479,100,,479,,,,1876922,,RAND,2023-11-06
Knoa Software Inc.,co_62305eb71d79,Other,Software & Technology,,,,,,,,,1229,100,,1229,,,,,,RAND,2023-11-06
Mezmeriz Inc.,co_8563e713093d,Preferred Equity,,,,,,,2015-05-14,,,743,,0%,743,,,,1554565,,RAND,2023-11-06
Pressure Pro Inc.,co_8cb3fd97beec,First Lien,,12%,3%,,,,2023-01-19,2028-01-19,,3038,3038,5%,3038,,,,,,RAND,2023-11-06
Pressure Pro,co_8cb3fd97beec,Other Equity,,,,,,,2023-01-19,,,30,30,,30,,,,,,RAND,2023-11-06
Pressure Pro,co_8cb3fd97beec,Other,,,,,,,,,,3068,3068,,3068,,,,,,RAND,2023-11-06
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2013-07-12,,,1500,1500,8.5%,1500,,,,187500,,RAND,2023-11-06
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2014-04-04,,,505,505,,505,,,,274299,,RAND,2023-11-06
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2016-04-07,,,175,175,,175,,,,113636,,RAND,2023-11-06
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2016-04-07,,,399,399,,399,,,,369698,,RAND,2023-11-06
SciAps Inc.,co_5946973dd3f7,Preferred Equity,,,,,,,2017-05-09,,,250,250,,250,,,,147059,,RAND,2023-11-06
SciAps,co_5946973dd3f7,Warrants,,,,,,,2017-05-09,,,45,45,,45,,,,,,RAND,2023-11-06
SciAps Inc.,co_5946973dd3f7,Subordinated Debt,,12%,,,,,2021-08-20,2024-08-20,,2090,2090,,2090,,,,,,RAND,2023-11-06
SciAps,co_5946973dd3f7,Other,,,,,,,,,,5214,5214,,5214,,,,,,RAND,2023-11-06
Seybert’s Billiards Corp.,co_d82b00c7cd92,First Lien,,,2%,,,,2021-01-19,2026-01-19,,1467,4252,9.7%,1467,,,,,,RAND,2023-11-06
Seybert’s Billiards Corp.,co_d82b00c7cd92,First Lien,,12%,2%,,,,,2026-01-19,1435,,1467,,,,,,,,RAND,2023-11-06
Seybert’s Billiards Corp.,co_d82b00c7cd92,First Lien,,12%,2%,,,,2021-11-22,2026-01-19,,4252,1467,,4252,,,,,,RAND,2023-11-06
Seybert’s Billiards Corp.,co_d82b00c7cd92,Other,,,,,,,2021-01-19,,,25,25,,25,,,,,,RAND,2023-11-06
Seybert’s Billiards Corp.,co_d82b00c7cd92,Other Equity,,,,,,,2022-10-24,,,194,194,,194,,,,5.82,,RAND,2023-11-06
Seybert’s,co_356de4049a63,Other,,,,,,,,,,5963,5963,,5963,,,,,,RAND,2023-11-06
Tilson Technology Management Inc.,co_04ab71fb578c,Preferred Equity,Software & Technology,,,,,,2015-01-20,,,600,4560,17.2%,600,,,,120000,,RAND,2023-11-06
Tilson Technology Management Inc.,co_04ab71fb578c,Preferred Equity,Software & Technology,,,,,,2016-09-28,,,200,813,,200,,,,21391,,RAND,2023-11-06
Tilson Technology Management Inc.,co_04ab71fb578c,Preferred Equity,Software & Technology,,,,,,2017-09-29,,,800,2666,,800,,,,70176,,RAND,2023-11-06
Tilson Technology Management Inc.,co_04ab71fb578c,Preferred Equity,Software & Technology,,,,,,2019-03-15,,,500,584,,500,,,,15385,,RAND,2023-11-06
Tilson Technology Management Inc.,co_04ab71fb578c,Preferred Equity,Software & Technology,,,,,,2020-06-15,,,750,877,,750,,,,23077,,RAND,2023-11-06
Tilson Technology Management,co_04ab71fb578c,Other Equity,Software & Technology,,,,,,2023-02-16,,,250,250,,250,,,,250,,RAND,2023-11-06
Tilson Technology Management Inc.,co_04ab71fb578c,Other,Software & Technology,,,,,,,,,3100,10550,,3100,,,,,,RAND,2023-11-06
