company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Tilson Technology Management Inc.,Preferred Equity,Software & Technology,,,,,,2016-09-28,,,200,813,,200,,,,21391,,RAND,2025-05-05
Tilson Technology Management Inc.,Preferred Equity,Software & Technology,,,,,,2017-09-29,,,800,2666,,800,,,,70176,,RAND,2025-05-05
Tilson Technology Management Inc.,Preferred Equity,Software & Technology,,,,,,2019-03-15,,,500,584,,500,,,,15385,,RAND,2025-05-05
Tilson Technology Management Inc.,Preferred Equity,Software & Technology,,,,,,2020-06-15,,,750,877,,750,,,,23077,,RAND,2025-05-05
Tilson Technology Management,Other Equity,Software & Technology,,,,,,2023-02-16,,,250,1000,,250,,,,250,,RAND,2025-05-05
Tilson Technology Management Inc.,Other,Software & Technology,,,,,,,,,3100,11500,,3100,,,,,,RAND,2025-05-05
ITA Acquisition LLC,First Lien,,,,,,,2021-06-22,,,3619,1416,3.1%,3619,,,,,,RAND,2025-05-05
ITA Acquisition LLC,First Lien,,,,,,,2021-06-22,,,1821,584,,1821,,,,,,RAND,2025-05-05
ITA Acquisition LLC,Common Equity,,,,,,,2021-06-22,,,1124,,,1124,,,,,,RAND,2025-05-05
ITA Acquisition LLC,Other,Financial Services,,,,,,,,,6564,2000,,6564,,,,,,RAND,2025-05-05
Autotality (formerly Filterworks Acquisition USA LLC) - thereafter 12% (+2% PIK) due March 31 2026,Other,,12%,2%,,,,,2026-03-31,,,,,,,,,,,RAND,2025-05-05
BMP Food Service Supply Holdco LLC,First Lien,Food & Beverage,16%,,,,,,2027-11-22,,,6751,,,,,,,,RAND,2025-05-05
BMP Swanson Holdco LLC,First Lien,,12%,,,,,,2028-05-31,,,1700,,,,,,,,RAND,2025-05-05
FCM Industries Holdco LLC,First Lien,,13%,,,,,,2028-07-31,3380,,3380,,,,,,,,RAND,2025-05-05
FCM Industries Holdco LLC,First Lien,Financial Services,,10%,,,,,2033-07-31,420,,12,,,,,,,,RAND,2025-05-05
Inter-National Electronic Alloys LLC,First Lien,Software & Technology,12%,,,,,,2028-04-04,3288,,3372,,,,,,,,RAND,2025-05-05
Mobile RN Holdings LLC,First Lien,,14%,1%,,,,,2029-10-02,2500,,2513,,,,,,,,RAND,2025-05-05
Pressure Pro Inc.,First Lien,,12%,3%,,,,,2028-01-19,3000,,1725,,,,,,,,RAND,2025-05-05
Seybert’s Billiards Corp.,First Lien,,12%,2%,,,,,2026-01-19,6099,,6191,,,,,,,,RAND,2025-05-05
Non-Control/Non-Affiliate Investments - Net assets,Other,Financial Services,,,,,,,,,,,11.7%,,,,,,,RAND,2025-05-05
