company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
HH-Inspire Acquisition,First Lien,Media & Entertainment,,,,,,,,16013,16013,16013,,16013,,,,,,GLAD,2023-07-26
HH-Inspire Acquisition,First Lien,Media & Entertainment,,,,,,,,3225,3225,3225,,3225,,,,,,GLAD,2023-07-26
Pansophic Learning,First Lien,Media & Entertainment,12.8%,,SOFR,7.5%,,,,28000,27966,28000,,27966,,,,,,GLAD,2023-07-26
Pansophic Learning,First Lien,Media & Entertainment,12.8%,,SOFR,7.5%,,,,5000,4994,5000,,4994,,,,,,GLAD,2023-07-26
Technical Resource Management LLC,First Lien,Business Services,13.1%,,SOFR,8%,,,,0,0,0,,0,,,,,,GLAD,2023-07-26
Technical Resource Management,First Lien,Business Services,13.1%,,SOFR,8%,,,,23000,23000,23000,,23000,,,,,,GLAD,2023-07-26
Technical Resource Management,Delayed Draw,Business Services,13.1%,,SOFR,8%,,,,0,0,0,,0,,,,,,GLAD,2023-07-26
Turn Key Health Clinics LLC,First Lien,,12.4%,,SOFR,7.3%,,,,500,500,500,,500,,,,,,GLAD,2023-07-26
Turn Key Health Clinics,First Lien,,12.4%,,SOFR,7.3%,,,,11000,11000,11000,,11000,,,,,,GLAD,2023-07-26
Arc Drilling Holdings LLC,First Lien,,10.5%,,SOFR,11.5%,,,,0,0,0,,0,,,,,,GLAD,2023-07-26
Arc Drilling Holdings LLC,First Lien,,10.5%,6.1%,SOFR,11.5%,,,,5835,5835,5522,,5835,,,,,,GLAD,2023-07-26
B+T Group Acquisition Inc.(S) – Line of Credit,First Lien,,16.1%,,SOFR,11%,,,,1200,1200,996,,1200,,,,,,GLAD,2023-07-26
B+T Group Acquisition,First Lien,Media & Entertainment,16.1%,,SOFR,11%,,,,6000,6000,4980,,6000,,,,,,GLAD,2023-07-26
Sea Link International IRB,First Lien,Media & Entertainment,11.3%,2%,,,,,,12021,11989,11630,,11989,,,,,,GLAD,2023-07-26
8th Avenue Food & Provisions,First Lien,Media & Entertainment,13%,,SOFR,7.9%,,,,3683,3683,2431,,3683,,,,,,GLAD,2023-07-26
OCI,First Lien,,7%,,SOFR,7%,,,,2000,2000,2000,,2000,,,,,,GLAD,2023-07-26
Springfield,First Lien,,15.2%,,SOFR,10.1%,,,,30000,30000,29888,,30000,,,,,,GLAD,2023-07-26
Tailwind Smith Cooper Intermediate Corp.,First Lien,Media & Entertainment,14.3%,,SOFR,9%,,,,5000,4849,4300,,4849,,,,,,GLAD,2023-07-26
CHA Holdings,First Lien,,14.3%,,SOFR,9%,,,,3000,2973,2760,,2973,,,,,,GLAD,2023-07-26
Gray Matter Systems,First Lien,,,,SOFR,11.3%,,,,8600,8553,8589,,8553,,,,,,GLAD,2023-07-26
Giving Home Health Care,First Lien,Media & Entertainment,12.5%,,,,,,,28800,28800,28728,,28800,,,,,,GLAD,2023-07-26
CPM Holdings,First Lien,,13.5%,,SOFR,8.3%,,,,798,798,792,,798,,,,,,GLAD,2023-07-26
Imperative Holdings Corp.,First Lien,,14.9%,,SOFR,9.8%,,,,21765,21611,21493,,21611,,,,,,GLAD,2023-07-26
Frontier Financial Group Inc.,First Lien,Financial Services,,,SOFR,6%,,,,198,198,32,,198,,,,,,GLAD,2023-07-26
Sea Link International IRB,Preferred Equity,Media & Entertainment,,,,,,,,,98,175,,98,,,,98039,,GLAD,2023-07-26
Triple H Food Processors,Preferred Equity,Media & Entertainment,,,,,,,,,75,135,,75,,,,75,,GLAD,2023-07-26
GFRC 360,Preferred Equity,,,,,,,,,,1025,263,,1025,,,,1000,,GLAD,2023-07-26
Salvo Technologies,Preferred Equity,Media & Entertainment,,,,,,,,,2500,2011,,2500,,,,2500,,GLAD,2023-07-26
Frontier Financial Group Inc.,Other Equity,Financial Services,,,,,,,,,500,0,,500,,,,766,,GLAD,2023-07-26
Frontier Financial Group Inc.,Other Equity,Financial Services,,,,,,,,,0,0,,0,,,,168,,GLAD,2023-07-26
MCG Energy Solutions,Preferred Equity,Media & Entertainment,,,,,,,,,7000,8904,,7000,,,,7000000,,GLAD,2023-07-26
Trowbridge Chicago,Preferred Equity,,,,,,,,,,750,750,,750,,,,242105,,GLAD,2023-07-26
HH-Inspire Acquisition,Preferred Equity,Media & Entertainment,,,,,,,,,2251,4213,,2251,,,,1329054,,GLAD,2023-07-26
FES Resources Holdings LLC,Other Equity,,,,,,,,,,6350,3619,,6350,,,,6350,,GLAD,2023-07-26
Imperative Holdings Corp.,Other Equity,,,,,,,,,,488,1656,,488,,,,972569,,GLAD,2023-07-26
B+T Group Acquisition,Preferred Equity,Media & Entertainment,,,,,,,,,2024,0,,2024,,,,6130,,GLAD,2023-07-26
Antenna Research Associates,Common Equity,Media & Entertainment,,,,,,,,,4283,15814,,4283,,,,4283,,GLAD,2023-07-26
Ohio Armor Holdings,Common Equity,,,,,,,,,,1000,543,,1000,,,,100,,GLAD,2023-07-26
Sea Link International IRB,Common Equity,Media & Entertainment,,,,,,,,,823,322,,823,,,,823333,,GLAD,2023-07-26
Salt & Straw LLC,Other,,,,,,,,,,0,0,,0,,,,,,GLAD,2023-07-26
Sokol & Company Holdings,Common Equity,,,,,,,,,,1500,1581,,1500,,,,1500000,,GLAD,2023-07-26
Triple H Food Processors,Common Equity,Media & Entertainment,,,,,,,,,250,1311,,250,,,,250000,,GLAD,2023-07-26
GFRC 360,Common Equity,,,,,,,,,,0,0,,0,,,,,,GLAD,2023-07-26
Engineering Manufacturing Technologies,Common Equity,Media & Entertainment,,,,,,,,,3000,0,,3000,,,,6000,,GLAD,2023-07-26
OCI,Common Equity,,,,,,,,,,0,0,,0,,,,306,,GLAD,2023-07-26
NeoGraf Solutions LLC,Other Equity,Media & Entertainment,,,,,,,,,2000,855,,2000,,,,2000000,,GLAD,2023-07-26
WorkforceQA,Common Equity,Business Services,,,,,,,,,532,391,,532,,,,532,,GLAD,2023-07-26
Giving Home Health Care,Warrants,Media & Entertainment,,,,,,,,,19,2415,,19,,,,10667,cost_suspicious_vs_size,GLAD,2023-07-26
GSM MidCo LLC,Other Equity,,,,,,,,,,767,1118,,767,,,,767,,GLAD,2023-07-26
Leeds Novamark Capital I,Partnership Interest,Media & Entertainment,,,,,,,,,0,193,,0,,,,,,GLAD,2023-07-26
Technical Resource Management,Common Equity,Business Services,,,,,,,,,2000,2000,,2000,,,,2000000,,GLAD,2023-07-26
Arc Drilling Holdings LLC,Other Equity,,,,,,,,,,1500,106,,1500,,,,15000,,GLAD,2023-07-26
FES Resources Holdings LLC,Other Equity,,,,,,,,,,0,0,,0,,,,6233,,GLAD,2023-07-26
Total Safety Holdings,Common Equity,,,,,,,,,,499,119,,499,,,,435,,GLAD,2023-07-26
Funko Acquisition Holdings,Common Equity,,,,,,,,,,22,31,,22,,,,4239,,GLAD,2023-07-26
B+T Group Acquisition,Common Equity,Media & Entertainment,,,,,,,,,0,0,,0,,,,,,GLAD,2023-07-26
