company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
KORE Wireless Group Inc,co_581d8038a4c8,First Lien,Telecommunications,,,LIBOR,5.50%,,2024-12-20,4682,4659,4676,,4659,,,CSWC,2021-11-02
Lab Logistics LLC,co_743298413f7c,First Lien,Healthcare Services,,,LIBOR,7.25%,,2023-09-25,6305,6255,6305,,6255,,,CSWC,2021-11-02
Lab Logistics LLC,co_743298413f7c,First Lien,Healthcare Services,,,LIBOR,7.25%,,2023-09-25,6279,6240,6279,,6240,,,CSWC,2021-11-02
Lift Brands Inc,co_8a09c8879dfe,First Lien,Hotels & Leisure,,,LIBOR,7.5%,,2025-06-29,2521,2521,2370,,2521,,,CSWC,2021-11-02
Lift Brands Inc,co_8a09c8879dfe,Subordinated Debt,Hotels & Leisure,,9.50%,N/A,,,2025-06-29,531,531,424,,531,,,CSWC,2021-11-02
Lift Brands Inc,co_8a09c8879dfe,Other Debt,Hotels & Leisure,,,N/A,,,2025-06-29,565,565,452,,565,,,CSWC,2021-11-02
Lift Brands Inc,co_8a09c8879dfe,Other Debt,Hotels & Leisure,,,LIBOR,7.50%,,2025-06-29,2515,2515,2364,,2515,,,CSWC,2021-11-02
Lift Brands Inc,co_8a09c8879dfe,Other Debt,Hotels & Leisure,,9.50%,N/A,,,2025-06-29,556,556,445,,556,,,CSWC,2021-11-02
Lift Brands Inc,co_8a09c8879dfe,Common Equity,Hotels & Leisure,,,N/A,,,,,,749,,,749,,CSWC,2021-11-02
Lightbox Intermediate LP,co_fc2524f2a361,First Lien,Software,,,LIBOR,5.00%,,2026-05-09,3453,3418,3419,,3418,,,CSWC,2021-11-02
Lightbox Intermediate LP,co_fc2524f2a361,First Lien,Software,,,LIBOR,5.00%,,2026-05-09,4973,,,,,,,CSWC,2021-11-02
LOGIX Holdings Company LLC,co_d5e6d74a35eb,First Lien,Telecommunications,,,LIBOR,5.75%,,2024-12-23,5890,5863,5683,,5863,,,CSWC,2021-11-02
Lulu's Fashion Lounge LLC,co_58954c7b5071,First Lien,Consumer Products,,2.50%,LIBOR,7.00%,,2022-08-26,3686,3633,3152,,3633,,,CSWC,2021-11-02
Mills Fleet Farm Group LLC,co_3f6dd1a93595,First Lien,Consumer Products,,,LIBOR,6.00%,,2024-10-24,4625,4570,4533,,4570,,,CSWC,2021-11-02
TestEquity LLC,co_578465f78d32,First Lien,Manufacturing,,,LIBOR,6.25%,,2022-04-28,3815,3810,3510,,3810,,,CSWC,2021-11-02
TestEquity LLC,co_578465f78d32,First Lien,Manufacturing,,,LIBOR,6.25%,,2022-04-28,944,943,869,,943,,,CSWC,2021-11-02
Time Manufacturing Acquisition,co_26accc7dbac2,First Lien,Manufacturing,,,LIBOR,5.00%,,2023-02-03,5701,5689,5722,,5689,,,CSWC,2021-11-02
Time Manufacturing Acquisition,co_26accc7dbac2,First Lien,Manufacturing,5.00%,,LIBOR,5.00%,,2023-02-03,5802,5785,5824,,5785,,,CSWC,2021-11-02
UniTek Global Services Inc,co_7d06cacfaae2,First Lien,Telecommunications,,2.00%,LIBOR,5.50%,,2024-08-20,2786,2772,2596,,2772,,,CSWC,2021-11-02
U.S. TelePacific Corp,co_93defcb80619,First Lien,Telecommunications,,,LIBOR,5.50%,,2023-05-02,5200,5179,4336,,5179,,,CSWC,2021-11-02
Vida Capital Inc,co_395256597a19,First Lien,Financial Services,,,LIBOR,6.00%,,2026-10-01,3695,3655,3409,,3655,,,CSWC,2021-11-02
Wahoo Fitness Acquisition LLC,co_58d544531211,First Lien,Consumer Products,,,LIBOR,5.75%,,2028-08-14,5000,4853,4925,,4853,,,CSWC,2021-11-02
YS Garments LLC,co_704a49d43caf,First Lien,Consumer Products,,,LIBOR,6.00%,,2024-08-09,4345,4324,4193,,4324,,,CSWC,2021-11-02
TGP Holdings III,co_cbde214f72c5,Second Lien,Consumer Products,8.50%,,LIBOR,8.50%,,2025-09-25,2500,2479,2483,,2479,,,CSWC,2021-11-02
UniTek Global Services,co_7d06cacfaae2,First Lien,Telecommunications,5.50%,1.00%,LIBOR,5.50%,,2024-08-20,2736,2721,2480,,2721,,,CSWC,2021-11-02
U.S. TelePacific,co_93defcb80619,First Lien,Telecommunications,5.50%,,LIBOR,5.50%,,2023-05-02,5200,5172,4829,,5172,,,CSWC,2021-11-02
Vida Capital,co_395256597a19,First Lien,Financial Services,6.00%,,LIBOR,6.00%,,2026-10-01,3805,3760,3672,,3760,,,CSWC,2021-11-02
YS Garments,co_704a49d43caf,First Lien,Consumer Products,6.00%,,LIBOR,6.00%,,2024-08-09,4634,4608,4287,,4608,,,CSWC,2021-11-02
DELPHI BEHAVIORAL HEALTH GROUP LLC,co_4318aa0710ff,Common Equity,Healthcare Services,,,N/A,N/A,2020-04-08,,,3615,3426,,3615,,,CSWC,2021-11-02
Integro Parent Inc,co_45c1de58d72e,First Lien,Business Services,,,LIBOR,5.75%,,2022-10-28,3229,3212,3173,,3212,,,CSWC,2021-11-02
Intermedia Holdings Inc,co_203f35f0f4ca,First Lien,Software,,,LIBOR,6.00%,,2025-07-21,5706,5685,5710,,5685,,,CSWC,2021-11-02
Inventus Power Inc,co_5ea70dbaca4c,First Lien,Technology Hardware,,,LIBOR,5.00%,,2024-03-29,6965,6907,6895,,6907,,,CSWC,2021-11-02
INW Manufacturing LLC,co_bde008c272e0,First Lien,Food & Beverage,,,LIBOR,5.75%,,2027-03-25,2963,2898,2903,,2898,,,CSWC,2021-11-02
AAC NEW HOLDCO INC,co_695a4d6ca642,First Lien,Healthcare Services,10.00%,8.00%,N/A,,2020-12-11,2025-06-25,7981,7981,7941,,7981,,,CSWC,2021-11-02
CAPITAL PAWN HOLDINGS LLC,co_f12d6cb8cf01,First Lien,Consumer Products,8.25%,,LIBOR (Q),7.25%,2017-12-21,2023-07-08,8854,8840,8854,,8840,,,CSWC,2021-11-02
CHEMISTRY RX HOLDINGS LLC,co_c613d817a18b,First Lien,Chemicals,8.00%,,LIBOR (Q),7.00%,2021-03-15,2026-03-13,8000,7841,7841,,7841,,,CSWC,2021-11-02
CITYVET INC,co_c3c2b2e8c1ff,Delayed Draw,Healthcare Services,8.50%,,LIBOR (Q),7.50%,2021-03-05,2026-03-05,3250,3053,3053,,3053,,,CSWC,2021-11-02
CITYVET INC,co_c3c2b2e8c1ff,Common Equity,Healthcare Services,,,,2021-03-05,,,500,500,,,,,,CSWC,2021-11-02
Sonobi Inc,co_c9d0753251d9,Common Equity,,,,,,,,,1939,,,,,,CSWC,2021-11-02
I-45 SLF,co_73a492b65c86,Partnership Interest,Investment Vehicles,,,N/A,,2015-10-20,,0,76000,59638,15.6,76000,,,CSWC,2021-11-02
I-45 SLF,co_73a492b65c86,Partnership Interest,Investment Vehicles,,,N/A,,2015-10-20,,0,72800,57158,17.0,72800,,,CSWC,2021-11-02
