company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
ASC ORTHO MANAGEMENT COMPANY LLC,co_7e4c3a264a16,First Lien,Healthcare Services,8.50%,,LIBOR (Q),7.50%,2018-08-31,2023-08-31,8854,8756,8322,,8756,,,CSWC,2021-11-02
AMERICAN TELECONFERENCING SERVICES LTD,co_0f5d01359ad7,Second Lien,Telecommunications,0.5%,10.00%,LIBOR (Q),9.00%,2016-11-03,2024-06-06,2341,2317,55,,2317,,,CSWC,2021-11-02
ASC ORTHO MANAGEMENT COMPANY LLC,co_7e4c3a264a16,Second Lien,Healthcare Services,,13.25%,N/A,,2018-08-31,2023-12-01,4237,4191,3822,,4191,,,CSWC,2021-11-02
ASC ORTHO MANAGEMENT COMPANY LLC,co_7e4c3a264a16,Common Equity,Healthcare Services,,,N/A,,2018-08-31,,,750,356,,750,,,CSWC,2021-11-02
BINSWANGER HOLDING CORP,co_ff6abecaa0a8,First Lien,Business Services,9.50%,,LIBOR (M),8.50%,2017-03-09,2022-03-09,10942,10890,10942,,10890,,,CSWC,2021-11-02
ZENFOLIO INC.,co_1eb3d6138814,Revolver,Business Services,10.00%,,LIBOR (Q),9.00%,2017-07-17,2023-07-17,2000,1992,1820,,1992,,,CSWC,2021-11-02
ZENFOLIO INC.,co_1eb3d6138814,First Lien,Business Services,10.00%,,LIBOR (Q),9.00%,2017-07-17,2023-07-17,14888,14722,13548,,14722,,,CSWC,2021-11-02
CENTRAL MEDICAL SUPPLY LLC,co_c72e8c603730,First Lien,Healthcare Services,10.75%,,LIBOR (Q),9.00%,2020-05-22,2025-05-22,7500,7371,6908,,7371,,,CSWC,2021-11-02
CENTRAL MEDICAL SUPPLY LLC,co_c72e8c603730,First Lien,Healthcare Services,10.75%,,LIBOR (Q),9.00%,2020-05-22,2025-05-22,7500,7384,6908,,7384,,,CSWC,2021-11-02
CENTRAL MEDICAL SUPPLY LLC,co_c72e8c603730,Delayed Draw,Healthcare Services,10.75%,,LIBOR (Q),9.00%,2020-05-22,2025-05-22,100,75,92,,75,,,CSWC,2021-11-02
CENTRAL MEDICAL SUPPLY LLC,co_c72e8c603730,Delayed Draw,Healthcare Services,10.75%,,LIBOR (Q),9.00%,2020-05-22,2025-05-22,100,78,92,,78,,,CSWC,2021-11-02
CENTRAL MEDICAL SUPPLY LLC,co_c72e8c603730,Preferred Equity,Healthcare Services,,,N/A,N/A,2020-05-22,,,976,249,,976,,,CSWC,2021-11-02
CHANDLER SIGNS LLC,co_5e37f3dd665b,Common Equity,Business Services,,,N/A,N/A,2016-01-04,,,1500,1231,,1500,,,CSWC,2021-11-02
DELPHI BEHAVIORAL HEALTH GROUP LLC,co_4318aa0710ff,First Lien,Healthcare Services,10.50%,,LIBOR (M),9.50%,2020-04-08,2023-04-07,1414,1414,1398,,1414,,,CSWC,2021-11-02
DELPHI BEHAVIORAL HEALTH GROUP LLC,co_4318aa0710ff,First Lien,Healthcare Services,8.50%,,LIBOR (M),7.50%,2020-04-08,2023-04-07,1580,1580,1500,,1580,,,CSWC,2021-11-02
DELPHI BEHAVIORAL HEALTH GROUP LLC,co_4318aa0710ff,First Lien,Healthcare Services,,12.00%,LIBOR (S),11.00%,2020-04-08,2023-04-07,1457,1457,1406,,1457,,,CSWC,2021-11-02
DELPHI BEHAVIORAL HEALTH GROUP LLC,co_4318aa0710ff,First Lien,Healthcare Services,,10.00%,LIBOR (Q),9.00%,2020-04-08,2023-04-07,1648,1648,1500,,1648,,,CSWC,2021-11-02
