company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
AAC Holdings Inc.,co_b45cd70f8d3c,Common Equity,Financial Services,,,,,,,,,3148,0,,3148,,,,593927,,MSIF,2023-05-12
AAC Holdings Inc.,co_b45cd70f8d3c,Warrants,Financial Services,,,,,,,,,0,0,,0,,,,197717,,MSIF,2023-05-12
AB Centers Acquisition Corp.,co_2fbcb7a91c6a,First Lien,Financial Services,13%,,SOFR,5%,,,,43,39,43,,39,,,,,,MSIF,2023-05-12
AB Centers Acquisition Corp.,co_2fbcb7a91c6a,First Lien,Financial Services,10.8%,,SOFR,6%,,,,259,251,258,,251,,,,,,MSIF,2023-05-12
AB Centers Acquisition Corp.,co_2fbcb7a91c6a,First Lien,Financial Services,10.79%,,SOFR,6%,,,,2063,2011,2063,,2011,,,,,,MSIF,2023-05-12
Acumera Inc.,co_d0ec72dd21ab,First Lien,Financial Services,14.13%,,SOFR,9.5%,,,,4616,4517,4616,,4517,,,,,,MSIF,2023-05-12
Acumera Inc.,co_d0ec72dd21ab,First Lien,Financial Services,14.13%,,SOFR,9.5%,,,,230,224,230,,224,,,,,,MSIF,2023-05-12
Acumera Inc.,co_d0ec72dd21ab,First Lien,Financial Services,14.13%,,SOFR,9.5%,,,,1379,1350,1379,,1350,,,,,,MSIF,2023-05-12
Acumera Inc.,co_d0ec72dd21ab,Warrants,Financial Services,,,,,,,,,0,0,,0,,,,6703,,MSIF,2023-05-12
Adams Publishing Group LLC,co_7a0242413d2d,First Lien,Media & Entertainment,10%,,SOFR,6.5%,,,,894,894,857,,894,,,,,,MSIF,2023-05-12
Adams Publishing Group LLC,co_7a0242413d2d,First Lien,Media & Entertainment,10%,,SOFR,7.5%,,,,2749,2743,2749,,2743,,,,,,MSIF,2023-05-12
ADS Tactical Inc.,co_c1747580e7a9,First Lien,Aerospace & Defense,10.59%,,SOFR,5.75%,,,,9000,8883,8370,,8883,,,,,,MSIF,2023-05-12
AMEREQUIP LLC.,co_be3a2f52a0fd,First Lien,Other,,,SOFR,7.4%,,,,0,0,0,,0,,,,,,MSIF,2023-05-12
AMEREQUIP LLC.,co_be3a2f52a0fd,First Lien,Other,12.1%,,SOFR,7.4%,,,,2021,2021,2021,,2021,,,,,,MSIF,2023-05-12
AMEREQUIP LLC.,co_be3a2f52a0fd,Common Equity,Other,,,,,,,,,83,90,,83,,,,11,,MSIF,2023-05-12
American Health Staffing Group Inc.,co_5e460d0e632a,First Lien,Business Services,,,SOFR,6%,,,,0,-12,-12,,-12,,,,,,MSIF,2023-05-12
American Health Staffing Group Inc.,co_5e460d0e632a,First Lien,Business Services,11.12%,,SOFR,6%,,,,8250,8190,8250,,8190,,,,,,MSIF,2023-05-12
American Nuts LLC,co_5515765a8900,First Lien,Financial Services,12.49%,1%,SOFR,6.75%,,,,4228,4199,3624,,4199,,,,,,MSIF,2023-05-12
American Nuts LLC,co_5515765a8900,First Lien,Financial Services,14.49%,1%,SOFR,8.75%,,,,4228,4199,3614,,4199,,,,,,MSIF,2023-05-12
American Teleconferencing Services Ltd.,co_6956ecaeed2e,First Lien,Business Services,7.5%,,SOFR,6.5%,,,,2425,2375,124,,2375,,,,,,MSIF,2023-05-12
American Teleconferencing Services Ltd.,co_6956ecaeed2e,First Lien,Business Services,7.5%,,SOFR,6.5%,,,,11693,11451,599,,11451,,,,,,MSIF,2023-05-12
ArborWorks LLC,co_abd3c1aadac0,First Lien,Environmental Services,14.83%,3%,SOFR,7%,,,,2484,2431,2001,,2431,,,,,,MSIF,2023-05-12
ArborWorks LLC,co_abd3c1aadac0,First Lien,Environmental Services,14.83%,3%,SOFR,7%,,,,15665,15436,12617,,15436,,,,,,MSIF,2023-05-12
ArborWorks LLC,co_abd3c1aadac0,Common Equity,Environmental Services,,,,,,,,,124,0,,124,,,,124,,MSIF,2023-05-12
