company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Oak Purchaser Inc.,First Lien,,10.97%,,SOFR,5.5%,,,,2792,2769,-25,0.18%,2769,1031,,,,,MSDL,2023-11-02
Oak Purchaser Inc.,First Lien,,10.97%,,SOFR,5.5%,,,,830,816,-9,0.05%,816,372,,,,,MSDL,2023-11-02
Oak Purchaser Inc.,First Lien,,10.97%,,SOFR,5.5%,,,,0,-3,-9,0%,-3,,,,,,MSDL,2023-11-02
Pound Bidco Inc.,First Lien,,11.93%,,SOFR,6.5%,,,,6395,6329,6395,0.43%,6329,,,,,,MSDL,2023-11-02
Pound Bidco Inc.,First Lien,,11.93%,,SOFR,6.5%,,,,0,-11,0,0%,-11,,,,,,MSDL,2023-11-02
Project Leopard Holdings Inc.,First Lien,,10.72%,,SOFR,5.25%,,,,6233,5852,5485,0.37%,5852,,,,,,MSDL,2023-11-02
Prophix Software Inc.,First Lien,Software & Technology,11.93%,,SOFR,6.5%,,,,2617,2585,2617,0.18%,2585,,,,,,MSDL,2023-11-02
Prophix Software Inc.,First Lien,Software & Technology,11.93%,,SOFR,6.5%,,,,0,0,0,0%,0,,,,,,MSDL,2023-11-02
Revalize Inc.,First Lien,,11.3%,,SOFR,5.75%,,,,19505,19418,19026,1.28%,19418,,,,,,MSDL,2023-11-02
Revalize Inc.,First Lien,,11.3%,,SOFR,5.75%,,,,9,8,7,0%,8,,,,,,MSDL,2023-11-02
Riskonnect Parent LLC,First Lien,,11.04%,,SOFR,5.5%,,,,520,512,517,0.03%,512,,,,,,MSDL,2023-11-02
Riskonnect Parent LLC,First Lien,,11.04%,,SOFR,5.5%,,,,0,-5,-3,0%,-5,,,,,,MSDL,2023-11-02
Securonix Inc.,First Lien,,11.27%,,SOFR,6.5%,,,,21010,20715,20390,1.38%,20715,,,,,,MSDL,2023-11-02
Securonix Inc.,First Lien,,11.27%,,SOFR,6.5%,,,,0,-50,-112,-0.01%,-50,,,,,,MSDL,2023-11-02
Skykick Inc.,First Lien,,12.84%,,SOFR,7.25%,,,,6300,6187,5872,0.4%,6187,,,,,,MSDL,2023-11-02
Skykick Inc.,First Lien,,12.84%,,SOFR,7.25%,,,,2415,2369,2251,0.15%,2369,,,,,,MSDL,2023-11-02
Trunk Acquisition Inc.,First Lien,,11.29%,,SOFR,5.75%,,,,8983,8919,8786,0.59%,8919,,,,,,MSDL,2023-11-02
Trunk Acquisition Inc.,First Lien,,11.29%,,SOFR,5.75%,,,,0,-5,-19,0%,-5,,,,,,MSDL,2023-11-02
User Zoom Technologies Inc.,First Lien,,11.92%,,SOFR,7%,,,,38689,38028,38078,2.57%,38028,,,,,,MSDL,2023-11-02
Omni Intermediate Holdings LLC,First Lien,Media & Entertainment,14.4%,,SOFR,9%,,,,4500,4388,4500,0.3%,4388,,,,,,MSDL,2023-11-02
PAI Holdco Inc.,First Lien,,13.02%,2%,SOFR,7.5%,,,,26430,25898,25074,1.69%,25898,,,,,,MSDL,2023-11-02
Infinite Bidco LLC,First Lien,,12.43%,,SOFR,7%,,,,25500,25444,22121,1.49%,25444,,,,,,MSDL,2023-11-02
QBS Parent Inc.,First Lien,,13.92%,,SOFR,8.5%,,,,15000,14841,14343,0.97%,14841,,,,,,MSDL,2023-11-02
Heartland Veterinary Partners LLC,First Lien,Healthcare,13.42%,,SOFR,8%,,,,3960,3900,3869,0.26%,3900,,,,,,MSDL,2023-11-02
Heartland Veterinary Partners LLC,First Lien,Healthcare,13.42%,,SOFR,8%,,,,1540,1515,1505,0.1%,1515,,,,,,MSDL,2023-11-02
Aptean Inc.,First Lien,,12.42%,,SOFR,7%,,,,5950,5950,5533,0.37%,5950,,,,,,MSDL,2023-11-02
Help/Systems Holdings Inc.,First Lien,,12.35%,,SOFR,6.75%,,,,17500,17500,15050,1.02%,17500,,,,,,MSDL,2023-11-02
Idera Inc.,First Lien,,12.27%,,SOFR,6.75%,,,,3887,3865,3887,0.26%,3865,,,,,,MSDL,2023-11-02
Red Dawn SEI Buyer Inc.,First Lien,,13.99%,,SOFR,8.5%,,,,19000,18707,18867,1.27%,18707,,,,,,MSDL,2023-11-02
Flexera Software LLC,First Lien,Software & Technology,12.43%,,SOFR,7%,,,,13500,13296,13469,0.91%,13296,,,,,,MSDL,2023-11-02
Matrix Parent Inc.,First Lien,,13.56%,,SOFR,8%,,,,,10505,6494,0.44%,10505,,,,,,MSDL,2023-11-02
Familia Intermediate Holdings I Corp.,First Lien,Media & Entertainment,,16.25%,,,,,,1500,1500,125,0.01%,1500,,,,,,MSDL,2023-11-02
Fetch Insurance Services LLC,First Lien,Insurance,,3.75%,SOFR,12.75%,,,,1935,1886,1877,0.13%,1886,,,,,,MSDL,2023-11-02
Diligent Corp.,First Lien,,,,SOFR,10.5%,,,,5,6329,-11,0.43%,6329,2655,,,,,MSDL,2023-11-02
FORTIS Solutions Group LLC,First Lien,,,,SOFR,12.25%,,,,1000,1143,970,0.07%,1143,,,,,,MSDL,2023-11-02
Integrity Marketing Acquisition LLC,First Lien,Business Services,,,SOFR,10.5%,,,,3250,3851,3835,0.26%,3851,,,,,,MSDL,2023-11-02
Knockout Intermediate Holdings I Inc.,First Lien,Media & Entertainment,,,SOFR,11.75%,,,,3,3073,3147,0.21%,3073,,,,,,MSDL,2023-11-02
Revalize Inc.,First Lien,,,,SOFR,10%,,,,2,2569,-2,0.18%,2569,62,,,,,MSDL,2023-11-02
RSK Holdings Inc.,First Lien,,,,SOFR,10.5%,,,,1012,1137,1174,0.08%,1137,,,,,,MSDL,2023-11-02
Skykick Inc.,First Lien,,,,,,,,,134,1275,1275,0.09%,1275,,,,,,MSDL,2023-11-02
Abacus Data Holdings Inc.,First Lien,,,,,,,,,29,2944,2733,0.18%,2944,,,,,,MSDL,2023-11-02
Amerilife Holdings LLC,First Lien,,,,,,,,,1,25,33,0%,25,,,,,,MSDL,2023-11-02
BP Purchaser LLC,Common Equity,,,,,,,,,1383,1378,1529,0.1%,1378,,,,,,MSDL,2023-11-02
CSC Thrive Holdings LP,First Lien,,,,,,,,,162,421,766,0.05%,421,,,,,,MSDL,2023-11-02
Encore Holdings LLC,First Lien,,,,,,,,,3,348,660,0.04%,348,,,,,,MSDL,2023-11-02
Frisbee Holdings LP,First Lien,,,,,,,,,22,277,277,0.02%,277,,,,,,MSDL,2023-11-02
GSM Equity Investors LP,First Lien,,,,,,,,,4,450,665,0.04%,450,,,,,,MSDL,2023-11-02
Help HP SCF Investor LP,First Lien,,,,,,,,,9620,12460,14705,0.99%,12460,,,,,,MSDL,2023-11-02
LUV Car Wash,First Lien,Automotive,,,,,,,,0,123,88,0.01%,123,,,,,,MSDL,2023-11-02
mPulse Mobile Inc.,First Lien,,,,,,,,,166,1220,1147,0.08%,1220,,,,,,MSDL,2023-11-02
PCX Holding Corp.,First Lien,,,,,,,,,7,654,-9,0.05%,654,987,,,,,MSDL,2023-11-02
Pet Holdings Inc.,First Lien,Consumer & Retail,,,,,,,,18,2013,1718,0.12%,2013,,,,,,MSDL,2023-11-02
Pritchard Industries Inc.,First Lien,,,,,,,,,1700,1700,1734,0.12%,1700,,,,,,MSDL,2023-11-02
Procure Acquiom Financial LLC,First Lien,Financial Services,,,,,,,,1000,1000,1240,0.08%,1000,,,,,,MSDL,2023-11-02
Recovery Point Systems Inc.,First Lien,,,,,,,,,1000,1000,0,0.07%,1000,4000,,,,,MSDL,2023-11-02
Reveal Data Solutions,First Lien,,,,,,,,,478,621,621,0.04%,621,,,,,,MSDL,2023-11-02
Shelby Co-invest LP.,First Lien,,,,,,,,,8,850,1346,0.09%,850,,,,,,MSDL,2023-11-02
Surewerx Topco LP,First Lien,,,,,,,,,1,512,553,0.04%,512,,,,,,MSDL,2023-11-02
Suveto Buyer LLC,First Lien,,,,,,,,,19,1926,1796,0.12%,1926,,,,,,MSDL,2023-11-02
One,Other,,,,,,1%,,,,,,,,,,,,,MSDL,2023-11-02
Two,Other,,,,,,0.75%,,,,,,,,,,,,,MSDL,2023-11-02
Three,Other,,,,,,0.5%,,,,,,,,,,,,,MSDL,2023-11-02
365 Retail Market LLC,Other,Consumer & Retail,,,,,,,,,,0,,,2800000,,,,,MSDL,2023-11-02
