ticker,filing_date,period_end,balance_check_ok,balance_check_delta,shares_outstanding,share_change_pct,abrupt_share_change_flag
RAND,2023-05-09,2023-05-09,True,-1370023.000000,,,False
RAND,2023-08-04,2023-08-04,True,0.000000,,,False
RAND,2023-11-06,2023-11-06,True,-49751.000000,,,False
RAND,2024-03-05,2024-03-05,True,0.000000,,,False
RAND,2024-05-13,2024-05-13,True,0.000000,,,False
RAND,2024-08-06,2024-08-06,True,0.000000,,,False
RAND,2024-11-06,2024-11-06,False,-9631423.000000,,,False
RAND,2025-03-10,2025-03-10,False,-4517307.000000,,,False
RAND,2025-05-05,2025-05-05,True,0.000000,,,False
RAND,2025-08-04,2025-08-04,False,-3226096.000000,,,False
RAND,2025-11-07,2025-11-07,False,-5114116.000000,,,False
RAND,2026-03-05,2026-03-05,True,0.000000,,,False
