ticker,filing_date,period_end,balance_check_ok,balance_check_delta,shares_outstanding,share_change_pct,abrupt_share_change_flag
PSBD,2022-11-10,2022-11-10,True,0.000000,,,False
PSBD,2023-03-10,2023-03-10,True,0.000000,,,False
PSBD,2023-05-11,2023-05-11,False,-87948461.000000,,,False
PSBD,2023-08-10,2023-08-10,False,-66576733.000000,,,False
PSBD,2023-11-09,2023-11-09,True,-22003923.000000,,,False
PSBD,2024-02-28,2024-02-28,False,-34150221.000000,,,False
PSBD,2024-05-07,2024-05-07,True,0.000000,,,False
PSBD,2024-08-08,2024-08-08,True,-9746933.000000,,,False
PSBD,2024-11-05,2024-11-05,True,-6853076.000000,,,False
PSBD,2025-02-27,2025-02-27,True,0.000000,,,False
PSBD,2025-05-07,2025-05-07,True,-20692195.000000,,,False
PSBD,2025-08-06,2025-08-06,True,-20692195.000000,,,False
PSBD,2025-11-05,2025-11-05,True,-10945262.000000,,,False
PSBD,2026-02-26,2026-02-26,True,0.000000,,,False
