ticker,filing_date,statement_label,statement_type,line_item,concept,value,context_key,start_date,end_date,instant_date,duration_days,level,is_abstract,preferred_label,order_index,metric_key
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeInterest,InvestmentIncomeInterest,28855000,P04_01_2022To06_30_2022_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeInterest,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeInterest,InvestmentIncomeInterest,22483000,P04_01_2021To06_30_2021_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeInterest,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeInterest,InvestmentIncomeInterest,49517000,P01_01_2022To06_30_2022_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeInterest,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeInterest,InvestmentIncomeInterest,43315000,P01_01_2021To06_30_2021_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeInterest,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeInterest,InvestmentIncomeInterest,1922000,P04_01_2022To06_30_2022_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeInterest,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeInterest,InvestmentIncomeInterest,2886000,P04_01_2021To06_30_2021_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeInterest,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeInterest,InvestmentIncomeInterest,4483000,P01_01_2022To06_30_2022_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeInterest,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeInterest,InvestmentIncomeInterest,5771000,P01_01_2021To06_30_2021_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeInterest,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeDividend,InvestmentIncomeDividend,0,P04_01_2022To06_30_2022_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeDividend,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeDividend,InvestmentIncomeDividend,0,P04_01_2021To06_30_2021_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeDividend,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeDividend,InvestmentIncomeDividend,0,P01_01_2022To06_30_2022_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeDividend,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeDividend,InvestmentIncomeDividend,133000,P01_01_2021To06_30_2021_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeDividend,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeDividend,InvestmentIncomeDividend,11083000,P04_01_2022To06_30_2022_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeDividend,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeDividend,InvestmentIncomeDividend,9832000,P04_01_2021To06_30_2021_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeDividend,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeDividend,InvestmentIncomeDividend,20798000,P01_01_2022To06_30_2022_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeDividend,,
SLRC,2022-08-02,income_statement,income_statement,InvestmentIncomeDividend,InvestmentIncomeDividend,19407000,P01_01_2021To06_30_2021_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,InvestmentIncomeDividend,,
SLRC,2022-08-02,income_statement,income_statement,NoninterestIncome,NoninterestIncome,925000,P04_01_2022To06_30_2022_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,NoninterestIncome,,
SLRC,2022-08-02,income_statement,income_statement,NoninterestIncome,NoninterestIncome,356000,P04_01_2021To06_30_2021_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,NoninterestIncome,,
SLRC,2022-08-02,income_statement,income_statement,NoninterestIncome,NoninterestIncome,988000,P01_01_2022To06_30_2022_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,NoninterestIncome,,
SLRC,2022-08-02,income_statement,income_statement,NoninterestIncome,NoninterestIncome,2818000,P01_01_2021To06_30_2021_CompaniesLessThanFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,NoninterestIncome,,
SLRC,2022-08-02,income_statement,income_statement,NoninterestIncome,NoninterestIncome,-5000,P04_01_2022To06_30_2022_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,NoninterestIncome,,
SLRC,2022-08-02,income_statement,income_statement,NoninterestIncome,NoninterestIncome,15000,P04_01_2021To06_30_2021_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,NoninterestIncome,,
SLRC,2022-08-02,income_statement,income_statement,NoninterestIncome,NoninterestIncome,0,P01_01_2022To06_30_2022_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,NoninterestIncome,,
SLRC,2022-08-02,income_statement,income_statement,NoninterestIncome,NoninterestIncome,15000,P01_01_2021To06_30_2021_CompaniesMoreThanTwentyFivePercentageOwnedMemberSLRCInvestmentHoldingsAxis,,,,,,False,NoninterestIncome,,
SLRC,2022-08-02,income_statement,income_statement,GrossInvestmentIncomeOperating,GrossInvestmentIncomeOperating,42780000,P04_01_2022To06_30_2022,,,,,,False,GrossInvestmentIncomeOperating,,
SLRC,2022-08-02,income_statement,income_statement,GrossInvestmentIncomeOperating,GrossInvestmentIncomeOperating,35572000,P04_01_2021To06_30_2021,,,,,,False,GrossInvestmentIncomeOperating,,
SLRC,2022-08-02,income_statement,income_statement,GrossInvestmentIncomeOperating,GrossInvestmentIncomeOperating,75786000,P01_01_2022To06_30_2022,,,,,,False,GrossInvestmentIncomeOperating,,
SLRC,2022-08-02,income_statement,income_statement,GrossInvestmentIncomeOperating,GrossInvestmentIncomeOperating,71459000,P01_01_2021To06_30_2021,,,,,,False,GrossInvestmentIncomeOperating,,
SLRC,2022-08-02,income_statement,income_statement,ManagementFeeExpense,ManagementFeeExpense,6913000,P04_01_2022To06_30_2022,,,,,,False,ManagementFeeExpense,,
SLRC,2022-08-02,income_statement,income_statement,ManagementFeeExpense,ManagementFeeExpense,6890000,P04_01_2021To06_30_2021,,,,,,False,ManagementFeeExpense,,
SLRC,2022-08-02,income_statement,income_statement,ManagementFeeExpense,ManagementFeeExpense,14129000,P01_01_2022To06_30_2022,,,,,,False,ManagementFeeExpense,,
SLRC,2022-08-02,income_statement,income_statement,ManagementFeeExpense,ManagementFeeExpense,13700000,P01_01_2021To06_30_2021,,,,,,False,ManagementFeeExpense,,
SLRC,2022-08-02,income_statement,income_statement,LaborAndRelatedExpense,LaborAndRelatedExpense,4734000,P04_01_2022To06_30_2022,,,,,,False,LaborAndRelatedExpense,,
SLRC,2022-08-02,income_statement,income_statement,LaborAndRelatedExpense,LaborAndRelatedExpense,3879000,P04_01_2021To06_30_2021,,,,,,False,LaborAndRelatedExpense,,
SLRC,2022-08-02,income_statement,income_statement,LaborAndRelatedExpense,LaborAndRelatedExpense,4734000,P01_01_2022To06_30_2022,,,,,,False,LaborAndRelatedExpense,,
SLRC,2022-08-02,income_statement,income_statement,LaborAndRelatedExpense,LaborAndRelatedExpense,7746000,P01_01_2021To06_30_2021,,,,,,False,LaborAndRelatedExpense,,
SLRC,2022-08-02,income_statement,income_statement,InterestAndOtherCreditFacilityExpenses,InterestAndOtherCreditFacilityExpenses,10352000,P04_01_2022To06_30_2022,,,,,,False,InterestAndOtherCreditFacilityExpenses,,
SLRC,2022-08-02,income_statement,income_statement,InterestAndOtherCreditFacilityExpenses,InterestAndOtherCreditFacilityExpenses,7146000,P04_01_2021To06_30_2021,,,,,,False,InterestAndOtherCreditFacilityExpenses,,
SLRC,2022-08-02,income_statement,income_statement,InterestAndOtherCreditFacilityExpenses,InterestAndOtherCreditFacilityExpenses,18680000,P01_01_2022To06_30_2022,,,,,,False,InterestAndOtherCreditFacilityExpenses,,
SLRC,2022-08-02,income_statement,income_statement,InterestAndOtherCreditFacilityExpenses,InterestAndOtherCreditFacilityExpenses,14375000,P01_01_2021To06_30_2021,,,,,,False,InterestAndOtherCreditFacilityExpenses,,
SLRC,2022-08-02,income_statement,income_statement,AdministrativeFeesExpense,AdministrativeFeesExpense,1369000,P04_01_2022To06_30_2022,,,,,,False,AdministrativeFeesExpense,,
SLRC,2022-08-02,income_statement,income_statement,AdministrativeFeesExpense,AdministrativeFeesExpense,1375000,P04_01_2021To06_30_2021,,,,,,False,AdministrativeFeesExpense,,
SLRC,2022-08-02,income_statement,income_statement,AdministrativeFeesExpense,AdministrativeFeesExpense,2552000,P01_01_2022To06_30_2022,,,,,,False,AdministrativeFeesExpense,,
SLRC,2022-08-02,income_statement,income_statement,AdministrativeFeesExpense,AdministrativeFeesExpense,2735000,P01_01_2021To06_30_2021,,,,,,False,AdministrativeFeesExpense,,
SLRC,2022-08-02,income_statement,income_statement,OtherGeneralAndAdministrativeExpense,OtherGeneralAndAdministrativeExpense,476000,P04_01_2022To06_30_2022,,,,,,False,OtherGeneralAndAdministrativeExpense,,
