ticker,filing_date,period_end,balance_check_ok,balance_check_delta,shares_outstanding,share_change_pct,abrupt_share_change_flag
CGBD,2022-11-08,2022-11-08,False,-145785000.000000,,,False
CGBD,2023-02-27,2023-02-27,False,-191815000.000000,,,False
CGBD,2023-05-09,2023-05-09,False,-134234000.000000,,,False
CGBD,2023-08-08,2023-08-08,False,-135004000.000000,,,False
CGBD,2023-11-07,2023-11-07,False,-135004000.000000,,,False
CGBD,2024-02-26,2024-02-26,False,-164013000.000000,,,False
CGBD,2024-05-07,2024-05-07,False,-109412000.000000,,,False
CGBD,2024-08-05,2024-08-05,False,-109412000.000000,,,False
CGBD,2024-11-05,2024-11-05,False,-109412000.000000,,,False
CGBD,2025-02-25,2025-02-25,False,-139615000.000000,,,False
CGBD,2025-05-06,2025-05-06,False,-168587000.000000,,,False
CGBD,2025-08-05,2025-08-05,False,-183118000.000000,,,False
CGBD,2025-11-04,2025-11-04,False,-188376000.000000,,,False
CGBD,2026-02-24,2026-02-24,False,-196610000.000000,,,False
