company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Ceribell Inc,co_40570fdccc1e,First Lien,Medical Devices & Equipment,10.00%,,Prime,2.75%,,2029-03-01,4000,3960,3960,,,,,HRZN,2025-10-28
Conventus Orthopaedics Inc,co_70dc7217b57a,First Lien,Medical Devices & Equipment,12.32%,,Prime,4.82%,,2025-07-01,3187,3168,3168,,3168,,,HRZN,2025-10-28
Conventus Orthopaedics Inc,co_70dc7217b57a,First Lien,Medical Devices & Equipment,13.57%,,Prime,6.32%,,2026-07-01,2801,2777,2777,,,,,HRZN,2025-10-28
Infobionic Inc,co_a7412a97fbe2,First Lien,Medical Devices & Equipment,12.25%,,Prime,4.50%,,2029-09-01,5000,4920,4920,,4920,,,HRZN,2025-10-28
Infobionic Inc,co_a7412a97fbe2,First Lien,Medical Devices & Equipment,12.00%,,Prime,4.50%,,2029-09-01,5000,4933,4933,,,,,HRZN,2025-10-28
Avalo Therapeutics Inc,co_85384df8ecf1,Warrants,Pharmaceuticals & Biotechnology,,,,,117,311,,311,,,,,,HRZN,2025-10-28
Avalo Therapeutics Inc,co_85384df8ecf1,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,149,311,,,311,,,HRZN,2025-10-28
Castle Creek Biosciences Inc,co_b6be5d459ecd,Warrants,Pharmaceuticals & Biotechnology,,,,,7404,214,270,,214,,,,,HRZN,2025-10-28
Castle Creek Biosciences Inc,co_b6be5d459ecd,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,13821,372,413,,372,,,HRZN,2025-10-28
Emalex Biosciences Inc,co_fdebd82a5035,Warrants,Pharmaceuticals & Biotechnology,,,,,110402,176,129,,176,,,,,HRZN,2025-10-28
Emalex Biosciences Inc,co_fdebd82a5035,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,110402,176,448,,176,,,HRZN,2025-10-28
Imunon Inc,co_0694d4bf94fa,Warrants,Pharmaceuticals & Biotechnology,,,,,19671,65,,65,,,,,,HRZN,2025-10-28
