company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Looking Glass Investments LLC,co_b7377e5ace46,Other Equity,Financial Services,,,,,,,,,125,25,,125,,,,3,,MAIN,2023-05-05
Mako Steel LP,co_900ac3a50ba4,First Lien,Industrials,12.3%,,SOFR,7.25%,,,,1825,1788,1808,,1788,,,,,,MAIN,2023-05-05
Mako Steel LP,co_900ac3a50ba4,First Lien,Industrials,12.3%,,SOFR,7.25%,,,,15245,15061,15102,,15061,,,,,,MAIN,2023-05-05
MB2 Dental Solutions LLC,co_bf420c857197,First Lien,Healthcare,10.72%,,SOFR,6%,,,,9259,9184,9259,,9184,,,,,,MAIN,2023-05-05
MB2 Dental Solutions LLC,co_bf420c857197,First Lien,Healthcare,10.72%,,SOFR,6%,,,,7856,7770,7856,,7770,,,,,,MAIN,2023-05-05
Microbe Formulas LLC,co_3ac7b373c6c5,First Lien,Other,,,SOFR,6.25%,,,,0,-60,-60,,-60,,,,,,MAIN,2023-05-05
Microbe Formulas LLC,co_3ac7b373c6c5,First Lien,Other,11.09%,,SOFR,6.25%,,,,25722,25294,24856,,25294,,,,,,MAIN,2023-05-05
Mills Fleet Farm Group LLC,co_3f6dd1a93595,First Lien,Transportation & Logistics,11.08%,,SOFR,6.25%,,,,18769,18590,18366,,18590,,,,,,MAIN,2023-05-05
MonitorUS Holding LLC,co_894c4cb1daf2,First Lien,Other,12.11%,,SOFR,7%,,,,1930,1869,1869,,1869,,,,,,MAIN,2023-05-05
MonitorUS Holding LLC,co_894c4cb1daf2,First Lien,Other,11.73%,,SOFR,7%,,,,10107,9933,10892,,9933,,,,,,MAIN,2023-05-05
MonitorUS Holding LLC,co_894c4cb1daf2,First Lien,Other,11.73%,,SOFR,7%,,,,17038,16763,17038,,16763,,,,,,MAIN,2023-05-05
MonitorUS Holding LLC,co_894c4cb1daf2,Common Equity,Other,,,,,,,,,889,889,,889,,,,44445814,,MAIN,2023-05-05
NBG Acquisition Inc.,co_77b3d9a82acb,First Lien,Other,10.71%,,SOFR,5.5%,,,,3849,3837,115,,3837,,,,,fair_value_suspicious_vs_size,MAIN,2023-05-05
NinjaTrader LLC,co_44d98fc636c2,First Lien,Other,,,SOFR,6.25%,,,,0,-1,0,,-1,,,,,,MAIN,2023-05-05
NinjaTrader LLC,co_44d98fc636c2,First Lien,Other,,,SOFR,6.25%,,,,0,-33,-33,,-33,,,,,,MAIN,2023-05-05
NinjaTrader LLC,co_44d98fc636c2,First Lien,Other,11%,,SOFR,6.25%,,,,21666,21449,21666,,21449,,,,,,MAIN,2023-05-05
NTM Acquisition Corp.,co_d2fa9ebd68f0,First Lien,Other,13.3%,1%,SOFR,7.25%,,,,4298,4298,4126,,4298,,,,,,MAIN,2023-05-05
NWN Corp.,co_d6bb890119d3,First Lien,Other,12.85%,,SOFR,8%,,,,4963,4829,4662,,4829,,,,,,MAIN,2023-05-05
NWN Corp.,co_d6bb890119d3,First Lien,Other,12.87%,,SOFR,8%,,,,39642,38945,37237,,38945,,,,,,MAIN,2023-05-05
NWN Corp.,co_d6bb890119d3,First Lien,Other,20%,20%,,,,,,6838,6545,6472,,6545,,,,,,MAIN,2023-05-05
Ospemifene Royalty Sub LLC,co_6aa2388ff67a,First Lien,Other,11.5%,,,,,,,4474,4474,88,,4474,,,,,fair_value_suspicious_vs_size,MAIN,2023-05-05
OVG Business Services LLC,co_5d44d62527b8,First Lien,Business Services,10.89%,,SOFR,6.25%,,,,13860,13748,13514,,13748,,,,,,MAIN,2023-05-05
Paragon Healthcare Inc.,co_34864bd1fa17,First Lien,Healthcare,10.7%,,SOFR,5.75%,,,,1082,984,1055,,984,,,,,,MAIN,2023-05-05
Paragon Healthcare Inc.,co_34864bd1fa17,First Lien,Healthcare,10.78%,,SOFR,5.75%,,,,3237,3150,3158,,3150,,,,,,MAIN,2023-05-05
Paragon Healthcare Inc.,co_34864bd1fa17,First Lien,Healthcare,10.48%,,SOFR,5.75%,,,,18739,18326,18281,,18326,,,,,,MAIN,2023-05-05
Project Eagle Holdings LLC,co_230c1cffc687,First Lien,Other,,,SOFR,6.25%,,,,0,-17,-17,,-17,,,,,,MAIN,2023-05-05
Project Eagle Holdings LLC,co_230c1cffc687,First Lien,Other,10.89%,,SOFR,6.25%,,,,29363,28960,28998,,28960,,,,,,MAIN,2023-05-05
PTL US Bidco Inc.,co_3c98df03f7bf,First Lien,Other,14.25%,,SOFR,6.25%,,,,1431,1266,1392,,1266,,,,,,MAIN,2023-05-05
PTL US Bidco Inc.,co_3c98df03f7bf,First Lien,Other,12.32%,,SOFR,7.25%,,,,28109,27620,27344,,27620,,,,,,MAIN,2023-05-05
RA Outdoors LLC,co_752677def022,First Lien,Other,11.47%,,SOFR,6.75%,,,,383,373,346,,373,,,,,,MAIN,2023-05-05
RA Outdoors LLC,co_752677def022,First Lien,Other,11.63%,,SOFR,6.75%,,,,13369,13251,12052,,13251,,,,,,MAIN,2023-05-05
Research Now Group Inc.,co_f56b9233964e,First Lien,Other,10.31%,,SOFR,5.5%,,,,19914,19721,15273,,19721,,,,,,MAIN,2023-05-05
RM Bidder LLC,co_023a7e299c13,Other Equity,Other,,,,,,,,,46,20,,46,,,,2779,,MAIN,2023-05-05
RM Bidder LLC,co_023a7e299c13,Warrants,Other,,,,,,,,,425,0,,425,,,,327532,,MAIN,2023-05-05
Roof Opco LLC,co_948eb49bd3f4,First Lien,Other,,,SOFR,6.5%,,,,0,-10,0,,-10,,,,,,MAIN,2023-05-05
Roof Opco LLC,co_948eb49bd3f4,First Lien,Other,11.35%,,SOFR,6.5%,,,,2333,2294,2300,,2294,,,,,,MAIN,2023-05-05
