company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
StormWind LLC,co_5886fe3eb2cb,Other,Education,8%,,,,,2014-01-07,,,,5343371,2.31,4000787,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
StormWind LLC,co_5886fe3eb2cb,Other,Education,8%,,,,,2011-12-16,,,,3198198,1.38,2019687,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
StormWind LLC,co_5886fe3eb2cb,Other,Education,8%,,,,,2014-02-25,,,,152291,0.07,110000,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Commercial Streaming Solutions Inc.,co_5af6fc75593f,Other,Media & Entertainment,,,,,,2021-03-26,,,,1000000,0.43,1004240,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Maven Research Inc.,co_f5564da5ed0a,Other,Knowledge Networks,,,,,,2012-07-02,,,,,,2000447,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Maven Research Inc.,co_f5564da5ed0a,Other,Knowledge Networks,,,,,,2012-02-28,,,,,,217206,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Curious.com Inc.,co_5f5b408e6706,Other,Education,,,,,,2013-11-22,,,,,,12000006,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
CW Opportunity 2 LP,co_ddb092eb1049,Partnership Interest,AI Infrastructure Fund,10%,,N/A,,,2024-05-07,,,,17775155,11.28,15000000,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
ARK Type One Deep Ventures Fund LLC,co_96e8a4b104ec,Partnership Interest,AI Application Fund,,,N/A,,,2024-09-25,,,,17638247,11.19,17500000,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Learneo Inc.,co_6f6e41a0c3e9,Preferred Equity,Education,8%,,N/A,,,2014-09-18,,,,6882058,4.37,5000001,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Learneo Inc.,co_6f6e41a0c3e9,Preferred Equity,Education,8%,,N/A,,,2021-11-05,,,,9999971,6.35,9999971,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Blink Health Inc.,co_9c44f77bba36,Preferred Equity,Healthcare,,,N/A,,,2020-10-27,,,,4998467,3.17,5000423,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Blink Health Inc.,co_9c44f77bba36,Preferred Equity,Healthcare,,,N/A,,,2020-10-27,,,,10094048,6.41,10003917,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Whoop Inc.,co_9f9b312199ba,Preferred Equity,Consumer & Retail,,,N/A,,,2022-06-30,,,,14923457,9.47,10011460,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
ServiceTitan Inc.,co_5a4e0c35cc1e,Common Equity,Software & Technology,,,N/A,,,2023-06-30,,,,14027713,8.90,10008233,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
IH10 LLC,co_c4b8e42cee72,Partnership Interest,AI Infrastructure Fund,,,N/A,,,2024-10-09,,,,12215010,7.75,12273784,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Canva Inc.,co_4758cd67a3a5,Common Equity,Software & Technology,,,N/A,,,2024-04-17,,,,12000000,7.62,10058820,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
FourKites Inc.,co_63094fbf5000,Common Equity,Transportation & Logistics,,,N/A,,,2023-07-07,,,,11716925,7.44,8530389,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
