company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
Merama Inc.,Other Debt,Consumer & Retail,10.00%,,,,,,2024-06-30,4168,4316,4271,,4316,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Luminary Roli Ltd.,Other Debt,Media & Entertainment,,,,,,,2026-08-31,35492,29530,9541,,29530,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Mind Candy Ltd.,Other Debt,Media & Entertainment,,12.00%,,,,,2023-09-30,19371,19372,16300,,19372,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Prodigy Investments Ltd.,Other Debt,Financial Services,8.00%,14.28%,,,,,2025-12-31,33089,32706,32706,,32706,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Synapse Financial Technologies, Inc.",Other Debt,Financial Services,5.75%,,,,,,2025-07-31,1000,995,989,,995,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Capsule Corp.,Other Debt,Food & Beverage,7.75%,,,,,,2024-12-31,15000,15851,15851,,15851,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Kalderos, Inc.",Other Debt,Healthcare,2.50%,,,,,,2026-06-30,1200,1165,1165,,1165,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Thirty Madison, Inc.",Other Debt,Healthcare,4.75%,,,,,,2025-12-31,20000,19916,19916,,19916,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Tempus Ex Machina, Inc.",Other Debt,Business Services,5.00%,,,,,,2027-02-28,1000,993,993,,993,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Hover Inc.,Other Debt,Media & Entertainment,4.75%,,,,,,2027-03-31,20000,19779,19779,,19779,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Jerry Services, Inc.",Other Debt,Financial Services,10.00%,,,,,,2025-09-30,10000,10106,9886,,10106,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Monzo Bank Ltd.,Other Debt,Financial Services,12.00%,,,,,,2026-03-08,7035,6892,6047,,6892,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Demain ES,Other Debt,Real Estate,6.75%,,,,,,2024-11-30,4535,4566,3157,,4566,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Homeward, Inc.",Other Debt,Real Estate,5.25%,,,,,,2024-06-30,10000,10418,10377,,10418,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Mynd Management, Inc.",Other Debt,Real Estate,6.00%,,,,,,2025-05-31,6000,6120,6120,,6120,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
McN Investments Ltd.,Other Debt,Financial Services,3.38%,,,,,,2023-08-31,12000,12070,12070,,12070,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
True Footage Inc.,Other Debt,,11.00%,,,,,,2024-12-31,250,254,249,,254,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"ForgeRock, Inc.",Other Debt,Business Services,8.00%,,,,,,2025-09-30,10000,10581,10682,,10581,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Moda Operandi, Inc.",Other Debt,Other,8.75%,,,,,,2024-06-30,27500,28516,28516,,28516,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
GoEuro Corp.,Other Debt,Healthcare,11.00%,,,,,,2024-10-31,20000,21170,20550,,21170,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
InMobi Pte Ltd.,Warrants,Media & Entertainment,,,,,,,2013-12-13,,35,13,,35,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Loft Orbital Solutions Inc.,Warrants,Aerospace & Defense,,,,,,,2022-07-15,,192,192,,192,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Flo Health, Inc.",Warrants,Software & Technology,,,,,,,2022-05-10,,123,114,,123,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"View, Inc.",Warrants,Industrials,,,,,,,2017-06-13,,500,,,500,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Arcadia Power, Inc.",Warrants,Software & Technology,,,,,,,2021-12-10,,138,429,,138,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"DialPad, Inc.",Warrants,Other,,,,,,,2020-08-03,,102,117,,102,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Envoy, Inc.",Warrants,Other,,,,,,,2020-05-08,,82,401,,82,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Farmer's Business Network, Inc.",Warrants,Agriculture,,,,,,,2020-01-03,,33,1086,,33,,,,,cost_suspicious_vs_size,TPVG,2023-08-02,TPVG,2023-08-02
"Filevine, Inc.",Warrants,Other,,,,,,,2021-04-20,,38,294,,38,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"FinancialForce.com, Inc.",Warrants,Financial Services,,,,,,,2016-06-20,,1017,749,,1017,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"FlashParking, Inc.",Warrants,Other,,,,,,,2021-06-15,,810,1293,,810,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Hi.Q, Inc.",Warrants,Other,,,,,,,2018-12-17,,196,,,196,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Narvar, Inc.",Warrants,Other,,,,,,,2020-08-28,,102,102,,102,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
NewStore Inc.,Warrants,Other,,,,,,,2022-11-16,,18,18,,18,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"OneSource Virtual, Inc.",Warrants,Other,,,,,,,2018-06-25,,161,456,,161,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Passport Labs, Inc.",Warrants,Media & Entertainment,,,,,,,2018-09-28,,303,590,,303,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Quantcast Corp.,Warrants,Other,,,,,,,2018-08-09,,213,161,,213,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Uniphore Technologies Inc.,Warrants,Other,,,,,,,2021-12-22,,34,100,,34,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
