company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
"Misfits Market, Inc.",Other Equity,Consumer & Retail,,,,,,,2022-12-31,,142,152,,142,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
everdrop GmbH,Other Equity,Consumer & Retail,,,,,,,2022-08-01,,310,328,,310,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Frubana Inc.,Other Equity,Consumer & Retail,,,,,,,2022-07-13,,500,500,,500,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Hydrow, Inc.",Other Equity,Consumer & Retail,,,,,,,2020-12-14,,333,421,,333,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
JOKR S.à r.l.,Other Equity,Other,,,,,,,2021-12-07,,187,184,,187,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Pair Eyewear, Inc.",Other Equity,Other,,,,,,,2023-06-27,,10,10,,10,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
VanMoof Global Holding B.V.,Other Equity,Other,,,,,,,2021-08-09,,420,,,420,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Savage X, Inc.",Other Equity,Consumer & Retail,,,,,,,2021-01-20,,500,738,,500,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"FabFitFun, Inc.",,Consumer & Retail,,,,,,,2019-01-17,,500,499,,500,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Grove Collaborative, Inc.",,Consumer & Retail,,,,,,,2018-06-05,,500,56,,500,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Merama Inc.,,Consumer & Retail,,,,,,,2021-04-19,,33,194,,33,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Nerdy Inc.,,Education,,,,,,,2018-01-05,,250,260,,250,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Luminary Roli Ltd.,,Media & Entertainment,,,,,,,2021-08-31,,2525,,,2525,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Mind Candy, Inc.",,Media & Entertainment,,,,,,,2020-03-09,,1000,,,1000,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Prodigy Investments Ltd.,,Financial Services,,,,,,,2020-12-31,,18937,16623,,18937,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Revolut Ltd.,,Financial Services,,,,,,,2017-08-03,,292,8560,,292,,,,,cost_suspicious_vs_size,TPVG,2023-08-02,TPVG,2023-08-02
Capsule Corp.,,Food & Beverage,,,,,,,2019-07-25,,716,376,,716,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Overtime Sports, Inc.",,Media & Entertainment,,,,,,,2022-08-02,,1000,1000,,1000,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Curology, Inc.",,Healthcare,,,,,,,2019-11-26,,196,224,,196,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Kalderos, Inc.",,Other,,,,,,,2022-12-27,,325,325,,325,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Talkspace, LLC",,Other,,,,,,,2019-05-15,,378,186,,378,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Thirty Madison, Inc.",,Other,,,,,,,2019-05-31,,1000,757,,1000,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Hover Inc.,,Media & Entertainment,,,,,,,2022-09-30,,231,231,,231,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Cohesity, Inc.",,Software & Technology,,,,,,,2017-03-24,,400,1003,,400,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Jerry Services, Inc.",,Financial Services,,,,,,,2022-05-06,,104,103,,104,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Monzo Bank Ltd.,,Financial Services,,,,,,,2021-03-08,,1000,1422,,1000,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
N26 GmbH,,Other,,,,,,,2021-12-09,,1264,1732,,1264,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Redesign Health Inc.,,Other,,,,,,,2022-07-12,,100,100,,100,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Belong Home, Inc.",,Real Estate,,,,,,,2022-04-18,,29,29,,29,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
McN Investments Ltd.,,Real Estate,,,,,,,2022-05-06,,300,209,,300,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Sonder Holdings Inc.,,Real Estate,,,,,,,2019-05-21,,313,23,,313,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
True Footage Inc.,,Real Estate,,,,,,,2021-10-18,,100,110,,100,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
GoEuro Corp.,,Healthcare,,,,,,,2017-10-05,,300,326,,300,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Inspirato LLC,,Other,,,,,,,2014-09-11,,287,119,,287,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Contact portfolio company weekly or more frequently as determined by our Adviser's Investment Committee; contact venture capital investors regularly; our Adviser forms a workout group to minimize risk of loss.,,Other,,,,,,,,,,,,,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Maximize value from assets.,,Other,,,,,,,,,,,,,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
