company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2022-04-14,2025-10-31,439,455,426,,455,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2022-09-21,2026-03-31,2850,2909,2750,,2909,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2022-11-01,2026-04-30,5130,5219,4945,,5219,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,12.00 %,,Fixed,,,2022-12-22,2026-06-30,306,310,295,,310,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,,,Prime,5.25 %,11.50 %,2023-11-01,2026-10-31,300,299,299,,299,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,,,Prime,5.25 %,11.50 %,2023-11-13,2026-11-30,2282,2270,2270,,2270,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,,,Prime,5.25 %,11.50 %,2023-12-28,2026-12-31,174,172,172,,172,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,,,N/A,,,2023-12-27,2026-12-31,2179,2179,1825,,2179,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Forum Brands LLC,co_2404206abaed,Other Debt,Software & Technology,,,Prime,5.25 %,11.50 %,2024-06-27,2027-06-30,244,238,238,,238,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Don't Run Out Inc.,co_1f57be8cebaf,Other Debt,Consumer & Retail,,,Prime,7.75 %,11.00 %,2021-12-30,2025-06-30,1000,1078,1078,,1078,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Don't Run Out Inc.,co_1f57be8cebaf,Other Debt,Consumer & Retail,,,Prime,5.00 %,10.50 %,2022-10-31,2025-10-31,450,520,520,,520,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Avantstay Inc.,co_e190fccfa5b5,Other Debt,Consumer & Retail,,,Prime,6.00 %,14.00 %,2023-03-20,2026-03-31,1824,,1891,,1873,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Avantstay Inc.,co_e190fccfa5b5,Other Debt,Consumer & Retail,,,Prime,7.00 %,15.00 %,2023-04-17,2027-04-30,648,,669,,658,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Avantstay Inc.,co_e190fccfa5b5,Other Debt,Consumer & Retail,,,Prime,7.00 %,15.00 %,2023-06-15,2027-06-30,412,,424,,417,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Avantstay Inc.,co_e190fccfa5b5,Other Debt,Consumer & Retail,,,Prime,7.00 %,15.00 %,2023-08-09,2027-08-31,954,,977,,961,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Avantstay Inc.,co_e190fccfa5b5,Other Debt,Consumer & Retail,,,Prime,7.00 %,15.00 %,2023-09-01,2027-08-31,668,,684,,672,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Avantstay Inc.,co_e190fccfa5b5,Other Debt,Consumer & Retail,,,Prime,6.50 %,14.50 %,2023-12-29,2027-08-31,426,,423,,416,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Baby Generation Inc.,co_5ca3198761da,Other Debt,Consumer & Retail,,,Prime,7.50 %,10.75 %,2022-01-26,2025-01-31,1875,,2019,,2019,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Baby Generation Inc.,co_5ca3198761da,Other Debt,Consumer & Retail,,,Prime,5.25 %,8.50 %,2023-03-30,2025-03-31,2188,,2322,,2322,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Fiton Inc.,co_c0cbd413e718,Other Debt,Consumer & Retail,,,Prime,4.00 %,11.25 %,2024-02-29,2027-08-01,8889,,8750,,8750,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Fiton Inc.,co_c0cbd413e718,Other Debt,Consumer & Retail,,,Prime,4.00 %,11.25 %,2024-03-08,2027-09-01,1111,,1093,,1093,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Fiton Inc.,co_c0cbd413e718,Other Debt,Consumer & Retail,,,Prime,4.00 %,11.25 %,2024-06-28,2027-12-01,1000,,981,,981,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Flink SE,co_77793d2b5399,Other Debt,Consumer & Retail,,9.75 %,,,,2022-07-05,2028-08-31,13673,,9444,,14009,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Flink SE,co_77793d2b5399,Other Debt,Consumer & Retail,,9.75 %,,,,2022-10-21,2028-08-31,13673,,9444,,13946,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Frubana Inc.,co_d3f744e21a8b,Other Debt,Consumer & Retail,,,Prime,6.25 %,9.75 %,2023-01-25,2027-01-31,155,,158,,159,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Frubana Inc.,co_d3f744e21a8b,Other Debt,Consumer & Retail,,,Prime,8.00 %,11.50 %,2023-04-03,2026-10-31,4448,,4559,,4669,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Frubana Inc.,co_d3f744e21a8b,Other Debt,Consumer & Retail,,,Prime,8.00 %,11.50 %,2023-10-03,2026-10-31,8000,,7920,,8077,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Hydrow Inc.,co_c23aebf7778d,Other Debt,Consumer & Retail,,,Prime,3.50 %,11.25 %,2024-12-30,2027-12-01,16657,,14642,,16477,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Hydrow Inc.,co_c23aebf7778d,Revolver,Consumer & Retail,,,Prime,2.00 %,9.75 %,2024-12-30,2026-12-31,9756,,8792,,9756,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
JOKR S.à r.l.,co_ae59ccab1375,Other Debt,Consumer & Retail,7.40 %,7.11 %,,,,2021-11-03,2025-11-30,2813,,2879,,2895,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
JOKR S.à r.l.,co_ae59ccab1375,Other Debt,Consumer & Retail,9.31 %,8.94 %,,,,2022-08-17,2026-08-31,1070,,1083,,1083,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
JOKR S.à r.l.,co_ae59ccab1375,Revolver,Consumer & Retail,,,Prime,5.75 %,9.00 %,2021-11-02,2025-07-31,501,,536,,540,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Lower Holding Company,co_ef48394c530b,Other Debt,Consumer & Retail,,,Prime,3.75 %,11.25 %,2022-12-28,2025-12-31,4781,,5053,,5053,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Nakdcom One World AB,co_55310af50cf7,Other Debt,Consumer & Retail,,,Prime,8.25 %,11.50 %,2022-06-06,2026-12-31,6621,,5294,,5933,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Nakdcom One World AB,co_55310af50cf7,Other Debt,Consumer & Retail,,,Prime,8.25 %,11.50 %,2022-08-29,2026-12-31,3713,,3176,,3307,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Luminary Roli Ltd.,co_2181eca8839a,Other,Media & Entertainment,,,Fixed,,,2021-08-31,2026-08-31,35492,29531,6769,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Mind Candy Ltd.,co_6dc479a87b5a,Other,Media & Entertainment,,12.00 %,Fixed,,,2014-06-25,2025-12-31,23248,21222,9563,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Mind Candy Ltd.,co_6dc479a87b5a,Other,Media & Entertainment,,9.00 %,Fixed,,,2020-03-17,2025-12-31,1547,1444,636,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Mind Candy Ltd.,co_6dc479a87b5a,Other,Media & Entertainment,,9.00 %,Fixed,,,2020-12-21,2025-12-31,1443,1347,594,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Prodigy Investments Ltd.,co_c075d7269f41,Other,Financial Services,,14.28 %,Fixed,,,2020-12-31,2025-12-31,36662,36484,36662,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Ocrolus Inc.,co_141c2f14db8a,Other,Financial Services,,,Prime,2.50 %,9.75 %,2024-08-14,2028-02-01,7143,7085,7085,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Synapse Financial Technologies Inc.,co_841635326968,Other,Financial Services,,,Prime,5.75 %,9.75 %,2022-07-29,2025-07-31,732,727,56,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Kalderos Inc.,co_381e8dec7175,Other,Healthcare,,,Prime,2.50 %,8.75 %,2023-03-14,2026-06-30,924,934,934,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Kalderos Inc.,co_381e8dec7175,Other,Healthcare,,,Prime,2.50 %,8.75 %,2023-03-21,2026-06-30,1385,1401,1401,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Kalderos Inc.,co_381e8dec7175,Other,Healthcare,,,Prime,4.50 %,10.75 %,2023-03-21,2026-09-30,8885,9218,9218,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
K Health Inc.,co_d31095807771,Other,Healthcare,,,Prime,2.25 %,10.00 %,2023-07-14,2026-07-31,3900,3951,3951,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Thirty Madison Inc.,co_71279fe4b294,Other,Healthcare,,,Prime,4.75 %,11.00 %,2022-12-30,2025-12-31,20000,20760,20760,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Thirty Madison Inc.,co_71279fe4b294,Other,Healthcare,6.38 %,6.13 %,Fixed,,11.00 %,2023-06-12,2027-06-12,23692,24120,23438,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Thirty Madison Inc.,co_71279fe4b294,Other,Healthcare,6.38 %,6.13 %,Fixed,,11.00 %,2023-06-14,2027-06-12,1782,1780,1730,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Infinite Athlete Inc.,co_d13f0ad06a41,Other,Business Services,,,Prime,5.50 %,11.00 %,2023-05-04,2027-02-28,1000,1018,1018,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Infinite Athlete Inc.,co_d13f0ad06a41,Other,Business Services,,,Prime,5.75 %,11.75 %,2023-05-04,2027-05-31,1000,1015,1015,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Hover Inc.,co_f9ebf14bcc74,Other,Media & Entertainment,,,Prime,3.00 %,9.50 %,2024-09-10,2029-03-31,16000,15912,15912,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Jerry Services Inc.,co_40ca09d00427,Other,Financial Services,10.00 %,,Fixed,,,2022-06-13,2025-09-30,10000,10563,10513,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Jerry Services Inc.,co_40ca09d00427,Other,Financial Services,13.75 %,,Fixed,,,2023-03-17,2026-06-30,10000,10288,10347,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Monzo Bank Ltd.,co_d0fd8589c32d,Other,Financial Services,12.00 %,,Fixed,,,2021-03-08,2026-03-08,7035,6966,6238,,,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Homeward Inc.,co_df68b3e9bdbc,Other Debt,Real Estate,6.50%,9.75%,Prime,,9.75%,2021-12-30,2026-06-30,10000,,10233,,10637,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2021-12-03,2024-12-31,250,,252,,267,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,6.00%,Fixed,,,2021-12-03,2024-12-31,800,,800,,848,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2021-12-03,2024-12-31,220,,222,,235,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,8.00%,Fixed,,,2021-12-13,2024-12-31,105,,107,,113,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2021-12-13,2024-12-31,440,,443,,471,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2021-12-15,2024-12-31,208,,210,,223,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,8.00%,Fixed,,,2021-12-15,2024-12-31,150,,152,,162,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,6.00%,Fixed,,,2021-12-15,2024-12-31,1372,,1372,,1454,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,6.00%,Fixed,,,2021-12-21,2024-12-31,760,,760,,806,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2022-01-31,2025-01-31,170,,171,,181,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,8.00%,Fixed,,,2022-02-25,2025-02-28,116,,117,,124,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2022-03-15,2025-03-31,300,,297,,318,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2022-04-22,2025-04-30,1110,,1097,,1173,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2022-04-22,2025-04-30,991,,979,,1046,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,8.00%,Fixed,,,2022-05-23,2025-05-31,216,,215,,229,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2022-07-19,2025-07-31,200,,196,,208,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2022-07-19,2025-07-31,100,,99,,105,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2022-12-05,2025-12-31,150,,140,,155,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2022-12-05,2025-12-31,361,,338,,373,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,6.00%,Fixed,,,2022-12-05,2025-12-31,565,,526,,580,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,6.00%,Fixed,,,2023-05-23,2026-05-31,240,,212,,243,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,7.00%,Fixed,,,2023-05-23,2026-05-31,434,,386,,441,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
True Footage Inc.,co_70aa48328c90,Other Debt,Real Estate,11.00%,8.00%,Fixed,,,2023-05-23,2026-05-31,720,,642,,735,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Moda Operandi Inc.,co_ea3c938fd2d1,Other Debt,Shopping Facilitators,6.50%,7.00%,Prime,,13.00%,2024-08-16,2026-08-01,16000,,16029,,14963,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Moda Operandi Inc.,co_ea3c938fd2d1,Revolver,Shopping Facilitators,4.00%,7.00%,Prime,,10.50%,2024-08-16,2025-12-31,11000,,11013,,11605,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
InMobi Pte Ltd.,co_e80460a527fe,Warrants,Media & Entertainment,,,N/A,,,2013-12-13,,,,13,,35,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Loft Orbital Solutions Inc.,co_284067c8c00f,Warrants,Aerospace & Defense,,,N/A,,,2022-07-15,,,,308,,192,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Parry Labs, LLC",co_36a0c050b8a0,Warrants,Aerospace & Defense,,,N/A,,,2024-12-20,,,,145,,145,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Flo Health, Inc.",co_02546d7334b2,Warrants,Software & Technology,,,N/A,,,2022-05-10,,,,274,,123,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Arcadia Power, Inc.",co_2e8177b2308f,Warrants,Software & Technology,,,N/A,,,2021-12-10,,,,143,,138,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Arcadia Power, Inc.",co_2e8177b2308f,Warrants,Software & Technology,,,N/A,,,2022-06-29,,,,41,,164,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Cresta Intelligence, Inc.",co_4ac574ec9703,Warrants,Software & Technology,,,N/A,,,2024-06-06,,,,23,,8,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"DialPad, Inc.",co_b8df4cf770bf,Warrants,Software & Technology,,,N/A,,,2020-08-03,,,,23,,102,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Envoy, Inc.",co_41f6fed6d4d6,Warrants,Software & Technology,,,N/A,,,2020-05-08,,,,183,,82,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Farmer's Business Network, Inc.",co_7a7e801511a5,Warrants,Software & Technology,,,N/A,,,2020-01-03,,,,24,,33,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Filevine, Inc.",co_7ef8251d9547,Warrants,Software & Technology,,,N/A,,,2021-04-20,,,,882,,38,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"FlashParking, Inc.",co_2b93956706b7,Warrants,Software & Technology,,,N/A,,,2021-06-15,,,,"1,314",,810,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"FlashParking, Inc.",co_2b93956706b7,Warrants,Software & Technology,,,N/A,,,2024-06-26,,,,140,,140,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Narvar, Inc.",co_68b70de0f0de,Warrants,Software & Technology,,,N/A,,,2020-08-28,,,,102,,102,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
NewStore Inc.,co_fb07f1d6ca1f,Warrants,Software & Technology,,,N/A,,,2022-11-16,,,,4,,36,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Passport Labs, Inc.",co_19e3f5ef24c1,Warrants,Software & Technology,,,N/A,,,2018-09-28,,,,590,,303,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
"Project Affinity, Inc.",co_006a4a066699,Warrants,Software & Technology,,,N/A,,,2024-04-26,,,,21,,21,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
Quantcast Corp.,co_dea937e8e307,Warrants,Software & Technology,,,N/A,,,2018-08-09,,,,161,,213,,,,,dspy_extracted,TPVG,2025-03-05,TPVG,2025-03-05
